complaint_id,customer_id,tower_id,complaint_type,priority,status,created_at,description
COMP0000016,CUST00007060,TOWER00334,slow_data,high,closed,2025-11-14T12:09:08.061Z,Vesco centum vilitas adsum tamen aiunt aufero vinculum.
COMP0000017,CUST00014719,TOWER00124,poor_voice_quality,medium,closed,2025-11-01T09:13:30.615Z,Supellex tamisium carpo acidus tamdiu deleniti.
COMP0000018,CUST00035480,TOWER00066,dropped_call,critical,closed,2025-11-06T21:35:18.771Z,Centum quia dignissimos subiungo cauda carpo attonbitus arma.
COMP0000019,CUST00046239,TOWER00019,slow_data,low,open,2025-10-23T07:38:22.346Z,Tibi tabesco crux cerno aperiam video coerceo delectatio benigne.
COMP0000020,CUST00013968,TOWER00341,poor_voice_quality,high,investigating,2025-12-09T08:29:56.739Z,Acidus varius textus.
COMP0000021,CUST00035706,TOWER00445,dropped_call,critical,investigating,2025-11-13T10:42:31.776Z,Et collum tempus iure depopulo sumo verbum curriculum.
COMP0000022,CUST00044193,TOWER00439,slow_data,medium,closed,2026-01-14T17:29:49.525Z,Vilis tot curia cometes angelus.
COMP0000023,CUST00007681,TOWER00444,dropped_call,low,resolved,2026-01-21T02:41:41.233Z,Ut nihil conforto.
COMP0000024,CUST00009101,TOWER00046,no_signal,critical,closed,2026-02-13T23:03:13.191Z,Curto caput decerno aveho talus crastinus urbanus clamo.
COMP0000025,CUST00024962,TOWER00415,billing_issue,critical,investigating,2025-10-22T03:59:42.917Z,Theca armarium quos confido.
COMP0000026,CUST00035599,TOWER00103,service_outage,critical,closed,2026-01-31T05:28:56.407Z,Absorbeo cunae cohibeo curis.
COMP0000027,CUST00012506,TOWER00162,service_outage,medium,resolved,2026-01-31T00:02:22.312Z,Tactus thymum conor taedium.
COMP0000028,CUST00046021,TOWER00157,no_signal,critical,investigating,2025-10-04T13:45:37.761Z,Eaque suppono subseco vulgaris expedita cedo tamisium deficio cetera.
COMP0000029,CUST00034281,TOWER00397,dropped_call,high,resolved,2025-11-20T20:09:43.281Z,Sint autem acceptus subiungo tutis causa armarium volutabrum.
COMP0000030,CUST00001255,TOWER00263,poor_voice_quality,low,open,2025-12-14T16:12:41.137Z,Crepusculum auctor vel valde.
COMP0000031,CUST00025550,TOWER00017,poor_voice_quality,high,investigating,2026-01-07T10:24:46.531Z,Pax vinitor carbo cursim beatae tondeo decumbo vinitor suadeo coadunatio.
COMP0000032,CUST00014999,TOWER00300,slow_data,high,closed,2025-10-04T17:33:31.215Z,Demergo clementia sponte rerum admoneo.
COMP0000033,CUST00016545,TOWER00475,slow_data,high,closed,2025-10-17T05:50:34.957Z,Deprecator attonbitus ipsa adicio blanditiis demo triduana conturbo textor aeternus.
COMP0000034,CUST00001233,TOWER00372,poor_voice_quality,critical,resolved,2026-02-10T17:11:48.004Z,Assumenda cunae vinitor.
COMP0000035,CUST00036866,TOWER00469,service_outage,low,open,2025-10-30T10:28:05.263Z,Virga spargo reiciendis.
COMP0000036,CUST00030634,TOWER00400,dropped_call,critical,open,2026-02-09T21:06:27.517Z,Cedo creber tabernus trans aggero.
COMP0000037,CUST00043934,TOWER00276,dropped_call,medium,investigating,2025-12-24T16:30:42.568Z,Censura tener velit pax artificiose depulso color.
COMP0000038,CUST00004822,TOWER00202,slow_data,high,open,2025-10-13T07:33:37.747Z,Somniculosus depereo viridis optio desolo ver aeneus abduco utrimque crustulum.
COMP0000039,CUST00016392,TOWER00217,billing_issue,critical,investigating,2025-11-18T03:00:30.535Z,Vicissitudo contego recusandae defessus aedificium.
COMP0000040,CUST00040659,TOWER00183,slow_data,critical,resolved,2025-12-15T06:47:56.340Z,Peior viscus amo virga caries solum non verto cultellus repellendus.
COMP0000041,CUST00013707,TOWER00417,poor_voice_quality,critical,investigating,2025-10-01T07:36:50.951Z,Delibero adnuo communis creator coadunatio.
COMP0000042,CUST00023538,TOWER00451,poor_voice_quality,critical,investigating,2025-12-27T17:07:24.760Z,Hic carus dedecor saepe vigor cado.
COMP0000043,CUST00001363,TOWER00444,no_signal,low,investigating,2025-11-13T03:23:20.268Z,Dignissimos commodo vinculum libero adopto trucido eos talus porro.
COMP0000044,CUST00024842,TOWER00354,dropped_call,critical,investigating,2026-02-14T07:14:57.164Z,Turba explicabo coniecto ascisco harum coruscus suppono allatus basium facilis.
COMP0000045,CUST00009108,TOWER00423,service_outage,critical,resolved,2025-12-13T10:40:34.263Z,Atrox communis certus adinventitias facere valeo alter vitiosus damnatio angustus.
COMP0000046,CUST00009249,TOWER00012,service_outage,low,closed,2026-02-03T15:19:56.577Z,Volaticus solio creta comes conservo una dicta.
COMP0000047,CUST00011759,TOWER00442,service_outage,medium,investigating,2026-02-01T10:33:33.206Z,Timidus at vita hic venia cur via maxime id.
COMP0000048,CUST00049040,TOWER00021,service_outage,medium,closed,2026-01-20T06:14:34.408Z,Tribuo cohaero succedo cribro approbo verumtamen ocer utilis ustulo.
COMP0000049,CUST00046678,TOWER00484,dropped_call,high,closed,2025-10-09T11:52:21.505Z,Aurum cogito beatae.
COMP0000050,CUST00042485,TOWER00308,slow_data,low,resolved,2025-11-29T22:30:43.303Z,Conservo deduco tristis theologus quam thema adstringo ait omnis.
COMP0000051,CUST00042318,TOWER00154,poor_voice_quality,critical,open,2025-11-24T04:18:04.196Z,Depulso annus vaco adfero stultus thermae coniuratio spargo maxime soluta.
COMP0000052,CUST00038317,TOWER00495,service_outage,critical,investigating,2025-12-23T00:07:26.152Z,Brevis uredo speculum autus deprecator caterva trucido.
COMP0000053,CUST00002319,TOWER00180,billing_issue,medium,closed,2025-11-07T15:44:19.921Z,Natus defendo arma vergo illo bos.
COMP0000054,CUST00029149,TOWER00230,billing_issue,low,closed,2026-02-02T05:42:15.822Z,Stips viriliter antiquus dolorum celer victus architecto blandior bene agnosco.
COMP0000055,CUST00014020,TOWER00283,slow_data,critical,open,2026-01-05T15:54:26.929Z,Repellendus uredo deleniti necessitatibus amplitudo.
COMP0000056,CUST00010182,TOWER00071,billing_issue,low,open,2025-12-16T09:52:06.814Z,Deduco numquam distinctio cedo vomer deficio spes.
COMP0000057,CUST00010334,TOWER00348,dropped_call,low,open,2025-12-12T19:01:16.023Z,Virtus theologus valens annus quos patruus demens valeo tabesco.
COMP0000058,CUST00035327,TOWER00177,no_signal,critical,resolved,2025-10-10T08:01:59.116Z,Barba bibo concido omnis vix celo aestas vehemens cibus comes.
COMP0000059,CUST00029462,TOWER00074,billing_issue,high,investigating,2025-12-24T20:01:20.920Z,Curo sumptus consequuntur comburo adflicto nobis cornu colligo.
COMP0000060,CUST00003240,TOWER00043,billing_issue,low,investigating,2025-10-13T17:19:00.491Z,Varietas tener amoveo subito solio utique texo tabula alii.
COMP0000061,CUST00008936,TOWER00019,no_signal,critical,resolved,2025-10-04T03:04:06.319Z,Apparatus altus acerbitas abscido defessus solitudo absconditus.
COMP0000062,CUST00017522,TOWER00210,service_outage,low,open,2025-11-29T12:59:59.503Z,Numquam terreo stillicidium viscus clarus addo.
COMP0000063,CUST00010017,TOWER00354,slow_data,critical,closed,2025-12-03T14:48:46.712Z,Auctus depereo censura umquam debilito claudeo auxilium curso altus.
COMP0000064,CUST00010780,TOWER00472,no_signal,low,open,2025-12-09T22:27:35.299Z,Amiculum vos sumo artificiose quaerat arguo quod timidus.
COMP0000065,CUST00040641,TOWER00295,no_signal,critical,open,2025-10-13T21:17:09.314Z,Damnatio comburo cunabula texo censura solus tabella thermae quasi socius.
COMP0000066,CUST00048130,TOWER00099,slow_data,high,resolved,2025-11-20T23:34:49.170Z,Assentator capio quibusdam arx conatus argumentum coepi.
COMP0000067,CUST00036282,TOWER00263,service_outage,low,closed,2025-12-29T06:04:54.259Z,Valens sol ustulo attero depereo coruscus alo aperte adfectus.
COMP0000068,CUST00010874,TOWER00412,slow_data,low,investigating,2025-12-16T04:17:10.048Z,Summa statim pax cibo theatrum cinis.
COMP0000069,CUST00037755,TOWER00233,no_signal,critical,open,2025-10-17T17:57:52.632Z,Vulgus conor denuo comparo confero aliquid cilicium.
COMP0000070,CUST00002422,TOWER00471,billing_issue,critical,resolved,2025-11-30T22:22:15.992Z,Cito apparatus quae derelinquo bos beatus sortitus suffoco fugiat conor.
COMP0000071,CUST00002408,TOWER00488,poor_voice_quality,medium,open,2025-12-20T23:20:35.117Z,Decet auctus bellum vicinus thesis summopere avarus valetudo.
COMP0000072,CUST00028102,TOWER00026,slow_data,critical,open,2026-02-10T05:51:31.972Z,Claustrum textus crapula vinitor.
COMP0000073,CUST00025665,TOWER00365,poor_voice_quality,low,open,2025-12-07T04:36:23.003Z,Arbitro tubineus quibusdam victoria.
COMP0000074,CUST00029666,TOWER00498,dropped_call,high,closed,2026-02-11T04:44:45.507Z,Amor decet valeo theatrum audeo vado charisma bibo aegrotatio claudeo.
COMP0000075,CUST00040992,TOWER00385,poor_voice_quality,medium,open,2025-12-16T23:29:34.322Z,Vociferor conitor commemoro ancilla perspiciatis creta apto.
COMP0000076,CUST00005535,TOWER00315,slow_data,critical,open,2025-11-20T07:20:43.233Z,Adsuesco casso stella benevolentia baiulus depromo callide.
COMP0000077,CUST00033760,TOWER00264,poor_voice_quality,medium,open,2025-10-04T08:00:44.390Z,Crux delectus utrum validus.
COMP0000078,CUST00014676,TOWER00248,no_signal,critical,investigating,2025-11-24T19:56:32.602Z,Validus appello tubineus.
COMP0000079,CUST00018671,TOWER00281,no_signal,medium,investigating,2025-11-24T22:07:13.538Z,Sol desolo amiculum velum dolore spectaculum cum suscipit sum.
COMP0000080,CUST00033842,TOWER00456,no_signal,critical,investigating,2025-11-18T18:37:03.806Z,Terminatio accedo adfero conservo.
COMP0000081,CUST00016548,TOWER00003,service_outage,critical,open,2026-01-22T12:38:26.686Z,Distinctio verto cotidie desolo.
COMP0000082,CUST00042309,TOWER00345,service_outage,high,resolved,2025-10-29T14:59:04.266Z,Vinum antea sunt curriculum demitto victoria super succurro nostrum.
COMP0000083,CUST00003060,TOWER00435,billing_issue,medium,open,2025-12-08T09:25:16.122Z,Amplus cuppedia crux.
COMP0000084,CUST00024713,TOWER00120,poor_voice_quality,low,open,2026-01-20T15:53:24.514Z,Vinculum vulnus administratio totidem vulticulus cursus venustas crepusculum certe.
COMP0000085,CUST00005052,TOWER00350,dropped_call,critical,closed,2025-11-05T09:52:00.370Z,Torqueo ultra trans illo taedium curatio admiratio.
COMP0000086,CUST00025847,TOWER00283,service_outage,medium,closed,2025-12-09T19:27:03.268Z,Doloremque cenaculum aestivus amplexus capto teres.
COMP0000087,CUST00019398,TOWER00134,poor_voice_quality,medium,investigating,2025-11-03T16:51:48.433Z,Stips sulum molestiae adflicto varius arx cariosus cogo.
COMP0000088,CUST00043920,TOWER00472,dropped_call,medium,investigating,2026-01-16T11:54:55.997Z,Laudantium omnis celo aegrotatio tabula cursim vestigium.
COMP0000089,CUST00039128,TOWER00017,dropped_call,critical,investigating,2025-10-26T01:09:59.253Z,Numquam ante sodalitas perferendis.
COMP0000090,CUST00031788,TOWER00465,slow_data,critical,closed,2025-10-17T11:56:38.457Z,Cunctatio stella aeneus conventus voveo degusto uberrime.
COMP0000091,CUST00041460,TOWER00332,billing_issue,low,open,2025-11-18T14:02:10.048Z,Usitas expedita condico culpa.
COMP0000092,CUST00044975,TOWER00377,service_outage,high,resolved,2025-10-29T23:06:22.369Z,Pauper adaugeo solitudo enim stipes tenuis.
COMP0000093,CUST00048508,TOWER00181,slow_data,medium,closed,2025-11-15T20:54:15.925Z,Dignissimos sumo benevolentia adicio sponte volubilis.
COMP0000094,CUST00040984,TOWER00345,dropped_call,high,investigating,2026-01-09T00:57:02.257Z,Tutis suppellex stipes cilicium deduco.
COMP0000095,CUST00012286,TOWER00273,billing_issue,critical,resolved,2026-02-03T12:33:53.683Z,Decor sum cubicularis illum sono summisse.
COMP0000096,CUST00001389,TOWER00068,poor_voice_quality,high,closed,2026-01-09T11:31:29.841Z,Tam vivo utor debitis vindico perspiciatis.
COMP0000097,CUST00007678,TOWER00411,service_outage,low,open,2025-10-28T09:39:34.176Z,Sum vesper speciosus conscendo abutor via vinco.
COMP0000098,CUST00044583,TOWER00039,billing_issue,medium,open,2025-11-22T18:17:33.610Z,Audacia sumptus summopere defetiscor.
COMP0000099,CUST00014852,TOWER00213,slow_data,high,investigating,2025-11-20T23:42:11.232Z,Depono terreo adipisci cubo explicabo spes.
COMP0000100,CUST00004746,TOWER00320,service_outage,critical,investigating,2026-02-09T11:40:34.068Z,Aspicio velum virtus causa arbustum deleniti.
COMP0000101,CUST00043417,TOWER00425,service_outage,high,open,2026-01-01T14:12:36.754Z,Adulescens usitas cattus occaecati voluntarius surculus sui cuppedia deduco.
COMP0000102,CUST00020825,TOWER00047,poor_voice_quality,critical,resolved,2025-12-03T00:42:28.525Z,Itaque contego coniecto cattus et vociferor vacuus coerceo.
COMP0000103,CUST00028008,TOWER00372,slow_data,high,open,2026-01-31T20:48:01.904Z,Civitas voro vicinus subvenio charisma corrupti.
COMP0000104,CUST00039508,TOWER00107,dropped_call,critical,investigating,2026-01-10T05:38:56.047Z,Blanditiis eligendi veritas denego aduro conscendo circumvenio decens.
COMP0000105,CUST00044085,TOWER00117,service_outage,critical,open,2025-10-09T02:57:48.461Z,Placeat carus tollo.
COMP0000106,CUST00048264,TOWER00140,slow_data,critical,closed,2025-11-24T19:23:47.827Z,Curiositas iste carpo tamdiu officiis abduco aliquid comis.
COMP0000107,CUST00041369,TOWER00359,service_outage,critical,resolved,2025-11-09T05:08:40.437Z,Auxilium cornu strues adstringo ipsam qui carpo.
COMP0000108,CUST00022526,TOWER00196,billing_issue,low,resolved,2025-10-28T20:34:58.517Z,Cariosus ustulo quia absque adamo cauda.
COMP0000109,CUST00015079,TOWER00385,billing_issue,critical,open,2026-01-31T12:08:37.818Z,Surgo conqueror stips totam venustas celo vae.
COMP0000110,CUST00002140,TOWER00484,no_signal,medium,closed,2025-11-16T07:48:53.108Z,Pariatur benevolentia ultio theologus sequi a tolero.
COMP0000111,CUST00002717,TOWER00450,slow_data,high,investigating,2026-01-26T07:41:38.641Z,Sto auditor vomito cogito vorax solio conventus sublime.
COMP0000112,CUST00007921,TOWER00421,billing_issue,medium,open,2025-12-11T09:44:43.445Z,Pectus cervus ut degero distinctio depereo conventus.
COMP0000113,CUST00015347,TOWER00128,service_outage,medium,resolved,2025-11-07T02:14:15.211Z,Volo demens absum appositus cui soleo deprimo vesper.
COMP0000114,CUST00049306,TOWER00437,poor_voice_quality,low,closed,2025-10-18T18:29:06.439Z,Cicuta conicio confido textor.
COMP0000115,CUST00041376,TOWER00440,service_outage,high,investigating,2025-10-13T11:41:55.614Z,Tergiversatio amita adsuesco volo subito ullam tenetur eaque certus cena.
COMP0000116,CUST00018213,TOWER00042,poor_voice_quality,medium,investigating,2025-12-20T06:47:52.518Z,Surgo quaerat vita aegrotatio porro velum dedecor titulus summisse.
COMP0000117,CUST00014232,TOWER00110,service_outage,low,open,2025-11-12T02:00:34.160Z,Viriliter pectus magni.
COMP0000118,CUST00047972,TOWER00438,billing_issue,low,investigating,2025-12-20T19:27:51.775Z,Apostolus aestivus quis iure.
COMP0000119,CUST00040956,TOWER00411,poor_voice_quality,low,resolved,2025-12-08T01:22:28.586Z,Apostolus cito cedo harum adhuc bibo cohaero universe comptus.
COMP0000120,CUST00049013,TOWER00078,billing_issue,high,investigating,2025-11-08T15:07:34.706Z,Tepesco tamen tardus subito.
COMP0000121,CUST00037922,TOWER00077,billing_issue,critical,resolved,2026-02-02T05:05:04.466Z,Sto canto tener conservo curo cuppedia.
COMP0000122,CUST00024774,TOWER00291,billing_issue,low,closed,2026-01-23T13:58:35.332Z,Vulariter vomica excepturi utique.
COMP0000123,CUST00033480,TOWER00111,billing_issue,medium,open,2025-12-07T09:35:33.263Z,Hic complectus cunctatio.
COMP0000124,CUST00023081,TOWER00081,no_signal,low,investigating,2025-10-26T10:23:28.003Z,Comptus combibo tergeo circumvenio consequatur acceptus caterva sunt quae spargo.
COMP0000125,CUST00035281,TOWER00224,slow_data,medium,open,2025-10-06T02:28:38.981Z,Adeptio subiungo occaecati.
COMP0000126,CUST00004728,TOWER00495,slow_data,critical,resolved,2025-10-23T07:12:29.786Z,Teres aedificium tepesco arx repudiandae civis.
COMP0000127,CUST00043973,TOWER00368,service_outage,medium,open,2025-10-16T05:43:39.071Z,Itaque amita vetus agnosco arx.
COMP0000128,CUST00027151,TOWER00045,billing_issue,critical,closed,2025-11-19T19:59:15.921Z,Aegre adfectus vesco possimus ulterius audeo depraedor volup attollo appositus.
COMP0000129,CUST00010058,TOWER00191,slow_data,critical,investigating,2026-01-21T15:14:38.045Z,Voluptatibus tibi deprimo nemo calcar amplexus cauda.
COMP0000130,CUST00046644,TOWER00045,no_signal,medium,closed,2025-11-30T07:59:00.511Z,Aegrus defleo odit et sto vaco nisi apto.
COMP0000131,CUST00009929,TOWER00223,billing_issue,low,resolved,2025-12-20T10:09:28.910Z,Torrens curiositas ara vir cogo balbus cohibeo subnecto.
COMP0000132,CUST00029179,TOWER00016,billing_issue,critical,open,2026-01-19T05:49:52.956Z,Comes capillus verumtamen similique clarus.
COMP0000133,CUST00006304,TOWER00075,service_outage,critical,closed,2026-02-07T08:11:25.982Z,Suggero denique tabgo summa alioqui alienus charisma sperno spoliatio benigne.
COMP0000134,CUST00015228,TOWER00368,dropped_call,critical,open,2025-10-22T06:14:32.587Z,Sint viscus tonsor calamitas.
COMP0000135,CUST00005671,TOWER00093,slow_data,critical,resolved,2026-01-05T10:27:30.814Z,Vindico colo addo vulariter vehemens truculenter.
COMP0000136,CUST00018907,TOWER00440,billing_issue,low,closed,2025-11-30T09:49:59.130Z,Deduco adhuc repellendus est pel viduo impedit.
COMP0000137,CUST00043836,TOWER00398,billing_issue,medium,open,2025-12-12T18:35:20.426Z,Exercitationem turba corporis cuppedia absque amplexus officiis.
COMP0000138,CUST00048683,TOWER00203,dropped_call,high,resolved,2025-11-07T19:34:49.648Z,Denuncio architecto tripudio volva quia tergo copiose.
COMP0000139,CUST00040713,TOWER00144,slow_data,low,closed,2025-11-19T03:35:38.983Z,Usque cunabula adfectus.
COMP0000140,CUST00010113,TOWER00486,billing_issue,low,resolved,2026-02-04T23:38:24.256Z,Tenuis addo ventus tripudio adinventitias.
COMP0000141,CUST00032477,TOWER00204,no_signal,high,resolved,2025-10-03T11:07:51.556Z,Considero territo cribro decretum tergiversatio eveniet victoria victus adeo deleniti.
COMP0000142,CUST00017705,TOWER00287,slow_data,high,investigating,2026-01-10T17:44:16.085Z,Aetas vilis consectetur casso.
COMP0000143,CUST00002939,TOWER00226,billing_issue,medium,resolved,2026-01-21T06:01:39.653Z,Non reprehenderit terga cornu peccatus ex amplus.
COMP0000144,CUST00010235,TOWER00001,billing_issue,critical,investigating,2026-01-04T18:04:09.575Z,Quod desolo tepesco aureus.
COMP0000145,CUST00034726,TOWER00029,dropped_call,critical,closed,2026-01-22T03:19:55.188Z,Tabesco careo sum demitto calamitas id tredecim cui verbum natus.
COMP0000146,CUST00035524,TOWER00222,slow_data,low,investigating,2025-11-06T15:25:49.621Z,Avaritia ustulo libero aggero abbas vero conscendo desino stultus currus.
COMP0000147,CUST00026910,TOWER00172,poor_voice_quality,medium,investigating,2025-11-18T06:17:12.593Z,Officiis aiunt spargo sub vociferor advoco dicta vox.
COMP0000148,CUST00002677,TOWER00379,billing_issue,high,resolved,2025-11-30T11:25:45.724Z,Audio tactus admitto comedo aestivus.
COMP0000149,CUST00046527,TOWER00323,poor_voice_quality,low,investigating,2025-11-26T10:14:39.656Z,Considero sol angulus cohibeo.
COMP0000150,CUST00013458,TOWER00216,poor_voice_quality,low,open,2025-10-05T17:43:02.864Z,Vox aliqua defleo adfectus amplus.
COMP0000151,CUST00012041,TOWER00445,billing_issue,critical,closed,2025-12-30T06:51:36.884Z,Carcer spiculum usus.
COMP0000152,CUST00005282,TOWER00083,dropped_call,low,resolved,2025-10-26T14:09:35.373Z,Vero cedo aptus subvenio casso ducimus sint terminatio sumptus depulso.
COMP0000153,CUST00010081,TOWER00077,service_outage,high,investigating,2025-12-22T15:26:26.393Z,Fuga acquiro bene.
COMP0000154,CUST00004034,TOWER00249,no_signal,low,resolved,2025-10-28T04:36:44.205Z,Nulla victus aptus.
COMP0000155,CUST00002615,TOWER00079,poor_voice_quality,low,investigating,2025-11-08T13:12:58.984Z,Valens vero dapifer decor similique tener absens pecco supra culpa.
COMP0000156,CUST00001849,TOWER00025,poor_voice_quality,high,investigating,2026-02-11T15:10:56.392Z,Veritatis assumenda vito appositus terebro culpa.
COMP0000157,CUST00007049,TOWER00257,no_signal,low,closed,2025-10-19T16:05:02.280Z,Peior summa traho voluptates aranea aggredior pectus usus defleo.
COMP0000158,CUST00025653,TOWER00008,no_signal,medium,investigating,2026-01-19T12:52:50.702Z,Utpote confido anser depromo explicabo magni beatus statua adeptio.
COMP0000159,CUST00014257,TOWER00008,dropped_call,medium,open,2025-10-27T03:01:59.127Z,Demonstro aut tergeo.
COMP0000160,CUST00008190,TOWER00198,poor_voice_quality,critical,open,2025-10-31T08:02:24.039Z,Eveniet crapula pariatur caelum utilis.
COMP0000161,CUST00024558,TOWER00105,billing_issue,medium,investigating,2025-11-12T00:36:35.933Z,Villa ulciscor cuppedia spero crastinus.
COMP0000162,CUST00012307,TOWER00495,billing_issue,medium,open,2025-12-20T12:28:57.423Z,Soluta voluptatibus coepi temperantia repellendus taceo vicissitudo.
COMP0000163,CUST00023741,TOWER00128,dropped_call,high,closed,2025-11-04T05:14:32.289Z,Recusandae deduco defetiscor.
COMP0000164,CUST00001970,TOWER00128,slow_data,medium,closed,2025-11-23T16:37:17.109Z,Dicta correptius consuasor.
COMP0000165,CUST00035582,TOWER00013,billing_issue,low,investigating,2026-01-10T19:56:59.460Z,Cubicularis laboriosam trepide allatus tumultus.
COMP0000166,CUST00021781,TOWER00362,billing_issue,low,resolved,2025-10-26T02:01:07.043Z,Chirographum templum advoco.
COMP0000167,CUST00033152,TOWER00273,service_outage,medium,investigating,2025-10-27T22:35:02.306Z,Bestia sub temptatio suscipit voluntarius vetus defungo considero.
COMP0000168,CUST00004620,TOWER00037,billing_issue,critical,investigating,2025-10-31T04:34:26.584Z,Alo at velit peior.
COMP0000169,CUST00044521,TOWER00041,poor_voice_quality,low,closed,2026-01-06T08:00:43.917Z,Celer adinventitias clam tracto qui aureus atqui.
COMP0000170,CUST00018927,TOWER00232,poor_voice_quality,medium,resolved,2026-01-15T07:50:07.681Z,Celebrer admitto cresco strues curso consuasor aliqua contego eligendi.
COMP0000171,CUST00007935,TOWER00108,slow_data,high,closed,2025-11-24T00:15:15.020Z,Audeo coniuratio defessus ustilo antiquus thymbra trans amita admoneo termes.
COMP0000172,CUST00033725,TOWER00500,no_signal,low,investigating,2026-01-02T06:47:32.934Z,Coniuratio accedo incidunt fugiat reprehenderit cruciamentum strenuus apud defero.
COMP0000173,CUST00040893,TOWER00104,service_outage,low,resolved,2025-11-29T19:51:43.090Z,Abbas dolorem sint vulnus odit uterque arto cuius.
COMP0000174,CUST00033976,TOWER00101,slow_data,low,open,2025-10-16T13:37:35.565Z,Dolorum dolor vir rerum nesciunt advoco crustulum attonbitus.
COMP0000175,CUST00028301,TOWER00423,billing_issue,medium,open,2026-01-18T13:23:08.670Z,Voluptas calamitas verbum taceo omnis cornu.
COMP0000176,CUST00036878,TOWER00289,slow_data,low,closed,2026-01-25T16:35:54.105Z,Succurro complectus derideo delicate decet explicabo utroque audentia.
COMP0000177,CUST00005088,TOWER00271,billing_issue,low,open,2025-11-07T23:12:14.329Z,Tollo verbera utique clamo voluptatibus.
COMP0000178,CUST00044033,TOWER00071,slow_data,medium,resolved,2025-12-14T01:17:55.047Z,Cupiditas corrumpo trucido aggero canis tergum dicta nulla.
COMP0000179,CUST00042498,TOWER00090,slow_data,low,resolved,2025-10-14T15:34:10.739Z,Convoco undique sono deprecator utpote conculco velum appono.
COMP0000180,CUST00014366,TOWER00098,dropped_call,low,resolved,2025-12-04T19:45:14.618Z,Vilitas comburo curis vilitas sui aufero totam commodi.
COMP0000181,CUST00024437,TOWER00395,dropped_call,low,resolved,2025-11-12T15:40:07.182Z,Placeat cerno adimpleo vociferor defaeco veritatis comitatus acervus.
COMP0000182,CUST00038739,TOWER00260,slow_data,critical,closed,2026-01-10T12:51:59.758Z,Caterva curriculum sto demens bellicus speciosus ademptio cursim ademptio.
COMP0000183,CUST00020949,TOWER00325,dropped_call,medium,resolved,2025-11-28T13:18:10.035Z,Suscipit commodi placeat fugit vacuus pecto demergo civitas correptius.
COMP0000184,CUST00033964,TOWER00390,poor_voice_quality,high,closed,2026-01-18T16:25:12.175Z,Ademptio antepono beatae spiculum vilicus velociter tripudio.
COMP0000185,CUST00041691,TOWER00322,poor_voice_quality,low,open,2025-12-12T09:47:27.695Z,Praesentium amplexus brevis clementia natus basium.
COMP0000186,CUST00028504,TOWER00015,dropped_call,low,open,2025-12-10T08:06:59.751Z,Beatae subiungo vitae corrupti candidus adicio.
COMP0000187,CUST00013239,TOWER00343,no_signal,low,open,2025-12-28T08:20:24.010Z,Vilitas decretum abutor ullus architecto cunabula ex caterva temeritas.
COMP0000188,CUST00008799,TOWER00433,poor_voice_quality,low,investigating,2026-01-17T23:18:40.714Z,Sub coepi suasoria timidus surculus.
COMP0000189,CUST00018187,TOWER00196,no_signal,high,resolved,2025-10-10T20:09:02.485Z,Deprecator adiuvo demitto curso commodi sursum urbanus depulso carus coaegresco.
