record_id,tower_id,timestamp,temperature_c,humidity_percent,wind_speed_kmh,precipitation_mm,condition
WX000043,TOWER00076,2025-11-15T00:38:02.098Z,36.5,78,32.9,41.6,storm
WX000044,TOWER00338,2025-10-25T21:38:39.856Z,36.9,97,41.9,7.7,fog
WX000045,TOWER00213,2026-01-05T06:34:10.880Z,-1.7,65,48.7,38.9,clear
WX000046,TOWER00368,2025-10-13T15:08:30.466Z,35.9,88,9.4,6.4,fog
WX000047,TOWER00460,2026-01-06T03:06:09.471Z,13,55,54.5,2,storm
WX000048,TOWER00003,2025-10-25T20:17:28.111Z,13,67,36.9,40.4,cloudy
WX000049,TOWER00146,2025-10-28T22:08:45.216Z,30.9,31,56.2,48.7,snow
WX000050,TOWER00470,2025-12-22T16:23:03.356Z,8,22,34,46.9,fog
WX000051,TOWER00150,2026-02-07T14:54:21.187Z,38.1,71,45.9,15.6,cloudy
WX000052,TOWER00110,2025-12-01T14:36:53.320Z,1.3,88,40.5,47.7,rain
WX000053,TOWER00078,2025-12-02T21:12:55.699Z,8.8,31,34.4,34.8,snow
WX000054,TOWER00385,2025-10-17T15:12:04.517Z,3.7,53,50.6,15.9,storm
WX000055,TOWER00242,2025-10-20T03:24:27.295Z,22.5,34,49.9,46.9,snow
WX000056,TOWER00182,2025-12-09T12:00:29.664Z,9.7,71,0.1,41.6,cloudy
WX000057,TOWER00206,2026-01-21T06:46:43.285Z,23.6,62,30.5,9.4,snow
WX000058,TOWER00322,2026-01-03T02:36:02.018Z,6.1,55,17.3,0,snow
WX000059,TOWER00149,2025-10-31T02:07:16.188Z,10.2,49,42.1,4.1,clear
WX000060,TOWER00159,2025-12-01T12:17:59.595Z,28.9,55,15.8,46,storm
WX000061,TOWER00075,2026-01-22T22:45:10.117Z,-3.5,100,35.1,46.6,storm
WX000062,TOWER00422,2025-12-25T01:38:08.930Z,-2.5,51,3.7,17,storm
WX000063,TOWER00500,2025-12-19T10:59:42.051Z,29.3,89,36,25.2,storm
WX000064,TOWER00054,2026-01-30T15:38:28.716Z,37.8,43,54.7,7.7,clear
WX000065,TOWER00483,2025-10-09T04:44:56.005Z,9.7,37,36.4,6.3,rain
WX000066,TOWER00354,2025-11-25T07:15:25.995Z,-9,42,14.3,19.5,snow
WX000067,TOWER00433,2025-10-03T20:42:27.522Z,38.8,69,47.9,8.6,cloudy
WX000068,TOWER00131,2025-11-15T15:43:54.201Z,-4.5,62,37.3,21.5,cloudy
WX000069,TOWER00277,2025-11-07T05:20:47.681Z,15.1,39,54.1,38.5,rain
WX000070,TOWER00093,2026-01-11T02:16:36.426Z,37.4,83,38.6,19.2,snow
WX000071,TOWER00346,2025-11-18T15:41:43.353Z,4.5,89,3.4,21.8,clear
WX000072,TOWER00255,2026-01-12T07:03:56.362Z,2.1,20,33.9,31.1,fog
WX000073,TOWER00138,2025-10-01T03:38:52.149Z,4,20,57.4,6.4,snow
WX000074,TOWER00163,2026-01-13T16:42:38.443Z,26.2,90,1,16.7,rain
WX000075,TOWER00428,2026-01-25T04:44:56.539Z,31.2,98,50.7,36.2,cloudy
WX000076,TOWER00441,2025-10-24T12:32:34.853Z,35.1,26,24.8,6.4,rain
WX000077,TOWER00369,2025-10-02T02:50:51.643Z,16.2,90,49.5,42.8,cloudy
WX000078,TOWER00163,2026-01-26T18:30:45.987Z,-6,24,18.1,10.1,rain
WX000079,TOWER00409,2026-01-07T18:15:14.734Z,-3.4,51,24.5,47.3,fog
WX000080,TOWER00023,2025-11-24T12:13:49.728Z,-2.7,44,32.7,6.4,cloudy
WX000081,TOWER00131,2026-01-01T18:27:37.414Z,-0.9,92,45.1,7,cloudy
WX000082,TOWER00413,2025-10-17T14:47:28.188Z,13.1,60,48.8,28.9,storm
WX000083,TOWER00220,2025-11-27T08:06:02.411Z,0.7,60,10.4,4.8,clear
WX000084,TOWER00310,2025-11-16T02:40:22.315Z,3.5,45,58.7,35.8,fog
WX000085,TOWER00460,2026-01-12T19:14:34.845Z,37,33,14,27.9,rain
WX000086,TOWER00449,2025-12-22T16:10:41.917Z,30.3,53,8.5,35.5,snow
WX000087,TOWER00440,2025-11-18T20:33:37.911Z,39.5,79,2.4,44.1,snow
WX000088,TOWER00234,2025-10-02T00:03:23.246Z,30.3,70,30.5,5.5,cloudy
WX000089,TOWER00327,2025-10-22T10:37:03.299Z,-2.8,84,19.5,40.6,storm
WX000090,TOWER00366,2026-02-01T04:30:38.194Z,7.5,43,36.8,14.6,clear
WX000091,TOWER00030,2025-10-28T14:57:39.572Z,17.4,81,2.9,13.6,rain
WX000092,TOWER00128,2025-11-28T02:48:50.305Z,17.9,38,51.1,16.4,clear
WX000093,TOWER00448,2026-01-13T05:58:27.637Z,-6.5,31,54.5,31.2,cloudy
WX000094,TOWER00446,2025-10-09T01:44:37.659Z,38,58,26.5,27.6,storm
WX000095,TOWER00388,2025-12-21T23:32:30.015Z,13.4,59,44,17.7,snow
WX000096,TOWER00301,2026-01-05T21:13:53.355Z,-5.3,90,58.1,16.4,clear
WX000097,TOWER00182,2025-11-22T23:34:59.196Z,33.5,45,52.1,3.3,fog
WX000098,TOWER00150,2025-12-05T04:17:18.637Z,38.6,61,29.8,49,rain
WX000099,TOWER00404,2025-11-10T18:10:06.316Z,6.5,28,51.5,38.3,rain
WX000100,TOWER00409,2025-11-05T01:11:51.368Z,-2.4,79,59,36.3,fog
WX000101,TOWER00424,2025-11-03T16:33:21.046Z,34.7,69,24.1,33.7,storm
WX000102,TOWER00035,2025-12-05T10:45:27.188Z,28.5,48,50.4,4.5,clear
WX000103,TOWER00141,2025-10-28T12:50:46.183Z,8.6,31,25.9,25.4,cloudy
WX000104,TOWER00350,2025-11-02T22:56:56.745Z,15.5,92,48.7,27.4,clear
WX000105,TOWER00205,2025-11-09T10:30:09.796Z,28.8,23,1.4,29.3,clear
WX000106,TOWER00181,2025-10-20T03:47:38.677Z,17,57,44.8,33.5,rain
WX000107,TOWER00247,2025-12-03T04:51:44.219Z,24,38,56.4,39,rain
WX000108,TOWER00025,2025-10-10T22:37:47.122Z,-7.7,59,14.2,20.4,snow
WX000109,TOWER00387,2025-10-11T15:14:18.085Z,-5,75,47.2,28.2,fog
WX000110,TOWER00014,2025-11-02T08:30:02.074Z,19.5,53,11.9,7.4,cloudy
WX000111,TOWER00329,2026-01-12T13:32:50.701Z,5.5,83,8,48.1,cloudy
WX000112,TOWER00401,2025-11-06T13:06:08.760Z,-3.8,95,17.5,31.4,storm
WX000113,TOWER00100,2025-11-25T12:01:36.211Z,21.2,88,52.8,11.8,fog
WX000114,TOWER00408,2026-01-30T22:58:29.353Z,1.7,20,42.1,6.5,cloudy
WX000115,TOWER00168,2026-02-05T20:55:11.712Z,9.6,72,43.7,19.8,cloudy
WX000116,TOWER00365,2025-12-03T16:27:42.131Z,6.3,20,54.5,30.3,clear
WX000117,TOWER00375,2025-10-06T01:51:55.201Z,33.7,87,12.7,26.9,fog
WX000118,TOWER00157,2025-11-11T15:56:16.201Z,1.2,52,35.7,45.2,rain
WX000119,TOWER00014,2025-12-12T22:20:30.640Z,15.4,38,28,38.2,clear
WX000120,TOWER00413,2025-12-06T01:56:12.783Z,31.3,34,56.6,24.2,cloudy
WX000121,TOWER00178,2025-12-26T09:21:23.052Z,8.5,36,31.6,16.5,clear
WX000122,TOWER00499,2025-10-26T15:34:46.784Z,12.7,39,29.3,6.2,clear
WX000123,TOWER00213,2025-11-26T01:20:45.389Z,19,76,51.1,9.8,clear
WX000124,TOWER00287,2025-12-27T04:35:49.844Z,40,32,3.1,27.6,storm
WX000125,TOWER00039,2025-10-20T06:44:51.817Z,13.1,63,2.2,0.5,fog
WX000126,TOWER00037,2026-01-09T17:19:39.559Z,8.4,59,18.8,29.1,rain
WX000127,TOWER00433,2026-01-06T16:00:51.247Z,37.9,25,32.4,45.4,rain
WX000128,TOWER00440,2026-01-09T16:23:26.404Z,35.7,64,42.2,25.9,cloudy
WX000129,TOWER00284,2025-10-10T10:00:35.093Z,31.8,55,44,22,snow
WX000130,TOWER00181,2026-01-24T09:06:27.611Z,36.7,60,34.6,41.6,fog
WX000131,TOWER00256,2025-11-20T02:40:47.169Z,9.5,51,57.1,6.6,clear
WX000132,TOWER00242,2025-12-15T14:54:30.070Z,25.4,35,5.3,31.2,storm
WX000133,TOWER00063,2025-12-16T05:14:59.696Z,26.7,29,20.1,45.5,cloudy
WX000134,TOWER00388,2025-10-19T22:43:08.010Z,14.6,93,2.4,26.6,snow
WX000135,TOWER00279,2025-12-28T20:07:35.063Z,39.2,63,2.7,22.8,cloudy
WX000136,TOWER00291,2025-12-19T09:45:47.379Z,29.3,55,59.2,24.2,cloudy
WX000137,TOWER00128,2025-10-22T09:09:02.613Z,30.7,89,35.5,35,snow
WX000138,TOWER00004,2025-10-09T00:31:01.207Z,7,81,58.5,45.8,cloudy
WX000139,TOWER00148,2025-11-14T00:43:38.931Z,17.4,67,38.4,21.3,storm
WX000140,TOWER00354,2025-11-01T19:45:20.395Z,3.9,60,8.5,8.9,snow
WX000141,TOWER00272,2025-12-12T02:09:27.064Z,-4.4,75,37.9,49.6,snow
WX000142,TOWER00103,2025-10-10T15:29:56.347Z,33.1,60,54.7,38.1,cloudy
WX000143,TOWER00074,2026-01-30T22:17:52.058Z,1.5,22,14.3,14.2,fog
WX000144,TOWER00416,2025-12-31T01:16:12.196Z,12.6,70,10,12.1,fog
WX000145,TOWER00349,2026-01-13T16:06:21.930Z,11.6,72,43.4,38.9,snow
WX000146,TOWER00130,2025-10-04T00:51:54.591Z,35.3,36,56.7,46.5,storm
WX000147,TOWER00261,2026-01-26T00:36:48.893Z,35,82,0.7,37.4,storm
WX000148,TOWER00442,2026-01-20T18:54:27.476Z,4.7,81,45.8,35.4,storm
WX000149,TOWER00438,2026-01-30T12:33:33.576Z,38.8,59,6.3,19.8,rain
WX000150,TOWER00068,2026-02-11T05:16:49.266Z,-2.6,30,38.9,4.8,cloudy
WX000151,TOWER00334,2025-10-11T01:46:43.208Z,36.4,86,30.9,22.7,clear
WX000152,TOWER00282,2026-01-21T11:22:20.538Z,11.8,75,16.7,15.6,cloudy
WX000153,TOWER00231,2026-02-14T07:00:19.755Z,16.3,96,7.2,6.6,storm
WX000154,TOWER00324,2025-10-04T17:59:28.939Z,-6.6,35,39.4,12.1,storm
WX000155,TOWER00005,2025-10-17T06:46:27.938Z,-5.5,54,43.6,45.4,cloudy
WX000156,TOWER00470,2026-02-06T06:11:59.248Z,21.4,94,1.1,26.8,clear
WX000157,TOWER00231,2026-01-09T12:15:43.148Z,-6.4,76,44.8,40.3,cloudy
WX000158,TOWER00446,2025-12-25T13:29:21.499Z,26.7,28,54.9,42,snow
WX000159,TOWER00102,2025-11-08T07:53:06.515Z,32.6,53,5.9,40,clear
WX000160,TOWER00333,2026-01-04T02:29:15.209Z,13.8,25,59,32.1,snow
WX000161,TOWER00347,2026-01-12T07:36:15.253Z,33.5,59,47.4,15.4,snow
WX000162,TOWER00184,2026-01-20T01:54:42.209Z,9.8,59,0.1,22.4,storm
WX000163,TOWER00290,2025-10-16T21:31:14.544Z,9.3,56,42.8,9.9,fog
WX000164,TOWER00459,2025-11-21T21:27:32.828Z,37.6,27,20,19.6,storm
WX000165,TOWER00462,2026-01-28T07:30:37.981Z,6.9,44,46.2,7.8,clear
WX000166,TOWER00272,2026-02-10T01:17:22.179Z,17.5,81,56.3,43.7,snow
WX000167,TOWER00416,2025-10-03T02:44:01.752Z,-4.3,81,21.8,1.5,storm
WX000168,TOWER00024,2026-01-08T19:40:14.568Z,16.8,34,59.2,18.6,clear
WX000169,TOWER00401,2026-02-06T12:33:21.395Z,25.8,84,50.5,46.6,snow
WX000170,TOWER00296,2025-12-09T15:42:37.156Z,16.3,66,35.7,39.7,rain
WX000171,TOWER00299,2025-10-05T18:53:29.564Z,39,59,14.1,38.7,rain
WX000172,TOWER00091,2026-02-03T20:23:17.468Z,35.3,74,22.7,19.1,storm
WX000173,TOWER00315,2026-01-21T07:14:25.146Z,17.2,22,31.4,25.8,snow
WX000174,TOWER00188,2025-10-09T19:24:46.021Z,28.9,28,2.6,38.7,cloudy
WX000175,TOWER00051,2025-11-22T14:07:26.635Z,-0.4,65,39.3,1.6,fog
WX000176,TOWER00139,2026-01-21T17:48:46.183Z,-4.6,79,17.2,43.3,rain
WX000177,TOWER00348,2026-02-02T10:36:18.454Z,7.8,89,7.3,25.3,storm
WX000178,TOWER00315,2026-01-29T12:26:58.000Z,30.5,100,26.8,42.6,fog
WX000179,TOWER00040,2026-01-02T18:17:42.650Z,5.7,44,57.2,3.8,storm
WX000180,TOWER00494,2026-01-08T03:11:06.454Z,-6.1,37,35.4,33.8,cloudy
WX000181,TOWER00140,2025-11-30T23:44:11.447Z,19.8,94,33,42.9,clear
WX000182,TOWER00316,2026-01-31T12:37:08.827Z,20.6,53,2.7,2.7,storm
WX000183,TOWER00098,2025-12-12T12:27:49.577Z,0.2,58,6.8,5.8,clear
WX000184,TOWER00400,2026-01-01T13:25:24.453Z,9.9,48,3.7,45.5,fog
WX000185,TOWER00051,2025-11-05T03:12:28.623Z,29.1,31,46,4.2,clear
WX000186,TOWER00272,2025-11-20T05:23:06.397Z,17.6,67,58.1,43.9,storm
WX000187,TOWER00096,2025-12-13T12:58:06.588Z,5.3,64,48.8,34.9,clear
WX000188,TOWER00210,2026-01-30T23:29:00.326Z,14.2,78,19.8,2.2,rain
WX000189,TOWER00231,2025-10-09T12:08:38.303Z,-2.2,73,56,13,cloudy
WX000190,TOWER00251,2025-11-19T04:03:32.431Z,2.4,60,32,43.6,storm
WX000191,TOWER00385,2025-11-15T04:38:43.576Z,39.2,89,29.4,37.4,rain
WX000192,TOWER00334,2025-10-26T20:47:48.353Z,-4.8,69,54,10.6,cloudy
WX000193,TOWER00137,2025-12-31T08:39:34.065Z,12.2,32,25.2,14.6,snow
WX000194,TOWER00425,2025-12-11T04:38:44.316Z,39.8,39,56.4,13,storm
WX000195,TOWER00224,2025-10-16T09:06:51.959Z,32.7,43,37.6,30.6,fog
WX000196,TOWER00090,2025-11-05T17:53:42.943Z,17,25,17.9,16.7,rain
WX000197,TOWER00410,2025-12-18T07:43:51.681Z,2,70,57.8,43.8,cloudy
WX000198,TOWER00243,2025-12-08T11:11:48.301Z,17.5,91,51.9,21.9,cloudy
WX000199,TOWER00209,2025-12-07T06:47:42.972Z,23.2,49,49.2,24,cloudy
WX000200,TOWER00075,2026-01-08T13:36:03.523Z,5,26,58,43.9,fog
WX000201,TOWER00283,2025-12-08T13:36:08.794Z,27.7,70,8,9.2,rain
WX000202,TOWER00270,2025-10-01T06:31:54.168Z,-5.1,30,21.8,47.8,storm
WX000203,TOWER00065,2025-12-14T11:43:37.557Z,32.2,61,37.2,28.3,fog
WX000204,TOWER00003,2025-12-06T04:59:49.172Z,13.7,98,14.1,43.9,rain
WX000205,TOWER00331,2026-02-06T14:57:22.306Z,31.5,43,13,46.6,clear
WX000206,TOWER00321,2025-10-09T15:53:38.180Z,19.1,95,2.5,4.4,rain
WX000207,TOWER00043,2025-12-05T22:25:25.287Z,1,92,41.4,15.6,clear
WX000208,TOWER00315,2026-01-18T03:18:18.956Z,-8.7,70,26.1,18.9,cloudy
WX000209,TOWER00213,2025-11-05T02:00:39.998Z,18.7,46,10.7,23.5,storm
WX000210,TOWER00382,2025-10-08T15:33:10.029Z,14.5,83,5.2,36.6,cloudy
WX000211,TOWER00210,2026-01-20T15:29:40.787Z,20.5,30,28.3,14,fog
WX000212,TOWER00325,2025-12-28T11:53:22.330Z,-5.7,67,30.7,7.4,snow
WX000213,TOWER00358,2025-12-20T14:19:04.006Z,-1.5,95,5.7,40.4,clear
WX000214,TOWER00432,2025-10-18T23:31:49.830Z,29.4,39,28.5,38.6,fog
WX000215,TOWER00467,2025-12-21T11:09:00.667Z,13.9,36,11.5,37.4,fog
WX000216,TOWER00129,2026-02-12T19:22:44.616Z,14,36,34.8,39.4,snow
WX000217,TOWER00376,2025-11-03T02:23:00.298Z,-6.2,56,34,6.8,storm
WX000218,TOWER00373,2025-11-15T06:59:53.543Z,5,65,17.3,10,clear
WX000219,TOWER00408,2026-01-07T15:28:52.097Z,-9.5,83,7.3,17.4,fog
WX000220,TOWER00188,2026-01-30T01:51:58.749Z,9.6,48,3.1,46,clear
WX000221,TOWER00441,2026-01-06T22:09:09.439Z,4.1,81,1.2,16,cloudy
WX000222,TOWER00179,2025-10-21T23:36:05.563Z,-8.4,63,38.4,30.5,clear
WX000223,TOWER00040,2026-01-31T23:39:44.329Z,17.6,39,16.2,19,rain
WX000224,TOWER00307,2025-11-11T21:56:11.501Z,2.5,44,54.9,46.9,rain
WX000225,TOWER00413,2025-11-07T03:33:28.817Z,39.2,51,41.3,24.7,rain
WX000226,TOWER00463,2026-02-12T07:26:14.924Z,-9.4,99,55.1,3,storm
WX000227,TOWER00259,2025-12-10T10:52:38.458Z,2.3,61,2.3,26.8,snow
WX000228,TOWER00046,2025-11-11T06:50:59.449Z,25.9,51,1.7,13.2,cloudy
WX000229,TOWER00078,2025-12-26T08:15:39.312Z,-9.8,56,5,31.5,storm
WX000230,TOWER00100,2025-11-14T12:31:15.174Z,27.7,39,43.1,12,storm
WX000231,TOWER00402,2025-11-07T22:10:16.748Z,-6.6,35,56.5,23,rain
WX000232,TOWER00379,2026-01-15T22:58:46.005Z,33.7,82,40,32.8,storm
WX000233,TOWER00302,2025-11-02T21:41:43.171Z,17.3,89,41,13,rain
WX000234,TOWER00322,2026-01-20T21:44:08.402Z,-9.6,27,53.8,42.4,cloudy
WX000235,TOWER00059,2026-02-07T03:57:38.495Z,30.2,90,16.2,44.2,snow
WX000236,TOWER00159,2025-11-09T10:24:04.523Z,15.6,77,24.1,42.4,fog
WX000237,TOWER00107,2025-12-30T19:46:23.127Z,-6.2,33,26.6,18.3,cloudy
WX000238,TOWER00205,2025-10-17T18:00:06.371Z,36.2,84,44.2,21,cloudy
WX000239,TOWER00079,2025-12-25T21:17:43.102Z,28.3,88,19.5,25.6,storm
WX000240,TOWER00380,2025-12-18T09:06:57.479Z,-3.5,57,52.1,29.3,rain
WX000241,TOWER00123,2026-01-04T17:59:25.444Z,30.6,42,10.5,5.7,rain
WX000242,TOWER00364,2026-01-04T11:09:15.307Z,38.7,83,23.3,46.5,fog
WX000243,TOWER00326,2025-12-07T11:49:02.743Z,3.6,39,48.6,49.2,cloudy
WX000244,TOWER00392,2025-12-19T21:39:50.275Z,-4.7,54,17.2,45.3,storm
WX000245,TOWER00291,2026-01-02T00:33:23.347Z,4.6,73,52.1,23.1,fog
WX000246,TOWER00050,2026-01-15T07:32:55.774Z,39.6,39,54.6,27.3,fog
WX000247,TOWER00210,2025-12-12T14:13:54.646Z,7.9,78,31.1,6.9,cloudy
WX000248,TOWER00230,2025-10-11T21:59:44.513Z,23.8,27,49.8,10.8,rain
WX000249,TOWER00310,2025-12-25T17:47:50.996Z,33.5,38,24.3,30.9,snow
WX000250,TOWER00161,2025-10-21T10:14:51.036Z,-9.4,87,36.9,0.3,fog
WX000251,TOWER00050,2025-12-10T08:19:28.067Z,-7.8,21,59.5,41.3,snow
WX000252,TOWER00114,2025-12-30T15:14:30.017Z,28.2,33,58.7,4.2,snow
WX000253,TOWER00272,2026-01-06T19:43:58.548Z,20.5,59,57.4,33.2,clear
WX000254,TOWER00024,2025-10-25T19:30:14.209Z,30.4,46,38.6,15.2,storm
WX000255,TOWER00026,2025-11-01T07:25:52.866Z,11.4,25,1.9,15.9,rain
WX000256,TOWER00367,2026-02-12T02:31:01.913Z,3.4,41,23.6,31.3,storm
WX000257,TOWER00376,2025-11-27T13:27:59.522Z,33.2,25,22.5,4.7,clear
WX000258,TOWER00011,2026-02-08T16:23:59.172Z,-5.9,32,47.8,23.2,fog
WX000259,TOWER00364,2026-01-14T11:15:20.244Z,-5.8,77,38.6,16.5,storm
WX000260,TOWER00143,2025-11-19T17:21:06.594Z,32,49,16.8,11.8,snow
WX000261,TOWER00348,2025-12-22T12:54:47.761Z,-7.2,43,45.2,4.3,fog
WX000262,TOWER00139,2025-10-30T11:02:17.045Z,33,67,13.8,18.9,clear
WX000263,TOWER00329,2025-11-15T14:49:55.478Z,33.7,70,38.9,48.7,rain
WX000264,TOWER00010,2026-01-10T08:59:44.628Z,-6.8,85,51.9,46.3,snow
WX000265,TOWER00398,2025-12-07T09:51:57.220Z,25.9,38,45.1,29.1,rain
WX000266,TOWER00110,2025-10-12T02:04:14.555Z,20.3,40,43.6,25.7,clear
WX000267,TOWER00346,2025-10-21T22:17:23.961Z,7,96,10.2,49.1,rain
WX000268,TOWER00030,2025-12-15T01:50:41.984Z,7.1,29,38,13.8,snow
WX000269,TOWER00025,2025-11-11T00:56:18.884Z,-3.9,78,17.9,43.2,clear
WX000270,TOWER00101,2025-10-27T00:47:27.991Z,34.8,100,35.9,37.6,clear
WX000271,TOWER00419,2026-02-13T19:31:55.680Z,9.6,63,59.2,28,rain
WX000272,TOWER00092,2026-02-10T13:15:10.370Z,36.5,76,9.8,1.4,rain
WX000273,TOWER00158,2025-10-16T18:54:48.223Z,23.6,78,2.6,0.9,snow
WX000274,TOWER00138,2025-12-13T19:12:50.231Z,-6.2,36,55.1,27.8,snow
WX000275,TOWER00199,2026-02-10T09:03:05.477Z,-1,62,54.9,31.1,cloudy
WX000276,TOWER00459,2025-11-11T18:25:39.216Z,21.9,86,20.5,45.7,storm
WX000277,TOWER00153,2025-12-19T22:55:29.396Z,25.3,26,42.2,40.6,snow
WX000278,TOWER00438,2026-01-27T13:55:10.311Z,37.5,90,14.9,27.2,rain
WX000279,TOWER00467,2026-02-13T15:16:00.848Z,23.7,29,47.8,17.2,cloudy
WX000280,TOWER00483,2025-12-15T11:13:34.111Z,0.3,89,3.4,44.4,snow
WX000281,TOWER00157,2026-02-02T21:38:48.273Z,25,30,32.6,14.2,cloudy
WX000282,TOWER00359,2026-02-13T23:18:51.100Z,12.4,33,1.5,15.3,rain
WX000283,TOWER00197,2026-01-28T17:50:16.702Z,19.3,82,5.7,44.2,fog
WX000284,TOWER00154,2025-11-17T23:29:04.650Z,24.9,94,20.2,14.1,clear
WX000285,TOWER00424,2025-12-09T22:29:10.423Z,22.7,20,4,37.6,snow
WX000286,TOWER00324,2026-01-02T20:15:43.055Z,17.7,81,15.2,8.7,snow
WX000287,TOWER00264,2025-10-10T01:41:43.948Z,24.9,31,26.8,2.9,storm
WX000288,TOWER00022,2026-02-13T02:27:07.140Z,9.7,63,1.5,37,cloudy
WX000289,TOWER00142,2025-10-02T09:32:55.050Z,-3.4,74,39.5,33.3,storm
WX000290,TOWER00002,2026-01-04T17:25:10.655Z,6.5,34,20.6,11.2,storm
WX000291,TOWER00143,2026-01-14T07:08:48.281Z,21.2,25,60,41.9,cloudy
WX000292,TOWER00442,2026-01-19T07:08:45.017Z,-4.4,50,3,45.5,snow
WX000293,TOWER00297,2025-11-07T07:38:50.902Z,9.9,55,11.6,27.1,rain
WX000294,TOWER00326,2025-12-26T14:57:22.597Z,21.7,43,38.3,16,snow
WX000295,TOWER00398,2025-11-21T00:54:38.236Z,3.9,58,6,3.4,fog
WX000296,TOWER00057,2025-12-13T23:10:41.750Z,27.2,92,29.1,34.7,cloudy
WX000297,TOWER00162,2026-02-06T11:07:57.651Z,-4.8,95,49.8,46.6,storm
WX000298,TOWER00389,2026-01-14T03:49:22.931Z,7.7,67,38.3,16.7,clear
WX000299,TOWER00357,2025-10-08T23:21:19.525Z,19,32,45,1.4,storm
WX000300,TOWER00473,2025-10-31T04:14:17.028Z,12,80,25,25,clear
WX000301,TOWER00424,2025-10-16T09:02:29.454Z,16.7,98,42.7,16.2,storm
WX000302,TOWER00330,2025-10-01T14:36:45.807Z,12.8,28,31.5,3.7,snow
