service_id,vehicle_id,service_date,service_type,odometer,cost,technician_id,notes
SVC0000023,VEH000385,2025-02-07,transmission_service,112833,224,TECH16,Catena credo compello.
SVC0000024,VEH000026,2024-10-28,oil_change,34988,1697.34,TECH39,Delego canto verbum atrox optio vetus vapulus aro comburo.
SVC0000025,VEH000070,2024-09-16,transmission_service,117009,1200.73,TECH32,Aqua toties inventore speciosus talio.
SVC0000026,VEH000358,2025-04-22,recall,10933,450.74,TECH25,Totidem abutor acies bellicus aequus asperiores strenuus defetiscor aiunt.
SVC0000027,VEH000112,2025-10-15,oil_change,143445,1692.69,TECH10,Infit magni adversus tenax tendo una cito cur.
SVC0000028,VEH000771,2024-07-25,brake_service,133093,1638.45,TECH39,Utique optio vix.
SVC0000029,VEH000188,2025-07-18,recall,54208,853.85,TECH10,Deporto aer aeternus calamitas ante cruentus.
SVC0000030,VEH000762,2024-07-12,oil_change,31310,506.66,TECH16,Vesco appono astrum ubi.
SVC0000031,VEH000135,2024-02-01,recall,9952,1036.79,TECH36,Chirographum tabula conqueror solium.
SVC0000032,VEH000035,2025-01-02,oil_change,6816,1748.6,TECH43,Aliquid velum curvo deripio sumptus.
SVC0000033,VEH000845,2025-01-01,recall,61120,1714.52,TECH30,Confero turbo vorax patruus corrupti suppellex tutamen explicabo admiratio tutis.
SVC0000034,VEH000174,2024-03-16,recall,68597,1956.36,TECH25,Accedo non commodi condico argumentum neque arguo.
SVC0000035,VEH000156,2024-02-03,engine_diagnostic,30123,807.09,TECH9,Tempus cupio amiculum vivo urbanus amitto sperno.
SVC0000036,VEH000544,2024-12-31,recall,93131,1976.94,TECH23,Demo titulus crudelis aegrotatio.
SVC0000037,VEH000016,2024-05-04,oil_change,133880,1399.4,TECH48,Subnecto ultio voluptates.
SVC0000038,VEH000205,2025-03-28,recall,135929,1301.44,TECH17,Tantum tutamen sum vilis doloribus curto collum crustulum.
SVC0000039,VEH000643,2025-11-08,oil_change,59624,168.77,TECH36,Virgo odio deorsum vestrum dignissimos delibero decipio aegrus animi.
SVC0000040,VEH000593,2024-03-15,tire_rotation,126919,1228.84,TECH17,Aegrus apparatus conturbo.
SVC0000041,VEH000224,2025-08-27,engine_diagnostic,81495,154.04,TECH41,Supra comburo vestigium beatus quia distinctio torqueo.
SVC0000042,VEH000140,2025-06-13,oil_change,7436,127.97,TECH13,Suggero thesaurus undique.
SVC0000043,VEH000814,2025-08-01,engine_diagnostic,149922,1932.94,TECH6,Iste clarus doloribus.
SVC0000044,VEH000298,2025-04-22,brake_service,66290,1829.24,TECH13,Voluptatem validus somnus comitatus tamen crebro cerno celo.
SVC0000045,VEH000317,2024-06-03,brake_service,118593,1475.09,TECH9,Viridis earum solitudo crapula surgo dolorem temporibus tutis certus.
SVC0000046,VEH000367,2025-10-08,brake_service,10864,1307.22,TECH28,Defero vorago clibanus cognomen addo.
SVC0000047,VEH000480,2025-11-25,transmission_service,66221,1351.87,TECH16,Quod stillicidium delibero virtus comburo textor curo illum.
SVC0000048,VEH000901,2024-03-29,tire_rotation,36916,71.39,TECH12,Fuga amissio omnis cubitum speculum.
SVC0000049,VEH000315,2025-11-06,brake_service,84254,192.64,TECH40,Dolorem ater tendo allatus capillus.
SVC0000050,VEH000999,2024-05-26,recall,128481,1278.69,TECH33,Urbanus suscipio astrum pecco autem.
SVC0000051,VEH000316,2025-07-21,engine_diagnostic,74482,652.26,TECH10,Summa cavus argentum.
SVC0000052,VEH000092,2024-11-16,transmission_service,119328,1047.2,TECH2,Vester defleo comes timidus arguo caelestis adhuc acies audeo.
SVC0000053,VEH000576,2026-01-14,recall,110495,1026.14,TECH11,Curvo suppono solutio solutio cenaculum coruscus bardus tabgo quasi.
SVC0000054,VEH000802,2024-01-08,tire_rotation,67311,1166.41,TECH20,Adficio basium aer subnecto antepono accusamus truculenter.
SVC0000055,VEH000107,2024-02-20,transmission_service,78028,740.76,TECH30,Deorsum doloremque supplanto accedo stillicidium sopor ars tactus accusantium bellicus.
SVC0000056,VEH000083,2024-04-14,tire_rotation,38243,1024.65,TECH1,Aperio sol adulescens cubitum abduco.
SVC0000057,VEH000628,2025-05-18,recall,16558,1484.94,TECH14,Explicabo apud crastinus facere.
SVC0000058,VEH000527,2024-09-09,engine_diagnostic,114692,343.44,TECH19,Explicabo ascisco accedo verbum carmen.
SVC0000059,VEH000286,2025-06-22,recall,32918,1128.89,TECH28,Pax templum amitto defungo cohaero cornu congregatio venio.
SVC0000060,VEH000591,2025-07-11,transmission_service,131760,364.35,TECH12,Deleniti censura suspendo vergo deprimo conitor tandem voveo.
SVC0000061,VEH000944,2024-11-16,transmission_service,81383,1168.51,TECH31,Crinis cubicularis at aer textilis thymum.
SVC0000062,VEH000653,2024-08-09,recall,108928,120.45,TECH21,Agnitio commodo vita capio adversus acervus vivo cui adnuo cumque.
SVC0000063,VEH000566,2025-12-06,recall,29831,1679.21,TECH16,Vespillo tutis astrum cribro patria baiulus tam.
SVC0000064,VEH000089,2025-05-20,transmission_service,30211,1195.85,TECH41,Cetera undique curtus tenus custodia.
SVC0000065,VEH000525,2025-05-26,engine_diagnostic,142768,417.32,TECH11,Avaritia audeo agnosco demulceo surgo sperno usitas.
SVC0000066,VEH000975,2025-09-19,recall,114125,1317.94,TECH48,Titulus solus defero curatio creptio vulariter taceo odio peior.
SVC0000067,VEH000971,2024-07-31,transmission_service,107577,150.98,TECH4,Suus tepesco solio conitor argumentum bos.
SVC0000068,VEH000929,2024-08-02,brake_service,47361,426.75,TECH6,Tredecim ventosus abundans alius volubilis pax toties iste suffragium.
SVC0000069,VEH000371,2025-05-19,tire_rotation,130987,171.56,TECH24,Vehemens vehemens adipisci tenetur temptatio texo derideo suadeo sum.
SVC0000070,VEH000906,2024-04-19,tire_rotation,83527,1557.1,TECH19,Auctus attollo volup canis stipes allatus.
SVC0000071,VEH000750,2024-12-03,oil_change,15914,1594.93,TECH4,Cum considero sumptus adstringo autus ambitus sum spectaculum neque.
SVC0000072,VEH000118,2024-09-18,transmission_service,99211,1899.46,TECH18,Textor ceno corpus argentum carus eius soleo angustus.
SVC0000073,VEH000822,2025-10-22,oil_change,105273,459.53,TECH1,Deficio aduro calco ducimus mollitia demitto.
SVC0000074,VEH000425,2025-12-10,engine_diagnostic,74785,1764.93,TECH37,Tredecim non strenuus argumentum aperiam necessitatibus defero nam crinis voluptate.
SVC0000075,VEH000275,2025-05-18,transmission_service,59979,335.18,TECH18,Demo strenuus sit doloremque cubo sopor benigne argumentum.
SVC0000076,VEH000827,2024-04-25,brake_service,62644,1083.81,TECH30,Benevolentia totidem tempore.
SVC0000077,VEH000804,2024-01-10,tire_rotation,88920,1971.55,TECH9,Deleo curis clibanus consequuntur vulpes arbitro umbra cognatus.
SVC0000078,VEH000949,2024-06-24,oil_change,38164,859.49,TECH6,Vulariter peior triumphus talio sollers comminor.
SVC0000079,VEH000531,2024-03-02,transmission_service,145459,467.02,TECH50,Abduco arbitro colligo vorax soleo calcar voveo incidunt possimus tabella.
SVC0000080,VEH000917,2024-07-31,transmission_service,31202,1837.72,TECH35,Eius sint vereor commodo.
SVC0000081,VEH000357,2024-04-18,brake_service,83817,1751.43,TECH1,Defendo bellum altus tenetur calamitas.
SVC0000082,VEH000935,2024-12-25,engine_diagnostic,127302,1836.73,TECH33,Calculus caecus doloribus textor vulgus denuo valeo amplitudo.
SVC0000083,VEH000682,2024-04-22,oil_change,65494,1414.31,TECH26,Arca bellum aufero.
SVC0000084,VEH000029,2024-12-23,tire_rotation,83721,137.16,TECH40,Ultio undique vitium demoror auctor nostrum supra.
SVC0000085,VEH000267,2025-10-06,engine_diagnostic,92031,1057.54,TECH29,Venio autus cunabula conforto ad deorsum.
SVC0000086,VEH000234,2024-04-11,brake_service,59578,1761,TECH6,Temptatio comburo voluntarius adulescens audacia contabesco tametsi.
SVC0000087,VEH000827,2024-04-21,recall,121461,1188.07,TECH31,Assumenda saepe strues contego distinctio arcesso considero accendo.
SVC0000088,VEH000042,2025-11-03,oil_change,7508,1572.93,TECH21,Creo suppono adiuvo quo.
SVC0000089,VEH000471,2025-09-30,engine_diagnostic,87805,263.81,TECH30,Adfero tego contra consuasor aer natus valetudo tendo tabella.
SVC0000090,VEH000399,2024-05-21,tire_rotation,57015,1528.98,TECH1,Catena triduana thalassinus cunabula.
SVC0000091,VEH000945,2024-12-04,transmission_service,118857,1344.77,TECH42,Comitatus sol valetudo.
SVC0000092,VEH000207,2024-09-23,recall,19384,605.9,TECH19,Ago quod depulso adnuo tantum crinis.
SVC0000093,VEH000649,2024-10-23,tire_rotation,12288,879.83,TECH49,Cunae quos caritas.
SVC0000094,VEH000158,2024-07-30,engine_diagnostic,30934,760.49,TECH3,Mollitia tabernus vorago curia carmen trado.
SVC0000095,VEH000730,2024-12-26,transmission_service,34754,955.24,TECH13,Caecus antepono coniuratio depono adhuc terga voluptas soleo accusator.
SVC0000096,VEH000624,2025-02-03,tire_rotation,43864,1125.22,TECH10,Quo cilicium perspiciatis testimonium thalassinus conqueror usus capillus solvo comprehendo.
SVC0000097,VEH000576,2025-08-03,engine_diagnostic,67092,766.29,TECH2,Virga somniculosus abstergo attero sollers tyrannus vitae apto aestus.
SVC0000098,VEH000497,2024-08-18,brake_service,92651,1766.69,TECH17,Denuo capto canonicus viridis assumenda explicabo territo cito decet commemoro.
SVC0000099,VEH000966,2025-10-17,recall,129579,1939.66,TECH34,Ambitus volubilis derideo aer fugiat vulpes timor sono ver subseco.
SVC0000100,VEH000061,2025-12-11,recall,125823,540.45,TECH12,Turpis sed valeo amiculum vilitas vitium fugit cupio deduco auditor.
SVC0000101,VEH000717,2024-10-12,recall,91683,745.42,TECH3,Repellat coma tondeo calculus adimpleo nemo.
SVC0000102,VEH000570,2024-02-03,brake_service,46893,1832.89,TECH13,Impedit stillicidium non consuasor porro id.
SVC0000103,VEH000602,2025-06-28,transmission_service,94075,1595.31,TECH48,Tabula suppellex sustineo quis conitor pel pecco talio tandem succurro.
SVC0000104,VEH000097,2024-12-05,recall,82069,118.65,TECH39,Comparo comitatus aptus subito modi territo cometes coniecto.
SVC0000105,VEH000760,2024-01-02,engine_diagnostic,71831,1403.96,TECH6,Amaritudo pecco pecus quos defetiscor suppellex tam perferendis adsuesco.
SVC0000106,VEH000119,2026-01-07,oil_change,28841,636.54,TECH16,Tondeo arca summopere soluta dolore adhuc appositus.
SVC0000107,VEH000198,2025-10-23,tire_rotation,110823,652.1,TECH32,Allatus abduco solitudo timor decretum viduo caput.
SVC0000108,VEH000783,2024-01-01,engine_diagnostic,139235,1186.55,TECH49,Tactus terra subito.
SVC0000109,VEH000969,2025-02-21,transmission_service,46235,1070.04,TECH8,Cupiditas pauci demo tres apparatus ademptio ara conspergo pariatur agnitio.
SVC0000110,VEH000739,2025-05-14,transmission_service,20805,1355.8,TECH26,Suadeo aegrus coaegresco tergeo totam.
SVC0000111,VEH000150,2024-12-15,transmission_service,25286,1507.15,TECH23,Spiculum quaerat ceno ipsa tracto ater natus claustrum.
SVC0000112,VEH000747,2024-12-24,tire_rotation,28960,404.83,TECH22,Vereor adduco aspernatur velut vae tenetur calamitas.
SVC0000113,VEH000758,2025-11-04,oil_change,66738,64.98,TECH4,Corrumpo aiunt ara caute.
SVC0000114,VEH000030,2025-05-25,oil_change,100432,1816.7,TECH10,Abbas cerno celebrer dedecor maiores.
SVC0000115,VEH000727,2025-03-09,brake_service,67225,541.52,TECH41,Hic absconditus nobis quasi tandem.
SVC0000116,VEH000391,2025-02-05,engine_diagnostic,6915,295.06,TECH45,Sto utroque timidus terebro arbustum depopulo sufficio conitor comminor.
SVC0000117,VEH000548,2025-12-27,engine_diagnostic,133540,286.06,TECH6,Umerus sum creta ex summopere aer corrupti decimus.
SVC0000118,VEH000623,2025-01-10,recall,67805,546.15,TECH8,Vallum vulnero brevis traho capto fugit terror voco.
SVC0000119,VEH000350,2024-08-23,oil_change,11642,735.25,TECH13,Temperantia atque solum valeo cicuta calculus baiulus tutamen utor.
SVC0000120,VEH000905,2025-09-13,recall,9954,1896.79,TECH39,Deinde verumtamen fugiat ascisco canonicus vitiosus.
SVC0000121,VEH000658,2025-05-11,tire_rotation,99829,937.01,TECH42,Ara alii cupiditas aegrus cohibeo adaugeo patrocinor.
SVC0000122,VEH000522,2025-09-29,oil_change,80020,1317.32,TECH50,Eligendi sit annus curvo.
SVC0000123,VEH000388,2025-07-16,brake_service,126099,140.86,TECH42,Summa paulatim cumque amoveo amitto suasoria.
SVC0000124,VEH000862,2024-12-26,recall,18063,834.18,TECH9,Deputo aperte ceno socius accusantium depopulo demoror odit aegrus curatio.
SVC0000125,VEH000454,2024-05-29,engine_diagnostic,91275,655.64,TECH11,Quas depono acquiro tergeo aeneus textus.
SVC0000126,VEH000283,2025-11-27,engine_diagnostic,141938,1683.47,TECH28,Avarus vitium benevolentia crux creptio amoveo depereo vigilo talus verus.
SVC0000127,VEH000599,2025-10-19,transmission_service,102786,483.32,TECH29,Hic cubitum sodalitas cinis explicabo cado videlicet arma cuius.
SVC0000128,VEH000295,2025-04-06,transmission_service,58378,1829.65,TECH46,Cum quaerat taedium nulla tyrannus conscendo candidus pecco aequitas.
SVC0000129,VEH000731,2024-09-14,transmission_service,13929,1610.1,TECH8,Copia xiphias uxor.
SVC0000130,VEH000288,2024-06-21,oil_change,42885,1194.63,TECH1,Adflicto ipsa aeneus laboriosam tantum cedo velociter crapula.
SVC0000131,VEH000203,2025-08-07,recall,113362,366.04,TECH2,Textus quaerat adduco speculum arguo vergo cado.
SVC0000132,VEH000394,2025-10-18,recall,83178,1385.05,TECH22,Tantum ater cupiditas.
SVC0000133,VEH000314,2024-07-12,brake_service,82858,418.21,TECH14,Depono sollicito volaticus utrimque.
SVC0000134,VEH000258,2024-02-02,brake_service,116065,582.15,TECH23,Cohors alioqui triduana ter cervus magnam agnosco est.
SVC0000135,VEH000782,2025-05-17,recall,130884,1165.54,TECH9,Demoror tumultus quos error ulciscor capitulus ara unus.
SVC0000136,VEH000806,2025-12-02,transmission_service,133608,1998.58,TECH26,Volo cauda conspergo despecto.
SVC0000137,VEH000818,2024-09-08,brake_service,68738,777.53,TECH8,Aegrus aequus clarus comminor tumultus.
SVC0000138,VEH000263,2024-10-23,recall,81138,696.02,TECH31,Arx stella dedecor velit undique facere asper decipio vitiosus umerus.
SVC0000139,VEH000489,2024-06-01,transmission_service,17600,687.93,TECH6,Odio curo votum molestiae carus varius.
SVC0000140,VEH000822,2025-02-07,brake_service,72952,1890.66,TECH21,Adipisci depromo perspiciatis utilis repellat decor.
SVC0000141,VEH000817,2025-11-21,oil_change,14008,603.98,TECH45,Vereor calco verus dolorum aranea spargo victoria censura sodalitas eius.
SVC0000142,VEH000067,2025-01-01,recall,90188,1238.24,TECH43,Tripudio cruciamentum optio.
SVC0000143,VEH000599,2025-07-18,recall,17625,552.75,TECH35,Debeo ultio deprimo tripudio absconditus tremo tenax caries temptatio.
SVC0000144,VEH000612,2024-05-16,engine_diagnostic,32381,1715.54,TECH6,Ago architecto cariosus aeneus viduo summopere sublime tenus.
SVC0000145,VEH000356,2025-01-15,recall,125861,1680.24,TECH50,Carbo curatio atqui volaticus suppellex defessus tripudio quae suspendo.
SVC0000146,VEH000741,2024-07-14,transmission_service,86739,482.5,TECH11,Adeo quae sapiente omnis vigilo vulgivagus.
SVC0000147,VEH000583,2024-08-08,oil_change,117638,69.95,TECH12,Textilis ademptio deserunt super benigne.
SVC0000148,VEH000031,2024-01-01,engine_diagnostic,32195,1232,TECH49,Accusantium spero autem capitulus aequitas iste tutis.
SVC0000149,VEH000562,2024-06-10,oil_change,35339,233.24,TECH25,Toties bellum conspergo turba degenero sumo decerno tamquam vetus.
SVC0000150,VEH000603,2025-01-31,brake_service,57144,839.74,TECH6,Tres damno aperio sollicito.
SVC0000151,VEH000109,2025-11-10,oil_change,8864,1701.11,TECH7,Vulpes magni acervus.
SVC0000152,VEH000120,2025-08-27,recall,135492,942.32,TECH21,Cedo summa careo carcer depereo ars amita amissio.
SVC0000153,VEH000785,2024-12-29,transmission_service,52187,1639.59,TECH10,Crastinus conscendo certus vomer quasi adhaero.
SVC0000154,VEH000427,2024-07-12,recall,128069,824.21,TECH49,Coma terra aegrus tenus debitis veritas.
SVC0000155,VEH000741,2024-07-24,transmission_service,74045,1749.68,TECH24,Substantia turbo caecus abduco cubitum vitium tamen tandem adamo.
SVC0000156,VEH000774,2024-11-15,oil_change,55475,961.2,TECH4,Bardus strenuus enim statim demo urbanus curiositas virgo.
SVC0000157,VEH000551,2025-10-16,recall,135528,1563.89,TECH5,Tristis quasi impedit attonbitus aveho desino versus casus convoco.
SVC0000158,VEH000990,2024-10-11,tire_rotation,49395,842.29,TECH18,Atavus solvo dolorem tredecim.
SVC0000159,VEH000019,2024-08-28,recall,61720,743.54,TECH24,Theca audio stipes cohaero verbum.
SVC0000160,VEH000524,2026-01-22,recall,33310,1103.29,TECH11,Deludo stella amor collum cibus defero ciminatio vigilo adduco.
SVC0000161,VEH000780,2024-07-13,recall,110614,1798.71,TECH38,Aestus succedo temporibus dolorum tenetur adulatio caveo certe absque.
SVC0000162,VEH000775,2025-03-02,oil_change,61928,766.83,TECH29,Peior vulnus cum armarium.
SVC0000163,VEH000164,2025-11-13,oil_change,15018,1984.34,TECH34,Baiulus approbo ad adeo thymbra balbus denique.
SVC0000164,VEH000920,2024-10-09,recall,93731,818.61,TECH20,Praesentium cubitum culpa quasi.
SVC0000165,VEH000760,2025-09-12,oil_change,81320,960.06,TECH47,Adulescens cervus cogito consequuntur audacia candidus expedita crux adhuc.
SVC0000166,VEH000220,2025-02-06,tire_rotation,113733,412.1,TECH4,Abeo auctor cras canonicus damno degusto depono aegre callide cedo.
SVC0000167,VEH000800,2025-11-23,transmission_service,102905,52.94,TECH26,Spiritus angulus ea vulnero tamisium caecus tergeo facilis.
SVC0000168,VEH000553,2025-12-10,tire_rotation,126455,365.17,TECH4,Aspernatur error eos.
SVC0000169,VEH000143,2025-03-12,recall,41841,270.22,TECH2,Coerceo ancilla error adipisci congregatio summa hic.
SVC0000170,VEH000523,2025-08-02,engine_diagnostic,116033,1559.45,TECH10,Textus utrum absorbeo quidem depono.
SVC0000171,VEH000491,2024-10-07,oil_change,44469,1786.88,TECH3,Sumo argentum socius vesco derelinquo umerus vergo.
SVC0000172,VEH000658,2025-02-23,transmission_service,131025,1670.48,TECH18,Decor deprimo triumphus adduco ustilo tondeo conor.
SVC0000173,VEH000837,2025-01-08,brake_service,74353,1583.51,TECH32,Subito velociter ciminatio.
SVC0000174,VEH000755,2024-02-03,recall,60439,139.76,TECH26,Facere virga caritas crux ventito.
SVC0000175,VEH000320,2025-03-09,transmission_service,38223,751.82,TECH28,Tendo quam tutamen at.
SVC0000176,VEH000242,2026-01-03,transmission_service,51579,1994.03,TECH7,Tutamen sopor expedita administratio ipsam ducimus adsuesco.
SVC0000177,VEH000179,2024-06-03,transmission_service,78417,743.63,TECH37,Vereor vestrum carbo.
SVC0000178,VEH000391,2024-03-02,recall,25431,1242.44,TECH17,Correptius volo temeritas.
SVC0000179,VEH000743,2025-12-26,recall,18728,412.06,TECH38,Tunc impedit confero sponte deduco.
SVC0000180,VEH000477,2025-02-03,engine_diagnostic,16824,143.21,TECH13,Virgo amplexus aspicio accommodo.
SVC0000181,VEH000385,2025-01-29,engine_diagnostic,149730,671.08,TECH40,Cinis xiphias cubitum vinum dignissimos temperantia vulgaris carmen despecto.
SVC0000182,VEH000861,2024-03-11,oil_change,95501,1462.61,TECH16,Alius tempus virtus animus capio terebro.
SVC0000183,VEH000266,2026-01-30,brake_service,56898,1730.88,TECH36,Fugiat collum aetas.
SVC0000184,VEH000408,2025-08-13,brake_service,45198,1313.45,TECH36,Defetiscor tamquam coadunatio deludo sequi cubitum.
SVC0000185,VEH000841,2025-01-14,recall,41559,1890.21,TECH16,Volo tibi praesentium culpo vestrum nulla valeo.
SVC0000186,VEH000491,2024-04-15,brake_service,148681,583.92,TECH46,Claudeo sapiente pax ago.
SVC0000187,VEH000443,2025-07-06,oil_change,135046,479.55,TECH32,Nobis cunae laborum amor cura vesper expedita valens beatus.
SVC0000188,VEH000468,2024-12-17,transmission_service,128171,1146.17,TECH39,Aqua uter decens quis absum.
SVC0000189,VEH000741,2024-06-28,transmission_service,48667,476.42,TECH9,Ademptio ceno tardus demo velum tero.
SVC0000190,VEH000827,2025-01-19,transmission_service,37332,263.33,TECH41,Assentator aveho impedit aeneus cuius alius quas thymbra sortitus claustrum.
SVC0000191,VEH000696,2025-06-01,transmission_service,66830,1165.55,TECH38,Temptatio vociferor neque unus odio.
SVC0000192,VEH000049,2025-06-29,recall,131926,343.78,TECH24,Perspiciatis curriculum colo omnis.
SVC0000193,VEH000871,2025-12-13,tire_rotation,106673,667.94,TECH29,Ciminatio tabesco usitas.
SVC0000194,VEH000282,2025-06-04,oil_change,29375,1838.69,TECH2,Stella pax caries adfectus.
SVC0000195,VEH000542,2025-10-20,transmission_service,106298,1708.65,TECH17,Vito talis utor videlicet spiculum somniculosus ea ea bellum.
SVC0000196,VEH000244,2025-07-11,oil_change,101419,1114.25,TECH40,Vos aro textus sophismata cerno debitis.
SVC0000197,VEH000789,2024-04-30,brake_service,84925,459.04,TECH37,Vitae quam suppono absorbeo alias temeritas capillus.
SVC0000198,VEH000735,2025-12-09,engine_diagnostic,107917,1501.57,TECH27,Neque sortitus validus.
SVC0000199,VEH000767,2024-08-12,recall,95276,74.65,TECH25,Pax somnus apud adhuc sed tremo valeo vetus spectaculum ceno.
SVC0000200,VEH000335,2025-01-28,engine_diagnostic,138707,499.81,TECH40,Tondeo considero coma vester surgo clibanus utrum copia comprehendo cavus.
SVC0000201,VEH000123,2025-03-16,engine_diagnostic,59659,198.85,TECH6,Asporto facilis tam degusto taceo contigo virga volva velociter crux.
SVC0000202,VEH000986,2025-04-30,transmission_service,138435,826.82,TECH13,Abscido cruentus amplus bis veniam cur vir sollers bibo.
SVC0000203,VEH000756,2025-06-17,engine_diagnostic,68189,1551.32,TECH24,Spero colo administratio volaticus currus ademptio ea est bene venustas.
SVC0000204,VEH000301,2024-03-21,oil_change,13614,620.21,TECH42,Decet quibusdam maxime dolorem textus vacuus super.
SVC0000205,VEH000093,2024-07-14,brake_service,18325,1263.82,TECH38,Acsi comptus volva complectus cursim causa timor atque adipisci.
SVC0000206,VEH000389,2025-09-17,oil_change,77769,213.36,TECH11,Ut cunctatio sunt sursum statim demergo caput totus.
SVC0000207,VEH000544,2025-06-07,brake_service,33377,765.69,TECH40,Terreo barba depraedor natus benigne saepe sapiente.
SVC0000208,VEH000780,2024-04-08,brake_service,83785,466.62,TECH34,Demitto derelinquo villa arguo spargo cauda ago benigne.
SVC0000209,VEH000992,2024-12-29,brake_service,94391,891.69,TECH43,Adhuc bis adstringo charisma talio viridis adicio terga.
SVC0000210,VEH000502,2024-12-24,tire_rotation,28246,1983.12,TECH16,Sto cognomen atrox tracto carmen tenus molestias.
SVC0000211,VEH000991,2025-07-01,oil_change,70136,1933.47,TECH25,Vicinus vita certus.
SVC0000212,VEH000886,2025-07-17,tire_rotation,45206,1352.86,TECH3,Tandem verbera coadunatio commodi ascisco illo valeo defessus.
SVC0000213,VEH000870,2024-10-30,tire_rotation,33609,1845.11,TECH14,Ab clementia statua averto.
SVC0000214,VEH000082,2025-04-04,transmission_service,115573,1163.7,TECH33,Ultio textilis artificiose vehemens fuga ratione tolero universe cogito.
SVC0000215,VEH000690,2025-09-12,transmission_service,53518,860.32,TECH14,Demum aspernatur taceo carus cubicularis calcar tenetur vaco ipsa.
SVC0000216,VEH000775,2025-12-20,tire_rotation,96789,836.59,TECH23,Impedit texo conculco sunt tardus alius cogo avaritia.
SVC0000217,VEH000530,2024-11-19,recall,81695,488.59,TECH47,Alius adfero amicitia.
SVC0000218,VEH000322,2025-03-26,transmission_service,7473,1206.54,TECH23,Summa sonitus aut decor cena aegre solus amet.
SVC0000219,VEH000771,2024-12-26,recall,37736,1509.38,TECH35,Currus caritas paens bibo caute quia casso colo sopor.
SVC0000220,VEH000161,2024-11-16,brake_service,59028,1011.08,TECH46,Causa unde tempore nisi quis expedita.
SVC0000221,VEH000689,2024-04-24,oil_change,115587,313.85,TECH14,Minima delego vinco.
SVC0000222,VEH000476,2024-05-23,oil_change,61418,1053.22,TECH38,Adopto armarium totidem concido deprimo veritatis celer apto capto.
SVC0000223,VEH000497,2025-10-19,brake_service,27620,160.06,TECH38,Inventore utpote cognatus magni ait trepide.
SVC0000224,VEH000651,2025-01-07,oil_change,71207,1662.35,TECH27,Coma dolorum corporis impedit tergo contego tabesco degenero terga.
SVC0000225,VEH000709,2024-03-23,transmission_service,147995,209.31,TECH47,Ascisco acervus tripudio.
SVC0000226,VEH000723,2025-06-27,tire_rotation,31394,309.25,TECH35,Vulpes blanditiis combibo una vulgaris adflicto despecto.
