field_id,farm_id,acreage,crop_type,soil_type,latitude,longitude
FIELD0088,FARM010,217,wheat,peat,41.202,-84.5118
FIELD0089,FARM030,105.1,soybeans,clay,36.6101,-81.412
FIELD0090,FARM007,429.8,corn,loam,37.2701,-81.1751
FIELD0091,FARM013,488.1,rice,peat,35.191,-80.9138
FIELD0092,FARM006,320.5,wheat,loam,39.6491,-96.4331
FIELD0093,FARM009,335.1,cotton,peat,43.2494,-95.9035
FIELD0094,FARM026,258.4,corn,loam,31.6549,-90.6057
FIELD0095,FARM022,212,potatoes,peat,41.2451,-80.187
FIELD0096,FARM020,491.9,rice,loam,31.5192,-94.8446
FIELD0097,FARM007,102.6,rice,peat,44.8035,-82.244
FIELD0098,FARM026,434.9,wheat,loam,33.3582,-83.3163
FIELD0099,FARM017,489.5,soybeans,silt,44.1281,-81.2097
FIELD0100,FARM011,82.2,corn,silt,33.7297,-87.3591
FIELD0101,FARM023,271,rice,silt,34.9332,-83.1556
FIELD0102,FARM001,400.3,rice,sandy,39.7687,-96.4079
FIELD0103,FARM022,309.2,corn,sandy,38.7341,-89.8013
FIELD0104,FARM021,166.6,rice,peat,32.4374,-89.9221
FIELD0105,FARM016,72.8,cotton,silt,37.4103,-92.9908
FIELD0106,FARM029,483.1,rice,loam,37.3135,-90.757
FIELD0107,FARM020,101,corn,silt,42.3622,-89.8528
FIELD0108,FARM017,175.3,potatoes,peat,38.1798,-83.3668
FIELD0109,FARM013,47.1,corn,clay,34.6652,-99.7836
FIELD0110,FARM011,486.6,cotton,silt,37.259,-99.0955
FIELD0111,FARM027,355.7,rice,sandy,39.341,-85.8951
FIELD0112,FARM015,229,rice,peat,31.8081,-95.8765
FIELD0113,FARM004,266.6,soybeans,loam,32.6837,-88.423
FIELD0114,FARM022,462.4,corn,peat,41.8115,-87.4417
FIELD0115,FARM002,414.8,soybeans,sandy,44.5114,-83.8283
FIELD0116,FARM009,500,cotton,silt,32.9696,-94.5906
FIELD0117,FARM010,121.1,cotton,peat,43.5114,-80.3951
FIELD0118,FARM004,281.6,wheat,silt,33.9724,-85.3437
FIELD0119,FARM017,343.6,corn,peat,43.3842,-87.4245
FIELD0120,FARM030,278.1,cotton,sandy,37.8058,-85.6265
FIELD0121,FARM013,497.1,potatoes,loam,43.7121,-93.1077
FIELD0122,FARM011,178.4,rice,sandy,38.6892,-97.724
FIELD0123,FARM023,80.1,potatoes,silt,43.8872,-81.4631
FIELD0124,FARM026,18.8,cotton,loam,32.7563,-83.1642
FIELD0125,FARM021,293.4,cotton,silt,37.4996,-89.8672
FIELD0126,FARM001,200.1,corn,peat,30.3796,-89.8889
FIELD0127,FARM003,140,soybeans,sandy,43.1391,-87.5495
FIELD0128,FARM019,289.8,wheat,peat,33.317,-86.015
FIELD0129,FARM016,445.3,corn,loam,37.8621,-82.5475
FIELD0130,FARM006,157,wheat,clay,39.7527,-84.0448
FIELD0131,FARM011,71.4,cotton,sandy,39.6969,-99.5911
FIELD0132,FARM007,64.5,rice,sandy,41.8411,-93.5567
FIELD0133,FARM011,401.9,rice,clay,38.2091,-97.3039
FIELD0134,FARM025,22.5,cotton,peat,43.8856,-82.1585
FIELD0135,FARM029,94,potatoes,clay,34.298,-92.6748
FIELD0136,FARM024,155,wheat,loam,31.2345,-96.933
FIELD0137,FARM026,428.6,wheat,silt,37.0781,-89.0091
FIELD0138,FARM005,360.3,cotton,sandy,37.0985,-82.3242
FIELD0139,FARM017,139.9,cotton,clay,33.8577,-83.9528
FIELD0140,FARM010,242,corn,peat,44.9169,-92.3258
FIELD0141,FARM025,164.8,potatoes,silt,42.2998,-96.4197
FIELD0142,FARM006,422.1,rice,peat,30.9452,-86.7651
FIELD0143,FARM015,328.9,wheat,loam,40.7311,-98.0774
FIELD0144,FARM014,182,potatoes,peat,32.9537,-88.1913
FIELD0145,FARM005,392.6,potatoes,peat,43.4615,-86.5698
FIELD0146,FARM024,240.5,rice,peat,42.9742,-83.5873
FIELD0147,FARM002,237,rice,loam,36.1977,-90.4681
FIELD0148,FARM025,253.7,soybeans,silt,30.6719,-85.4147
FIELD0149,FARM022,395.7,wheat,peat,36.3985,-83.4006
FIELD0150,FARM013,491.4,wheat,sandy,41.6506,-93.1137
FIELD0151,FARM022,47,soybeans,sandy,40.3408,-90.8769
FIELD0152,FARM006,431.9,soybeans,loam,32.4955,-86.1956
FIELD0153,FARM018,84.8,potatoes,loam,40.592,-94.7257
FIELD0154,FARM022,468.5,potatoes,loam,35.8634,-95.9795
FIELD0155,FARM003,50.9,cotton,peat,36.935,-82.9728
FIELD0156,FARM019,237.6,soybeans,loam,31.1181,-81.9475
FIELD0157,FARM008,191.2,rice,loam,42.3254,-83.6325
FIELD0158,FARM009,139,rice,loam,43.8147,-92.2292
FIELD0159,FARM017,136.3,rice,sandy,30.1884,-97.1851
FIELD0160,FARM026,254.3,cotton,clay,40.8581,-82.7431
FIELD0161,FARM030,38.4,potatoes,sandy,34.9722,-95.4168
FIELD0162,FARM024,388.1,potatoes,loam,41.104,-91.9997
FIELD0163,FARM002,327.5,corn,loam,34.4945,-96.4714
FIELD0164,FARM029,417,rice,silt,32.026,-90.7757
FIELD0165,FARM003,461.5,potatoes,clay,38.6293,-87.741
FIELD0166,FARM020,288.2,potatoes,loam,41.2139,-80.8263
FIELD0167,FARM003,199.5,rice,peat,36.2578,-82.6196
FIELD0168,FARM029,10.5,wheat,clay,38.1489,-87.4826
FIELD0169,FARM022,71.2,cotton,sandy,32.5406,-98.2889
FIELD0170,FARM005,162,potatoes,clay,34.0027,-83.1994
FIELD0171,FARM024,381,rice,clay,32.4951,-92.8243
FIELD0172,FARM027,366.1,potatoes,sandy,42.9013,-98.043
FIELD0173,FARM003,426.4,cotton,sandy,37.0897,-90.7841
FIELD0174,FARM018,226.5,cotton,loam,39.1135,-85.4988
FIELD0175,FARM013,20.2,corn,clay,39.2071,-85.3693
FIELD0176,FARM018,153,rice,loam,30.9371,-98.9166
FIELD0177,FARM030,306,wheat,clay,44.5251,-92.4385
FIELD0178,FARM003,428.9,soybeans,peat,40.6391,-87.3571
FIELD0179,FARM025,291.4,wheat,silt,36.1545,-81.7841
FIELD0180,FARM024,74.1,wheat,silt,41.1172,-99.2365
FIELD0181,FARM021,59.7,wheat,sandy,39.268,-88.5075
FIELD0182,FARM016,201.7,wheat,peat,30.2676,-97.5795
FIELD0183,FARM023,107.2,potatoes,sandy,43.7392,-98.2766
FIELD0184,FARM012,37.2,rice,peat,42.7741,-92.8656
FIELD0185,FARM018,324.2,cotton,peat,30.7089,-83.6273
FIELD0186,FARM009,440.1,cotton,clay,34.0747,-93.6189
FIELD0187,FARM028,469,wheat,silt,31.4172,-88.2456
FIELD0188,FARM002,439.4,potatoes,peat,37.9709,-93.8856
FIELD0189,FARM030,441.7,cotton,clay,30.2592,-86.6514
FIELD0190,FARM008,266.3,potatoes,sandy,36.4709,-93.6326
FIELD0191,FARM021,43.5,cotton,sandy,40.2377,-98.002
FIELD0192,FARM009,477.1,wheat,sandy,42.5975,-96.1333
FIELD0193,FARM022,167,rice,sandy,41.5769,-91.5628
FIELD0194,FARM009,455.8,potatoes,silt,30.6702,-80.7791
FIELD0195,FARM013,127.4,rice,sandy,43.7428,-89.2837
FIELD0196,FARM002,75.3,corn,loam,40.2212,-98.054
FIELD0197,FARM005,283.1,cotton,clay,31.8121,-86.4698
FIELD0198,FARM028,82.9,wheat,loam,39.8574,-96.3953
FIELD0199,FARM028,128.3,corn,silt,31.3265,-97.7614
FIELD0200,FARM017,281.2,wheat,sandy,31.7713,-85.8094
