log_id,field_id,start_time,duration_minutes,water_used_liters,method,trigger_type
IRR000030,FIELD0016,2025-07-24T01:04:10.320Z,285,41487,drip,manual
IRR000031,FIELD0010,2026-02-02T08:02:23.732Z,199,31685,flood,manual
IRR000032,FIELD0142,2025-06-15T23:49:54.118Z,339,4940,flood,manual
IRR000033,FIELD0124,2025-12-19T08:19:20.697Z,341,38864,sprinkler,manual
IRR000034,FIELD0164,2025-09-02T11:23:50.602Z,350,19331,sprinkler,scheduled
IRR000035,FIELD0055,2026-01-24T21:46:13.402Z,431,17675,sprinkler,manual
IRR000036,FIELD0101,2025-08-09T01:32:53.322Z,202,32076,flood,scheduled
IRR000037,FIELD0098,2025-04-20T04:39:35.902Z,180,49863,flood,manual
IRR000038,FIELD0123,2025-08-09T18:34:07.615Z,152,44136,center_pivot,scheduled
IRR000039,FIELD0014,2026-01-12T08:46:24.960Z,232,22678,flood,manual
IRR000040,FIELD0174,2025-08-18T17:51:10.954Z,379,31678,flood,manual
IRR000041,FIELD0055,2025-10-08T12:58:16.529Z,235,23902,sprinkler,scheduled
IRR000042,FIELD0155,2025-09-24T14:03:58.447Z,182,35490,sprinkler,manual
IRR000043,FIELD0190,2025-04-12T22:09:46.159Z,304,1508,flood,scheduled
IRR000044,FIELD0116,2025-06-29T12:14:59.658Z,118,7182,flood,manual
IRR000045,FIELD0078,2026-02-09T19:56:54.694Z,77,29790,sprinkler,scheduled
IRR000046,FIELD0199,2025-08-23T09:14:13.016Z,200,41514,center_pivot,manual
IRR000047,FIELD0119,2025-04-20T23:51:34.177Z,106,15869,flood,scheduled
IRR000048,FIELD0040,2025-04-01T14:43:32.826Z,58,18791,sprinkler,scheduled
IRR000049,FIELD0183,2025-09-18T04:01:50.291Z,117,24863,drip,scheduled
IRR000050,FIELD0023,2025-11-29T12:55:26.518Z,127,15541,sprinkler,manual
IRR000051,FIELD0004,2025-05-11T06:38:03.446Z,168,18485,sprinkler,scheduled
IRR000052,FIELD0084,2026-01-12T14:53:23.269Z,167,35594,sprinkler,manual
IRR000053,FIELD0101,2026-01-26T20:15:35.630Z,322,23773,drip,manual
IRR000054,FIELD0060,2025-09-26T14:47:06.800Z,151,14102,flood,scheduled
IRR000055,FIELD0057,2025-12-19T23:46:07.695Z,284,34079,center_pivot,scheduled
IRR000056,FIELD0051,2025-10-16T17:52:01.302Z,240,39363,drip,scheduled
IRR000057,FIELD0085,2025-07-04T23:41:03.010Z,445,47548,flood,scheduled
IRR000058,FIELD0023,2025-04-16T03:38:00.920Z,197,5602,flood,scheduled
IRR000059,FIELD0015,2025-10-31T06:29:10.543Z,388,16642,drip,manual
IRR000060,FIELD0107,2025-05-20T17:34:37.641Z,42,46892,drip,scheduled
IRR000061,FIELD0143,2025-04-27T23:17:05.233Z,430,1221,flood,manual
IRR000062,FIELD0104,2025-09-12T20:24:22.590Z,456,3264,sprinkler,scheduled
IRR000063,FIELD0058,2025-10-11T11:18:40.329Z,220,14409,flood,manual
IRR000064,FIELD0167,2025-06-25T22:28:48.695Z,195,4542,drip,manual
IRR000065,FIELD0110,2025-11-20T05:47:56.860Z,85,39890,flood,manual
IRR000066,FIELD0114,2025-08-01T19:26:08.000Z,243,31810,flood,scheduled
IRR000067,FIELD0058,2025-09-12T07:39:56.055Z,44,21845,drip,scheduled
IRR000068,FIELD0121,2025-08-10T18:16:34.938Z,310,36691,center_pivot,manual
IRR000069,FIELD0092,2025-09-17T23:49:38.489Z,290,7122,sprinkler,scheduled
IRR000070,FIELD0066,2025-06-25T16:03:52.024Z,184,38036,center_pivot,scheduled
IRR000071,FIELD0051,2025-12-06T08:06:00.184Z,430,14760,sprinkler,manual
IRR000072,FIELD0023,2025-05-31T01:27:26.091Z,152,44581,center_pivot,scheduled
IRR000073,FIELD0200,2025-11-20T04:06:29.041Z,289,32602,center_pivot,manual
IRR000074,FIELD0042,2025-07-13T12:56:19.762Z,396,49495,flood,manual
IRR000075,FIELD0195,2025-04-15T20:51:31.408Z,423,19121,center_pivot,manual
IRR000076,FIELD0168,2025-08-19T17:02:10.614Z,464,3142,drip,manual
IRR000077,FIELD0132,2025-04-30T07:54:59.046Z,168,16800,drip,scheduled
IRR000078,FIELD0174,2025-07-15T18:13:38.704Z,415,3264,drip,scheduled
IRR000079,FIELD0157,2025-05-08T18:26:31.149Z,321,5379,center_pivot,manual
IRR000080,FIELD0133,2026-01-31T21:31:09.244Z,230,9159,sprinkler,manual
IRR000081,FIELD0018,2025-08-14T06:04:23.428Z,316,46215,sprinkler,scheduled
IRR000082,FIELD0007,2025-04-30T10:36:52.510Z,173,45080,drip,manual
IRR000083,FIELD0198,2025-10-15T16:59:51.969Z,248,46197,flood,manual
IRR000084,FIELD0055,2025-09-02T11:06:59.939Z,469,8680,center_pivot,scheduled
IRR000085,FIELD0043,2025-06-09T12:20:36.030Z,189,2216,sprinkler,scheduled
IRR000086,FIELD0153,2025-04-10T00:57:19.908Z,75,8068,drip,scheduled
IRR000087,FIELD0137,2026-01-09T06:29:59.630Z,304,9753,sprinkler,manual
IRR000088,FIELD0131,2026-01-14T19:09:06.274Z,298,15986,sprinkler,scheduled
IRR000089,FIELD0067,2025-06-16T19:17:04.218Z,300,36440,sprinkler,manual
IRR000090,FIELD0171,2025-06-07T16:40:38.492Z,364,1219,flood,scheduled
IRR000091,FIELD0102,2025-11-21T15:27:18.361Z,57,28157,flood,manual
IRR000092,FIELD0004,2026-02-01T18:42:12.148Z,294,46065,flood,manual
IRR000093,FIELD0079,2025-11-18T05:13:01.879Z,68,5966,flood,manual
IRR000094,FIELD0187,2025-07-09T21:27:50.393Z,339,1943,sprinkler,scheduled
IRR000095,FIELD0123,2025-06-12T11:31:15.613Z,290,44289,flood,scheduled
IRR000096,FIELD0039,2025-07-24T13:57:14.695Z,252,18162,drip,manual
IRR000097,FIELD0113,2026-02-12T17:02:19.343Z,92,5204,flood,scheduled
IRR000098,FIELD0167,2025-10-05T04:22:48.858Z,123,9894,drip,scheduled
IRR000099,FIELD0040,2025-08-28T22:51:04.012Z,455,29456,sprinkler,manual
IRR000100,FIELD0191,2026-01-20T22:54:38.006Z,92,30937,drip,manual
IRR000101,FIELD0174,2025-04-20T01:20:02.042Z,93,21048,center_pivot,scheduled
IRR000102,FIELD0150,2025-07-31T23:29:33.152Z,333,6865,sprinkler,scheduled
IRR000103,FIELD0050,2025-04-24T22:29:44.477Z,262,5955,sprinkler,scheduled
IRR000104,FIELD0052,2025-10-04T18:00:12.213Z,130,14012,center_pivot,scheduled
IRR000105,FIELD0158,2025-04-07T04:28:43.899Z,211,48874,sprinkler,manual
IRR000106,FIELD0133,2025-12-05T05:45:05.295Z,235,14436,flood,manual
IRR000107,FIELD0005,2026-01-16T02:20:21.567Z,358,44977,flood,scheduled
IRR000108,FIELD0150,2026-02-04T07:21:20.076Z,112,12235,drip,scheduled
IRR000109,FIELD0131,2025-07-05T23:57:24.851Z,217,8179,flood,scheduled
IRR000110,FIELD0028,2025-08-18T07:31:46.231Z,328,38765,sprinkler,manual
IRR000111,FIELD0047,2026-01-27T12:18:08.379Z,194,38710,drip,scheduled
IRR000112,FIELD0144,2025-04-27T19:21:25.654Z,314,1813,center_pivot,manual
IRR000113,FIELD0172,2025-05-23T15:08:57.251Z,454,37105,sprinkler,manual
IRR000114,FIELD0160,2025-08-03T22:14:26.475Z,363,32087,center_pivot,scheduled
IRR000115,FIELD0095,2025-05-24T11:56:02.653Z,356,6154,center_pivot,manual
IRR000116,FIELD0006,2025-12-05T09:22:27.892Z,85,12047,sprinkler,scheduled
IRR000117,FIELD0079,2025-10-05T21:32:31.426Z,412,5489,flood,manual
IRR000118,FIELD0126,2025-09-12T06:45:34.364Z,90,34475,flood,manual
IRR000119,FIELD0004,2025-12-15T23:06:50.400Z,258,15366,drip,manual
IRR000120,FIELD0076,2025-06-19T03:41:31.862Z,65,30333,flood,manual
IRR000121,FIELD0028,2025-09-03T06:44:52.577Z,136,40898,sprinkler,manual
IRR000122,FIELD0050,2026-01-28T18:09:30.496Z,462,4640,drip,manual
IRR000123,FIELD0073,2025-07-25T03:03:57.372Z,470,23561,sprinkler,scheduled
IRR000124,FIELD0106,2026-01-10T12:20:17.846Z,429,46167,drip,manual
IRR000125,FIELD0080,2025-07-26T22:08:55.967Z,98,27415,center_pivot,scheduled
IRR000126,FIELD0072,2025-05-31T08:07:19.747Z,251,17964,center_pivot,manual
IRR000127,FIELD0188,2026-01-31T20:44:17.371Z,254,41676,flood,manual
IRR000128,FIELD0170,2025-10-16T23:26:51.778Z,152,29156,sprinkler,manual
IRR000129,FIELD0075,2025-11-30T01:44:50.102Z,109,44018,sprinkler,manual
IRR000130,FIELD0058,2025-12-10T07:30:37.552Z,436,22589,drip,manual
IRR000131,FIELD0133,2025-04-09T15:53:35.011Z,68,39019,sprinkler,scheduled
IRR000132,FIELD0194,2025-10-15T19:38:45.550Z,263,1178,flood,manual
IRR000133,FIELD0142,2026-01-10T21:34:01.088Z,265,44689,sprinkler,manual
IRR000134,FIELD0024,2025-12-24T02:02:32.675Z,276,5079,center_pivot,manual
IRR000135,FIELD0012,2025-05-24T12:47:53.072Z,377,19193,drip,scheduled
IRR000136,FIELD0154,2025-06-13T18:29:12.651Z,390,8948,sprinkler,manual
IRR000137,FIELD0127,2025-11-13T08:35:29.513Z,44,19056,drip,scheduled
IRR000138,FIELD0193,2025-11-03T07:58:56.070Z,171,16590,sprinkler,scheduled
IRR000139,FIELD0170,2025-04-10T05:34:56.815Z,311,3730,flood,scheduled
IRR000140,FIELD0011,2025-05-31T18:15:48.576Z,196,31190,center_pivot,scheduled
IRR000141,FIELD0083,2025-05-03T05:47:40.995Z,457,48189,sprinkler,scheduled
IRR000142,FIELD0142,2025-10-01T17:24:39.857Z,266,14789,sprinkler,scheduled
IRR000143,FIELD0096,2025-11-15T07:44:10.475Z,156,32510,center_pivot,manual
IRR000144,FIELD0033,2025-06-10T08:15:09.590Z,369,28709,drip,scheduled
IRR000145,FIELD0153,2025-09-02T07:40:37.292Z,298,17658,center_pivot,manual
IRR000146,FIELD0035,2025-07-10T19:17:34.719Z,386,37222,flood,manual
IRR000147,FIELD0080,2025-06-28T12:25:42.565Z,79,29269,sprinkler,scheduled
IRR000148,FIELD0128,2025-05-14T07:57:21.378Z,148,25556,center_pivot,scheduled
IRR000149,FIELD0031,2026-01-17T19:49:49.657Z,228,37173,flood,scheduled
IRR000150,FIELD0194,2025-05-17T23:47:48.741Z,38,25846,flood,scheduled
IRR000151,FIELD0128,2025-12-31T12:54:20.602Z,157,11709,drip,scheduled
IRR000152,FIELD0043,2025-12-25T13:41:20.141Z,357,5738,drip,scheduled
IRR000153,FIELD0151,2026-01-15T12:57:54.263Z,327,10442,flood,manual
IRR000154,FIELD0018,2025-05-17T17:46:12.329Z,195,43578,center_pivot,manual
IRR000155,FIELD0146,2025-06-30T05:09:57.247Z,200,28927,drip,manual
IRR000156,FIELD0148,2025-12-24T09:58:05.482Z,53,12464,center_pivot,scheduled
IRR000157,FIELD0110,2026-02-12T04:11:33.820Z,241,45316,flood,scheduled
IRR000158,FIELD0043,2025-07-16T02:14:35.236Z,367,5721,flood,scheduled
IRR000159,FIELD0063,2025-12-08T16:17:56.800Z,373,37619,flood,manual
IRR000160,FIELD0076,2025-11-15T10:50:00.264Z,140,38466,flood,scheduled
IRR000161,FIELD0088,2025-05-02T23:03:56.860Z,451,20996,center_pivot,scheduled
IRR000162,FIELD0036,2025-04-09T17:47:27.423Z,79,16643,center_pivot,scheduled
IRR000163,FIELD0085,2025-11-15T23:29:50.740Z,211,29683,center_pivot,manual
IRR000164,FIELD0046,2025-04-03T18:47:54.362Z,395,28522,sprinkler,manual
IRR000165,FIELD0037,2025-04-03T00:18:04.038Z,377,29942,center_pivot,scheduled
IRR000166,FIELD0004,2025-12-26T12:25:49.167Z,277,49928,drip,manual
IRR000167,FIELD0131,2025-05-19T00:07:04.310Z,104,35175,drip,manual
IRR000168,FIELD0017,2025-07-30T19:22:32.970Z,378,42355,sprinkler,manual
IRR000169,FIELD0043,2025-06-27T18:14:11.672Z,480,41368,drip,scheduled
IRR000170,FIELD0039,2025-12-24T00:35:26.347Z,306,36143,drip,scheduled
IRR000171,FIELD0166,2025-07-13T17:43:50.199Z,345,20371,center_pivot,scheduled
IRR000172,FIELD0002,2025-08-08T22:35:04.136Z,419,19571,center_pivot,scheduled
IRR000173,FIELD0047,2025-09-26T21:10:19.387Z,95,46022,flood,scheduled
IRR000174,FIELD0088,2025-04-15T04:57:24.948Z,155,7870,flood,manual
IRR000175,FIELD0028,2025-05-20T00:28:37.289Z,417,43019,flood,scheduled
IRR000176,FIELD0080,2026-01-31T06:56:15.807Z,421,28363,sprinkler,manual
IRR000177,FIELD0046,2025-09-20T23:08:45.417Z,454,49027,sprinkler,scheduled
IRR000178,FIELD0174,2025-10-06T01:56:09.857Z,257,20962,flood,manual
IRR000179,FIELD0060,2025-08-11T16:57:18.921Z,340,43027,drip,scheduled
IRR000180,FIELD0192,2025-12-17T15:16:35.939Z,478,46046,flood,scheduled
IRR000181,FIELD0087,2025-07-16T17:15:12.974Z,400,4288,drip,manual
IRR000182,FIELD0194,2025-11-01T13:46:55.073Z,391,21546,drip,scheduled
IRR000183,FIELD0023,2025-07-11T12:19:50.107Z,268,7959,drip,manual
IRR000184,FIELD0099,2025-12-30T10:30:07.008Z,441,41320,sprinkler,scheduled
IRR000185,FIELD0187,2025-06-12T00:23:30.304Z,300,39500,center_pivot,scheduled
IRR000186,FIELD0156,2026-01-18T11:28:15.107Z,479,10447,drip,scheduled
IRR000187,FIELD0085,2025-06-15T11:54:22.901Z,214,6440,drip,scheduled
IRR000188,FIELD0149,2025-08-24T18:55:25.000Z,106,31888,center_pivot,scheduled
IRR000189,FIELD0160,2025-07-29T16:34:10.784Z,462,41093,drip,manual
IRR000190,FIELD0011,2026-01-07T23:27:35.396Z,328,45223,drip,manual
IRR000191,FIELD0101,2025-12-09T20:30:30.279Z,332,24013,center_pivot,scheduled
IRR000192,FIELD0110,2025-08-25T20:39:51.623Z,273,45811,sprinkler,scheduled
IRR000193,FIELD0088,2025-04-13T02:28:54.894Z,257,42674,flood,manual
IRR000194,FIELD0068,2026-02-05T08:09:28.162Z,465,28685,flood,scheduled
IRR000195,FIELD0156,2025-07-01T22:25:13.164Z,40,23601,flood,manual
IRR000196,FIELD0050,2025-10-02T20:41:33.198Z,434,30582,sprinkler,manual
IRR000197,FIELD0171,2025-10-07T17:50:42.674Z,301,38412,sprinkler,manual
IRR000198,FIELD0196,2025-11-06T20:19:25.883Z,31,7977,flood,manual
IRR000199,FIELD0190,2026-01-18T05:35:01.750Z,326,23661,drip,manual
IRR000200,FIELD0172,2025-11-20T21:15:26.770Z,71,30687,center_pivot,scheduled
IRR000201,FIELD0047,2025-10-12T11:00:46.975Z,410,31857,drip,scheduled
IRR000202,FIELD0060,2025-12-04T00:26:19.048Z,211,31422,flood,scheduled
IRR000203,FIELD0181,2025-12-15T21:09:32.717Z,404,29227,drip,manual
IRR000204,FIELD0135,2025-07-10T01:32:14.979Z,339,26772,flood,manual
IRR000205,FIELD0115,2026-01-02T20:13:19.341Z,189,1506,drip,scheduled
IRR000206,FIELD0079,2025-07-21T20:14:20.542Z,343,46859,drip,manual
IRR000207,FIELD0035,2025-10-04T16:17:45.897Z,66,46226,center_pivot,scheduled
IRR000208,FIELD0006,2025-12-11T15:19:01.797Z,47,9587,sprinkler,scheduled
IRR000209,FIELD0196,2026-01-28T05:39:48.046Z,419,34067,center_pivot,manual
IRR000210,FIELD0103,2025-08-06T16:36:32.741Z,459,6125,center_pivot,manual
IRR000211,FIELD0111,2025-11-16T12:07:12.839Z,218,5549,center_pivot,scheduled
IRR000212,FIELD0197,2026-01-25T07:25:38.455Z,45,20909,flood,manual
IRR000213,FIELD0066,2025-08-16T02:30:48.586Z,272,31060,drip,manual
IRR000214,FIELD0089,2025-09-28T21:31:53.176Z,374,1021,drip,manual
IRR000215,FIELD0191,2025-05-12T18:09:06.002Z,69,39076,center_pivot,scheduled
IRR000216,FIELD0042,2025-10-01T19:06:05.414Z,203,14027,center_pivot,scheduled
IRR000217,FIELD0133,2025-07-04T20:52:31.015Z,182,39808,flood,manual
IRR000218,FIELD0087,2025-06-03T05:18:15.499Z,285,28186,center_pivot,manual
IRR000219,FIELD0040,2025-05-16T02:57:26.954Z,478,5003,sprinkler,scheduled
IRR000220,FIELD0148,2025-10-06T18:38:32.092Z,319,11102,center_pivot,manual
IRR000221,FIELD0186,2025-12-14T16:17:52.559Z,130,49783,flood,manual
IRR000222,FIELD0138,2025-10-13T08:41:37.097Z,303,29891,flood,manual
IRR000223,FIELD0115,2025-10-11T11:03:52.856Z,226,9164,sprinkler,manual
IRR000224,FIELD0012,2025-09-02T12:10:28.490Z,149,6982,center_pivot,manual
IRR000225,FIELD0169,2025-04-25T07:38:48.484Z,362,3909,sprinkler,manual
IRR000226,FIELD0107,2025-10-15T16:49:29.266Z,265,13703,flood,manual
IRR000227,FIELD0123,2025-06-09T06:42:09.692Z,30,44522,center_pivot,scheduled
IRR000228,FIELD0132,2025-09-18T07:57:05.303Z,175,21675,flood,manual
IRR000229,FIELD0077,2026-01-20T00:07:24.051Z,454,7130,flood,manual
IRR000230,FIELD0039,2025-10-07T14:36:27.234Z,409,13480,sprinkler,scheduled
IRR000231,FIELD0002,2025-04-28T02:55:12.633Z,419,40681,flood,manual
IRR000232,FIELD0170,2025-08-13T09:33:53.280Z,463,35591,center_pivot,scheduled
IRR000233,FIELD0098,2025-08-30T22:35:44.850Z,427,25485,sprinkler,manual
IRR000234,FIELD0052,2025-11-16T02:41:59.754Z,46,39931,flood,scheduled
IRR000235,FIELD0003,2025-10-25T22:57:49.730Z,200,24504,flood,scheduled
IRR000236,FIELD0052,2026-01-31T16:59:15.054Z,310,44937,sprinkler,manual
IRR000237,FIELD0048,2025-04-16T08:05:50.142Z,238,24490,drip,manual
IRR000238,FIELD0119,2025-04-05T00:31:36.406Z,206,31123,drip,scheduled
IRR000239,FIELD0021,2025-04-13T18:04:15.170Z,349,18322,sprinkler,manual
IRR000240,FIELD0127,2026-01-07T14:37:36.945Z,74,46918,drip,scheduled
IRR000241,FIELD0067,2025-12-27T15:51:05.854Z,222,33637,flood,manual
IRR000242,FIELD0149,2025-06-22T13:13:24.913Z,390,12972,drip,scheduled
IRR000243,FIELD0033,2025-08-13T21:52:10.256Z,325,3166,sprinkler,manual
IRR000244,FIELD0076,2025-10-15T22:37:34.562Z,359,19674,drip,scheduled
IRR000245,FIELD0015,2025-08-25T21:43:55.073Z,412,34215,flood,scheduled
IRR000246,FIELD0178,2025-10-25T10:08:33.628Z,337,34584,flood,manual
IRR000247,FIELD0068,2025-09-20T01:14:24.462Z,177,33887,flood,scheduled
IRR000248,FIELD0125,2025-06-11T06:23:11.143Z,404,31880,center_pivot,scheduled
IRR000249,FIELD0010,2025-04-24T14:46:10.863Z,127,19566,center_pivot,manual
IRR000250,FIELD0072,2025-08-25T00:44:19.697Z,420,22027,flood,manual
IRR000251,FIELD0091,2026-01-25T04:58:23.111Z,472,38115,sprinkler,manual
IRR000252,FIELD0193,2025-08-04T10:10:47.092Z,380,11353,drip,manual
IRR000253,FIELD0095,2026-01-27T11:52:54.425Z,196,1004,sprinkler,manual
IRR000254,FIELD0046,2026-02-03T01:34:49.337Z,393,7194,flood,manual
IRR000255,FIELD0046,2025-09-01T05:41:57.928Z,67,36252,center_pivot,scheduled
IRR000256,FIELD0110,2025-04-18T20:19:21.398Z,202,41081,sprinkler,manual
IRR000257,FIELD0177,2025-06-23T01:07:33.999Z,335,30930,center_pivot,scheduled
IRR000258,FIELD0143,2026-01-21T03:19:39.357Z,267,30798,flood,manual
IRR000259,FIELD0197,2025-08-27T10:38:49.066Z,46,32812,flood,scheduled
IRR000260,FIELD0093,2025-11-29T16:14:02.636Z,136,18014,drip,manual
IRR000261,FIELD0056,2025-05-14T20:11:42.225Z,348,23998,center_pivot,scheduled
IRR000262,FIELD0039,2025-12-26T07:55:44.497Z,385,12566,center_pivot,manual
IRR000263,FIELD0098,2026-01-01T04:05:13.409Z,265,16688,sprinkler,scheduled
IRR000264,FIELD0069,2025-05-17T08:19:02.514Z,73,29457,flood,scheduled
IRR000265,FIELD0023,2025-05-05T13:46:44.211Z,271,7075,drip,scheduled
IRR000266,FIELD0142,2025-05-23T14:00:05.100Z,56,43549,sprinkler,manual
IRR000267,FIELD0128,2025-08-28T04:44:41.576Z,380,19215,center_pivot,manual
IRR000268,FIELD0120,2025-08-26T06:26:17.939Z,65,12132,sprinkler,manual
IRR000269,FIELD0007,2025-05-05T17:59:12.864Z,408,45284,center_pivot,scheduled
IRR000270,FIELD0034,2025-07-05T17:12:07.080Z,149,5087,sprinkler,manual
IRR000271,FIELD0164,2025-05-22T20:29:52.175Z,42,32296,sprinkler,scheduled
IRR000272,FIELD0064,2025-12-17T23:31:46.921Z,63,39705,flood,scheduled
IRR000273,FIELD0022,2025-10-28T22:27:29.432Z,368,30066,sprinkler,manual
IRR000274,FIELD0132,2025-10-17T00:31:39.437Z,379,44082,sprinkler,scheduled
IRR000275,FIELD0173,2025-06-22T06:42:37.822Z,403,19440,drip,manual
IRR000276,FIELD0020,2025-04-23T13:34:44.767Z,408,12455,center_pivot,scheduled
IRR000277,FIELD0161,2025-10-13T03:56:48.000Z,197,23277,sprinkler,manual
IRR000278,FIELD0051,2025-07-07T02:09:01.946Z,426,42321,flood,manual
IRR000279,FIELD0173,2025-09-15T12:54:20.770Z,109,6790,drip,scheduled
IRR000280,FIELD0122,2025-10-05T16:57:05.422Z,448,12879,center_pivot,manual
IRR000281,FIELD0129,2026-01-13T17:09:55.330Z,56,26463,flood,manual
IRR000282,FIELD0056,2025-10-10T08:09:43.308Z,205,6028,flood,scheduled
IRR000283,FIELD0124,2025-11-29T03:30:03.328Z,202,17560,flood,scheduled
IRR000284,FIELD0150,2026-01-14T23:16:53.204Z,155,36500,drip,manual
IRR000285,FIELD0181,2026-01-26T00:33:59.628Z,83,24012,flood,scheduled
IRR000286,FIELD0063,2025-05-07T17:58:00.821Z,180,26702,sprinkler,manual
IRR000287,FIELD0017,2025-10-24T14:10:30.006Z,287,1891,center_pivot,manual
IRR000288,FIELD0127,2025-06-18T21:16:41.057Z,458,26464,drip,manual
IRR000289,FIELD0113,2025-10-12T01:36:09.155Z,279,15550,center_pivot,scheduled
IRR000290,FIELD0148,2025-06-29T10:47:03.343Z,44,37998,center_pivot,manual
IRR000291,FIELD0154,2025-12-20T16:01:07.857Z,165,33627,flood,manual
IRR000292,FIELD0147,2026-01-06T09:48:56.836Z,363,44037,flood,manual
IRR000293,FIELD0016,2025-12-20T22:10:19.018Z,393,8375,drip,manual
IRR000294,FIELD0178,2025-11-17T19:37:09.608Z,62,8491,center_pivot,manual
IRR000295,FIELD0024,2025-11-03T20:50:06.004Z,149,37428,flood,scheduled
IRR000296,FIELD0186,2025-09-07T14:27:15.037Z,448,18743,flood,scheduled
IRR000297,FIELD0126,2025-11-06T11:59:22.721Z,311,10503,center_pivot,manual
IRR000298,FIELD0077,2025-05-05T01:36:05.168Z,81,14557,center_pivot,manual
IRR000299,FIELD0145,2025-09-14T10:59:23.289Z,395,40887,flood,scheduled
IRR000300,FIELD0120,2026-02-02T19:54:37.903Z,399,20624,center_pivot,manual
IRR000301,FIELD0053,2025-05-09T20:10:12.675Z,106,21488,drip,manual
IRR000302,FIELD0119,2026-01-12T22:25:25.287Z,334,7882,flood,manual
IRR000303,FIELD0085,2025-04-09T05:19:08.459Z,316,49066,drip,manual
IRR000304,FIELD0049,2025-12-10T04:50:38.474Z,462,5327,sprinkler,scheduled
IRR000305,FIELD0078,2025-04-12T12:31:42.294Z,431,44465,flood,manual
IRR000306,FIELD0070,2025-08-11T06:26:45.978Z,345,40255,drip,manual
IRR000307,FIELD0142,2025-12-05T07:00:31.584Z,307,28358,center_pivot,manual
IRR000308,FIELD0163,2025-08-26T14:43:34.688Z,129,22201,flood,scheduled
IRR000309,FIELD0042,2025-04-23T00:18:26.860Z,46,16904,center_pivot,scheduled
IRR000310,FIELD0010,2025-11-03T05:05:03.425Z,462,8451,drip,scheduled
IRR000311,FIELD0158,2025-08-30T16:35:52.550Z,247,40857,center_pivot,manual
IRR000312,FIELD0022,2025-12-16T18:23:00.003Z,38,4627,flood,scheduled
IRR000313,FIELD0121,2025-05-30T06:09:44.696Z,55,11806,sprinkler,scheduled
IRR000314,FIELD0121,2025-11-07T03:57:45.685Z,125,3696,sprinkler,manual
IRR000315,FIELD0101,2025-05-19T15:20:01.438Z,417,18110,center_pivot,manual
IRR000316,FIELD0058,2025-09-09T13:03:34.981Z,444,32679,center_pivot,manual
IRR000317,FIELD0087,2025-06-14T02:50:56.874Z,221,46357,center_pivot,scheduled
IRR000318,FIELD0192,2025-08-30T16:49:10.144Z,379,20447,center_pivot,manual
IRR000319,FIELD0029,2026-01-29T13:06:05.923Z,83,28463,center_pivot,manual
IRR000320,FIELD0121,2025-07-04T13:13:42.933Z,301,6912,flood,manual
IRR000321,FIELD0058,2025-11-06T16:18:21.563Z,247,12738,center_pivot,scheduled
