image_id,field_id,capture_date,ndvi,evi,lai,cloud_cover_percent,resolution_m
SAT0000101,FIELD0140,2025-05-07,0.03,0.039,0.35,54,10
SAT0000102,FIELD0165,2025-09-10,0.303,0.787,3.02,99,30
SAT0000103,FIELD0121,2025-11-26,0.442,-0.065,0.04,50,10
SAT0000104,FIELD0034,2026-01-29,0.644,0.747,3.07,78,30
SAT0000105,FIELD0143,2025-06-17,-0.045,0.479,5.96,90,10
SAT0000106,FIELD0145,2025-10-21,-0.098,0.314,1.07,71,10
SAT0000107,FIELD0081,2025-08-29,0.293,0.051,0.22,81,30
SAT0000108,FIELD0005,2025-05-08,0.136,-0.005,2.79,54,10
SAT0000109,FIELD0066,2025-03-19,0.746,0.478,4.66,19,30
SAT0000110,FIELD0026,2026-02-13,0.544,0.228,3.58,70,30
SAT0000111,FIELD0065,2025-05-20,0.514,0.545,2.32,70,10
SAT0000112,FIELD0059,2025-09-04,0.006,-0.035,1.5,74,10
SAT0000113,FIELD0009,2025-05-08,0.567,-0.063,4.84,60,20
SAT0000114,FIELD0170,2025-11-11,0.722,0.446,1.42,1,10
SAT0000115,FIELD0155,2025-10-26,0.777,0.068,3.56,43,10
SAT0000116,FIELD0020,2025-03-14,0.193,0.463,1.48,68,10
SAT0000117,FIELD0074,2025-03-24,0.892,0.399,0.46,74,20
SAT0000118,FIELD0154,2025-05-07,0.295,0.03,1.42,60,20
SAT0000119,FIELD0120,2025-12-25,0.4,0.69,0.46,96,10
SAT0000120,FIELD0036,2025-09-10,0.385,0.679,2.94,49,10
SAT0000121,FIELD0176,2025-12-31,0.839,0.389,0.43,35,20
SAT0000122,FIELD0165,2025-11-03,0.674,0.667,3.09,82,20
SAT0000123,FIELD0196,2025-09-17,0.79,0.002,5.19,78,20
SAT0000124,FIELD0195,2025-09-19,0.776,0.565,3.76,95,10
SAT0000125,FIELD0139,2025-05-13,0.315,0.601,1.92,17,20
SAT0000126,FIELD0081,2026-02-07,0.059,0.673,3.31,64,10
SAT0000127,FIELD0025,2025-06-02,0.372,0.474,3.85,94,30
SAT0000128,FIELD0083,2025-06-07,0.245,0.687,2.12,77,10
SAT0000129,FIELD0081,2025-09-23,0.842,0.702,1.39,91,10
SAT0000130,FIELD0030,2026-01-20,0.54,0.749,2.68,64,30
SAT0000131,FIELD0176,2025-03-21,0.307,0.772,3.79,64,10
SAT0000132,FIELD0033,2025-09-24,0.643,0.62,5.03,51,30
SAT0000133,FIELD0003,2025-09-24,0.806,-0.078,3.46,63,10
SAT0000134,FIELD0197,2026-02-14,0.02,0.283,3.32,74,30
SAT0000135,FIELD0048,2025-05-07,0.879,0.68,3.41,11,10
SAT0000136,FIELD0089,2025-08-19,0.165,-0.03,2.82,34,20
SAT0000137,FIELD0172,2026-01-15,0.625,0.286,4.27,53,20
SAT0000138,FIELD0190,2025-03-08,0.723,0.249,1.75,56,30
SAT0000139,FIELD0144,2025-06-11,0.211,0.348,4.83,72,10
SAT0000140,FIELD0163,2025-06-01,0.707,0.501,2.24,55,10
SAT0000141,FIELD0010,2025-09-12,-0.072,0.044,0.98,90,30
SAT0000142,FIELD0137,2025-12-05,0.786,0.255,0.38,67,20
SAT0000143,FIELD0082,2025-04-03,0.321,0.18,1.57,85,30
SAT0000144,FIELD0124,2025-07-21,0.327,0.043,4.62,11,30
SAT0000145,FIELD0023,2025-08-28,0.113,0.364,5.41,31,20
SAT0000146,FIELD0030,2025-11-07,0.845,0.51,4.61,25,30
SAT0000147,FIELD0193,2025-05-27,0.809,0.7,5.36,1,30
SAT0000148,FIELD0173,2025-11-23,-0.057,0.67,3.31,16,30
SAT0000149,FIELD0015,2025-08-18,0.827,0.303,1.64,69,10
SAT0000150,FIELD0012,2025-04-09,-0.05,0.3,4.49,45,30
SAT0000151,FIELD0136,2025-03-06,0.804,-0.011,1.53,48,30
SAT0000152,FIELD0138,2025-06-02,0.61,0.261,5.27,35,10
SAT0000153,FIELD0136,2025-06-17,0.579,0.742,1.38,89,10
SAT0000154,FIELD0153,2026-01-29,0.465,0.158,3.25,74,20
SAT0000155,FIELD0101,2025-11-08,0.149,0.663,2.87,20,10
SAT0000156,FIELD0040,2025-12-26,0.74,0.134,4.63,16,10
SAT0000157,FIELD0092,2026-01-01,0.458,0.781,4.06,63,20
SAT0000158,FIELD0117,2025-07-23,0.845,0.464,1.34,0,20
SAT0000159,FIELD0086,2025-09-15,-0.078,0.578,4.69,52,10
SAT0000160,FIELD0143,2025-05-05,0.425,0.496,0.87,23,20
SAT0000161,FIELD0187,2025-03-01,-0.077,0.776,4.01,26,10
SAT0000162,FIELD0048,2025-04-16,0.766,0.744,0.22,97,10
SAT0000163,FIELD0006,2025-07-27,0.519,0.651,0.46,33,20
SAT0000164,FIELD0181,2025-04-08,0.466,0.273,3.89,69,20
SAT0000165,FIELD0010,2025-10-19,0.473,0.791,4.91,16,20
SAT0000166,FIELD0012,2025-09-19,0.873,0.335,2.14,80,30
SAT0000167,FIELD0055,2026-02-06,0.737,0.429,0.03,81,30
SAT0000168,FIELD0171,2025-09-04,0.741,0.46,3.18,3,10
SAT0000169,FIELD0035,2025-04-12,-0.046,0.289,5.27,84,10
SAT0000170,FIELD0105,2025-09-08,0.269,0.471,3.21,66,20
SAT0000171,FIELD0086,2025-10-07,0.344,0.055,0.86,64,10
SAT0000172,FIELD0002,2025-06-19,0.163,-0.091,2.82,80,10
SAT0000173,FIELD0063,2025-05-05,0.017,0.382,4.66,53,20
SAT0000174,FIELD0168,2025-08-25,0.881,0.235,5.58,94,10
SAT0000175,FIELD0149,2026-01-16,0.714,-0.038,5.63,85,10
SAT0000176,FIELD0127,2025-03-06,0.6,0.45,4.34,63,30
SAT0000177,FIELD0135,2025-04-20,0.302,0.159,0,53,30
SAT0000178,FIELD0168,2026-02-14,-0.057,0.504,2.37,90,20
SAT0000179,FIELD0114,2025-06-10,0.576,-0.096,1.83,72,10
SAT0000180,FIELD0008,2025-03-30,0.802,0.532,3.87,60,10
SAT0000181,FIELD0107,2025-10-30,0.081,0.022,5.23,51,10
SAT0000182,FIELD0141,2025-05-10,0.48,0.423,5.05,20,30
SAT0000183,FIELD0178,2025-03-17,0.676,0.11,2.07,44,30
SAT0000184,FIELD0174,2025-05-24,0.521,0.342,5.62,41,20
SAT0000185,FIELD0163,2026-01-03,0.329,0.302,4.73,16,30
SAT0000186,FIELD0185,2025-12-07,0.54,0.28,0.49,27,10
SAT0000187,FIELD0147,2025-09-05,0.561,0.014,2.02,46,30
SAT0000188,FIELD0155,2025-04-15,0.095,0.048,0.1,5,10
SAT0000189,FIELD0049,2025-06-22,0.8,0.294,1.71,75,30
SAT0000190,FIELD0149,2025-05-31,0.094,0.366,0.46,60,20
SAT0000191,FIELD0133,2026-01-14,0.831,0.392,3.66,47,20
SAT0000192,FIELD0010,2025-08-24,0.524,0.31,1.05,49,10
SAT0000193,FIELD0155,2025-06-14,0.639,0.456,3.94,95,20
SAT0000194,FIELD0021,2025-05-26,0.477,0.659,3.57,88,20
SAT0000195,FIELD0093,2025-07-18,0.664,0.126,1.57,85,30
SAT0000196,FIELD0073,2025-06-17,0.484,0.455,4.45,85,10
SAT0000197,FIELD0021,2025-12-25,0.167,0.056,3.44,4,10
SAT0000198,FIELD0160,2025-07-22,0.863,-0.016,0.03,41,20
SAT0000199,FIELD0170,2025-12-19,0.186,0.262,4.06,99,20
SAT0000200,FIELD0150,2025-11-19,0.62,0.256,1.63,88,30
SAT0000201,FIELD0148,2025-03-25,0.112,0.532,5.3,58,20
SAT0000202,FIELD0135,2025-05-06,0.324,-0.044,1.98,2,30
SAT0000203,FIELD0122,2025-07-30,0.234,0.104,1.56,28,20
SAT0000204,FIELD0053,2025-03-02,0.073,0.217,4.02,87,30
SAT0000205,FIELD0073,2025-03-30,-0.017,0.14,2.07,49,20
SAT0000206,FIELD0096,2025-06-14,0.882,0.445,2.76,26,10
SAT0000207,FIELD0147,2025-09-21,0.107,0.286,1.85,47,20
SAT0000208,FIELD0127,2025-07-02,0.371,0.675,3.22,46,30
SAT0000209,FIELD0129,2026-01-08,0.527,0.011,2,27,10
SAT0000210,FIELD0113,2025-06-10,0.109,0.637,1.71,32,10
SAT0000211,FIELD0005,2025-10-27,0.854,0.684,0.48,21,10
SAT0000212,FIELD0155,2025-07-14,0.228,0.602,1.56,40,30
SAT0000213,FIELD0039,2025-07-14,0.591,0.577,3.19,36,10
SAT0000214,FIELD0098,2025-07-25,-0.051,0.507,0.38,60,10
SAT0000215,FIELD0128,2025-04-15,0.147,0.123,5.99,68,20
SAT0000216,FIELD0113,2025-05-18,0.597,-0.043,2.46,75,10
SAT0000217,FIELD0097,2025-10-31,-0.052,0.459,0.26,20,20
SAT0000218,FIELD0180,2025-08-14,0.368,0.491,5.02,16,10
SAT0000219,FIELD0154,2025-05-16,0.699,0.511,5.55,84,20
SAT0000220,FIELD0060,2025-10-04,0.305,0.03,3.3,43,10
SAT0000221,FIELD0069,2026-02-14,0.151,0.293,3.4,53,20
SAT0000222,FIELD0014,2025-06-24,0.683,0.585,4.43,2,10
SAT0000223,FIELD0139,2026-01-11,0.848,0.396,4.26,92,20
SAT0000224,FIELD0084,2025-05-24,0.179,0.667,3.89,58,30
SAT0000225,FIELD0121,2025-05-02,0.459,0.081,1.85,15,10
SAT0000226,FIELD0174,2025-12-19,0.539,0.209,5.38,59,30
SAT0000227,FIELD0126,2025-12-16,0.226,0.637,2.66,20,30
SAT0000228,FIELD0194,2025-10-31,0.627,0.205,4.81,59,20
SAT0000229,FIELD0138,2025-04-05,0.226,0.717,3.38,83,10
SAT0000230,FIELD0008,2025-03-29,0.664,0.432,5.35,70,10
SAT0000231,FIELD0089,2025-12-27,0.046,0.429,0.77,61,20
SAT0000232,FIELD0100,2025-06-16,0.048,-0.031,4.84,2,20
SAT0000233,FIELD0002,2026-01-02,0.285,0.592,1.77,97,30
SAT0000234,FIELD0192,2025-03-31,0.072,0.032,4.74,57,30
SAT0000235,FIELD0040,2025-12-29,-0.072,0.388,1.96,100,10
SAT0000236,FIELD0121,2025-10-27,0.502,0.717,4.13,89,10
SAT0000237,FIELD0128,2026-01-05,0.268,0.054,5.89,56,30
SAT0000238,FIELD0029,2025-06-07,-0.094,0.721,0.55,58,20
SAT0000239,FIELD0171,2025-03-20,0.493,0.119,1.1,14,20
SAT0000240,FIELD0142,2025-10-14,0.176,0.702,1.5,78,10
SAT0000241,FIELD0130,2025-04-04,0.316,0.458,3.66,78,20
SAT0000242,FIELD0053,2025-05-16,0.433,0.412,2.52,76,30
SAT0000243,FIELD0181,2026-01-01,-0.084,0.059,5.21,31,30
SAT0000244,FIELD0193,2026-01-30,0.301,0.504,1.47,19,20
SAT0000245,FIELD0032,2025-04-14,0.432,0.635,5.66,28,10
SAT0000246,FIELD0073,2025-04-11,0.051,0.438,4.02,88,10
SAT0000247,FIELD0113,2025-03-12,0.562,0.605,0.87,50,10
SAT0000248,FIELD0085,2025-10-07,0.322,0.257,4.11,53,10
SAT0000249,FIELD0079,2025-10-15,-0.005,0.068,1.43,98,10
SAT0000250,FIELD0032,2026-02-08,0.899,0.172,1.37,98,30
SAT0000251,FIELD0070,2025-11-29,0.027,0.38,1.3,88,10
SAT0000252,FIELD0173,2025-06-05,0.892,0.4,1.73,18,10
SAT0000253,FIELD0128,2025-12-14,0.813,0.66,2.69,43,20
SAT0000254,FIELD0056,2025-05-07,0.542,0.581,4.07,0,10
SAT0000255,FIELD0001,2026-01-12,0.228,0.168,1.54,86,30
SAT0000256,FIELD0112,2025-10-02,0.318,0.392,3.12,18,10
SAT0000257,FIELD0111,2025-04-21,0.037,0.15,2,42,30
SAT0000258,FIELD0187,2025-12-06,0.526,0.585,5.16,99,10
SAT0000259,FIELD0091,2025-09-03,0.564,0.783,1.3,70,10
SAT0000260,FIELD0035,2025-05-04,0.869,0.282,1.02,82,20
SAT0000261,FIELD0182,2025-10-01,0.347,0.181,0.26,64,10
SAT0000262,FIELD0101,2025-09-23,0.273,-0.015,4.05,75,30
SAT0000263,FIELD0004,2025-03-23,0.336,0.253,1.73,76,30
SAT0000264,FIELD0037,2025-09-06,0.549,0.73,5.15,9,30
SAT0000265,FIELD0082,2025-03-21,0.63,0.67,4.34,28,20
SAT0000266,FIELD0196,2025-09-18,0.356,0.659,5.25,36,20
SAT0000267,FIELD0134,2025-06-16,0.353,-0.048,2.1,63,10
SAT0000268,FIELD0140,2025-11-10,0.622,0.045,0.47,79,30
SAT0000269,FIELD0193,2026-01-15,0.057,0.208,3.39,99,30
SAT0000270,FIELD0149,2025-05-14,0.479,0.461,3.03,81,20
SAT0000271,FIELD0171,2025-07-20,0.721,0.015,4.4,36,10
SAT0000272,FIELD0199,2025-05-26,0.795,-0.059,2.87,63,30
SAT0000273,FIELD0083,2025-08-18,-0.028,-0.037,1.05,43,20
SAT0000274,FIELD0173,2026-01-26,0.891,0.198,1.96,95,20
SAT0000275,FIELD0183,2025-07-04,-0.077,0.42,0.97,88,20
SAT0000276,FIELD0189,2025-03-30,0.672,0.061,4.89,46,30
SAT0000277,FIELD0020,2025-09-30,0.872,0.345,1.7,60,20
SAT0000278,FIELD0164,2026-01-05,-0.08,0.149,0.04,28,10
SAT0000279,FIELD0087,2026-01-22,0.553,-0.023,4.14,18,20
SAT0000280,FIELD0192,2025-12-06,-0.036,0.144,5.38,20,10
SAT0000281,FIELD0179,2025-08-22,0.555,0.026,0.37,99,20
SAT0000282,FIELD0117,2025-06-29,0.703,0.543,5.61,50,30
SAT0000283,FIELD0131,2025-03-30,0.41,0.523,0.31,80,10
SAT0000284,FIELD0078,2025-06-29,0.864,0.408,0.96,17,10
SAT0000285,FIELD0049,2025-11-08,0.008,0.35,2.94,0,20
SAT0000286,FIELD0115,2025-04-13,0.869,0.715,0.34,41,20
SAT0000287,FIELD0022,2025-05-04,0.485,0.558,0.09,94,20
SAT0000288,FIELD0136,2025-08-05,0.476,0.154,1.66,77,20
SAT0000289,FIELD0019,2026-01-05,0.577,0.365,4.26,90,20
SAT0000290,FIELD0159,2025-05-24,0.393,0.082,4.87,59,10
SAT0000291,FIELD0078,2025-03-07,0.706,0.19,4.86,39,10
SAT0000292,FIELD0132,2025-04-27,0.406,-0.082,0.26,31,30
SAT0000293,FIELD0035,2025-04-04,0.643,0.64,5.33,88,30
SAT0000294,FIELD0052,2025-10-10,0.752,0.031,5.62,72,30
SAT0000295,FIELD0132,2025-09-14,0.247,0.789,2.19,38,10
SAT0000296,FIELD0196,2025-07-06,0.568,-0.07,4.65,36,10
SAT0000297,FIELD0084,2025-09-18,0.355,0.003,3.78,53,20
SAT0000298,FIELD0164,2025-05-27,-0.037,0.044,1.27,73,20
SAT0000299,FIELD0086,2025-09-05,-0.056,0.535,5.54,0,30
SAT0000300,FIELD0179,2025-10-12,0.77,0.593,2.28,45,20
SAT0000301,FIELD0095,2025-05-15,0.324,0.148,5.67,88,30
SAT0000302,FIELD0114,2026-01-28,0.157,0.031,2.04,79,30
SAT0000303,FIELD0026,2025-11-28,0.295,0.473,1.39,8,10
SAT0000304,FIELD0013,2025-10-10,0.017,-0.029,2.04,91,10
SAT0000305,FIELD0035,2025-04-18,0.505,0.14,1.5,36,30
SAT0000306,FIELD0047,2025-04-15,0.805,0.747,3.03,17,10
SAT0000307,FIELD0019,2025-06-04,0.618,0.364,1.47,34,30
SAT0000308,FIELD0078,2025-06-04,0.588,0.398,4.32,86,20
SAT0000309,FIELD0095,2025-03-22,0.78,0.492,1.34,11,20
SAT0000310,FIELD0165,2025-12-05,0.711,-0.002,4.25,4,30
SAT0000311,FIELD0088,2026-01-20,0.747,0.115,5.48,83,10
SAT0000312,FIELD0147,2025-04-24,0.377,0.26,3.9,10,30
SAT0000313,FIELD0190,2025-06-01,0.393,0.093,4.65,64,20
SAT0000314,FIELD0054,2025-07-05,0.398,0.674,5.94,96,10
SAT0000315,FIELD0136,2025-11-08,0.029,0.007,5.97,44,30
SAT0000316,FIELD0068,2025-04-07,0.096,0.255,1.39,48,10
SAT0000317,FIELD0188,2025-08-14,0.722,0.677,2.93,38,10
SAT0000318,FIELD0025,2025-04-24,-0.072,0.369,0.65,35,10
SAT0000319,FIELD0068,2026-01-19,0.063,-0.061,5.96,12,30
SAT0000320,FIELD0193,2025-03-30,0.337,0.662,2.09,38,30
SAT0000321,FIELD0148,2025-12-06,0.598,0.005,0.93,55,10
SAT0000322,FIELD0070,2025-06-06,0.654,0.14,5.42,39,30
SAT0000323,FIELD0178,2025-04-17,-0.084,0.346,2.41,28,10
SAT0000324,FIELD0125,2026-02-14,0.333,0.8,0.13,66,30
SAT0000325,FIELD0050,2025-08-14,-0.019,0.106,1.1,74,10
SAT0000326,FIELD0155,2025-08-07,0.833,0.291,3.35,23,20
SAT0000327,FIELD0081,2025-12-27,0.022,0.569,1.66,87,20
SAT0000328,FIELD0155,2025-06-12,0.693,0.657,0.22,7,20
SAT0000329,FIELD0036,2026-01-11,0.851,0.645,0.43,99,20
SAT0000330,FIELD0141,2025-05-10,0.485,0.162,2.8,56,30
SAT0000331,FIELD0064,2025-03-03,0.129,0.519,0.7,52,30
SAT0000332,FIELD0045,2025-09-07,0.629,0.016,2.45,38,20
SAT0000333,FIELD0139,2025-04-23,0.047,0.309,1.98,91,30
SAT0000334,FIELD0094,2025-08-13,0.063,0.727,3.97,17,10
SAT0000335,FIELD0114,2025-09-02,0.458,0.388,3.64,88,30
SAT0000336,FIELD0019,2025-05-16,0.255,0.179,2.47,88,20
SAT0000337,FIELD0169,2026-01-28,0.255,0.304,0.89,86,10
SAT0000338,FIELD0158,2025-08-11,0.444,0.739,3.73,6,10
SAT0000339,FIELD0047,2025-07-26,0.091,0.555,0.44,57,20
SAT0000340,FIELD0144,2025-06-11,0.677,0.296,0.14,4,10
SAT0000341,FIELD0062,2026-01-19,0.565,0.13,2.2,9,30
SAT0000342,FIELD0048,2025-05-26,0.074,0.509,2.07,66,20
SAT0000343,FIELD0143,2025-03-15,0.789,0.205,3.4,56,10
SAT0000344,FIELD0050,2025-06-11,0.194,0.137,2.57,63,30
SAT0000345,FIELD0196,2025-07-12,0.386,0.786,0.19,15,20
SAT0000346,FIELD0165,2025-04-12,0.047,0.711,3.12,88,10
SAT0000347,FIELD0163,2025-12-25,0.348,-0.067,4.58,50,10
SAT0000348,FIELD0148,2025-08-06,0.554,0.33,2.85,4,10
SAT0000349,FIELD0173,2026-01-15,0.731,0.33,3.07,59,10
SAT0000350,FIELD0162,2025-05-25,0.469,0.078,4.67,11,30
SAT0000351,FIELD0172,2026-02-07,0.803,0.144,5.17,5,20
SAT0000352,FIELD0030,2025-05-22,-0.1,0.583,1.2,43,30
SAT0000353,FIELD0184,2025-06-12,0.524,0.257,5.8,55,30
SAT0000354,FIELD0124,2026-02-12,0.451,0.143,0.45,1,30
SAT0000355,FIELD0113,2025-09-30,0.206,-0.063,2.81,4,30
SAT0000356,FIELD0178,2025-06-06,0.045,0.418,3.28,99,30
SAT0000357,FIELD0038,2026-01-03,0.033,0.43,4.07,53,10
SAT0000358,FIELD0081,2025-07-03,0.823,0.492,3.79,27,30
SAT0000359,FIELD0154,2025-11-08,-0.09,-0.038,3.25,31,20
SAT0000360,FIELD0073,2026-02-12,0.651,0.59,3.37,15,20
SAT0000361,FIELD0058,2025-12-14,-0.088,0.221,5.11,4,10
SAT0000362,FIELD0039,2025-03-02,0.465,0.277,2.85,80,10
SAT0000363,FIELD0046,2025-11-30,-0.096,0.251,5.83,14,20
SAT0000364,FIELD0127,2025-10-03,0.564,0.294,5.97,62,20
SAT0000365,FIELD0183,2025-10-13,0.457,0.39,1.58,23,20
SAT0000366,FIELD0032,2025-05-25,0.263,0.532,5.98,37,20
SAT0000367,FIELD0043,2026-02-10,0.436,-0.059,3.33,29,30
SAT0000368,FIELD0038,2025-06-13,0.636,0.278,5.64,38,10
SAT0000369,FIELD0109,2026-01-29,0.572,0.447,0.09,69,10
SAT0000370,FIELD0192,2025-11-12,0.16,0.432,4.42,96,20
SAT0000371,FIELD0128,2025-12-05,0.368,0.198,0.78,37,30
SAT0000372,FIELD0077,2026-01-02,0.305,-0.029,0.02,84,10
SAT0000373,FIELD0129,2025-12-10,0.896,0.316,1.76,29,20
SAT0000374,FIELD0009,2025-03-20,0.417,0.449,3.37,21,10
