record_id,field_id,date,temp_max_c,temp_min_c,precipitation_mm,humidity_percent,wind_speed_kmh,solar_radiation_wm2
WH0000085,FIELD0007,2026-01-15,12.5,4.1,36.8,61,4.6,424
WH0000086,FIELD0037,2025-06-25,31,5.3,31.6,34,17.5,117
WH0000087,FIELD0078,2025-02-21,12.6,-4.1,25.6,39,12.2,345
WH0000088,FIELD0065,2025-03-10,33.4,27.2,30.3,84,37.7,421
WH0000089,FIELD0096,2025-09-05,18,-0.8,19.2,78,37,293
WH0000090,FIELD0065,2025-07-23,14.7,0.2,12.3,80,1,618
WH0000091,FIELD0067,2025-05-25,38.4,10.5,0.8,82,7.4,774
WH0000092,FIELD0198,2025-02-09,15.8,1.5,24.2,82,28.4,525
WH0000093,FIELD0084,2025-03-29,27.9,20.3,9.7,47,26.1,89
WH0000094,FIELD0032,2025-03-24,14.8,3.6,9.1,50,30.7,519
WH0000095,FIELD0107,2025-04-01,36.5,1.7,29.4,66,32.7,643
WH0000096,FIELD0088,2025-04-11,19,13.4,15.3,35,21.4,770
WH0000097,FIELD0137,2025-09-18,30.9,3.3,41.7,49,21.5,238
WH0000098,FIELD0186,2025-10-25,16,5.4,40.9,51,22.5,278
WH0000099,FIELD0185,2025-03-23,38.8,6.9,13.6,92,12.8,131
WH0000100,FIELD0158,2025-04-27,31.4,10.6,32.7,69,34.8,371
WH0000101,FIELD0167,2025-07-13,31.1,10,30.8,81,27.3,406
WH0000102,FIELD0075,2025-12-23,33.7,4.2,22.4,57,31.6,405
WH0000103,FIELD0063,2025-03-26,20.2,11,4.4,90,29.1,541
WH0000104,FIELD0078,2025-04-02,38.8,33.7,24.3,44,34.1,149
WH0000105,FIELD0164,2025-12-21,30.3,21.9,25,86,13,88
WH0000106,FIELD0199,2025-03-12,20.8,10.4,16.7,80,31.8,321
WH0000107,FIELD0013,2025-08-25,38.1,19.4,45.1,72,37.6,354
WH0000108,FIELD0009,2025-06-21,24.7,9.9,11,72,37.3,422
WH0000109,FIELD0050,2025-09-11,29.2,-4.7,13.8,61,30.2,111
WH0000110,FIELD0124,2025-03-03,17.7,-0.7,43.7,37,5.9,307
WH0000111,FIELD0142,2025-10-20,39.7,11.8,19,92,0.3,104
WH0000112,FIELD0192,2025-12-04,24.8,17,37.1,71,31.5,60
WH0000113,FIELD0122,2025-02-24,36,13.4,15.3,73,34.4,486
WH0000114,FIELD0020,2025-11-04,26.4,-2.6,10.1,52,3.9,286
WH0000115,FIELD0107,2025-04-23,32.5,10.6,46.2,32,26.5,793
WH0000116,FIELD0046,2025-11-28,32.6,20.3,11.3,48,14.2,189
WH0000117,FIELD0004,2025-04-01,17.2,-0.9,15.4,62,12.2,331
WH0000118,FIELD0005,2025-04-17,14.7,-5,45.8,89,28.9,666
WH0000119,FIELD0119,2025-11-27,34.6,11.4,28.9,37,18,388
WH0000120,FIELD0079,2025-04-09,16.8,-2.5,49.8,33,17.2,658
WH0000121,FIELD0191,2025-01-14,20.7,7.4,30.3,60,17,706
WH0000122,FIELD0036,2025-12-09,35.8,8.7,33.7,59,26,409
WH0000123,FIELD0139,2025-10-01,34.3,28.3,30.4,34,17.5,309
WH0000124,FIELD0182,2025-08-27,38,-3.8,39.6,35,32.5,514
WH0000125,FIELD0145,2025-11-07,14.5,8,34.2,72,11.3,695
WH0000126,FIELD0187,2025-07-21,28.9,16.4,21.5,40,22.1,344
WH0000127,FIELD0196,2025-04-19,26.9,3.7,14.4,62,1,534
WH0000128,FIELD0153,2025-08-30,15.6,-0.6,36.5,52,27,549
WH0000129,FIELD0040,2025-06-23,11.5,1.6,35.8,60,26.4,542
WH0000130,FIELD0176,2025-01-11,35.5,4,6.3,88,24.3,460
WH0000131,FIELD0002,2025-06-17,26.8,0.4,36.5,82,28.5,468
WH0000132,FIELD0107,2025-01-30,24.3,-2.1,23.5,78,29.8,435
WH0000133,FIELD0045,2025-08-07,20,8.8,36.9,62,11,487
WH0000134,FIELD0123,2025-12-31,13.5,7.7,42.9,70,15.4,389
WH0000135,FIELD0067,2025-01-13,23.2,11.9,34.7,55,18.7,105
WH0000136,FIELD0017,2026-01-29,20,-4.1,44.4,56,7.4,599
WH0000137,FIELD0111,2025-03-04,11.8,0.5,4.7,91,12.1,792
WH0000138,FIELD0127,2025-03-30,16.1,4.4,45.4,76,24.7,305
WH0000139,FIELD0051,2025-08-14,35.2,12.5,22.7,53,17.9,199
WH0000140,FIELD0083,2025-04-01,32.5,4.9,7.8,94,24.5,443
WH0000141,FIELD0009,2025-12-30,32.1,16.1,46.7,79,14.9,552
WH0000142,FIELD0075,2026-01-23,38.8,5.2,24.5,84,3.3,118
WH0000143,FIELD0127,2025-05-05,31.7,13.9,16.7,69,20.5,783
WH0000144,FIELD0103,2025-06-06,37.4,23.2,42.1,71,31.9,739
WH0000145,FIELD0117,2025-06-26,37.8,26.3,28.7,36,35.8,778
WH0000146,FIELD0094,2025-07-05,37.5,-4.9,37.4,81,35.5,187
WH0000147,FIELD0068,2025-07-30,23.2,0.5,33.6,86,25.7,215
WH0000148,FIELD0141,2025-11-26,12.6,-3.7,4.3,85,19.1,351
WH0000149,FIELD0107,2025-12-19,38.2,22,20.4,86,27.3,590
WH0000150,FIELD0108,2025-08-01,34.6,17.2,12.3,40,15,577
WH0000151,FIELD0008,2025-12-05,28.4,18.1,41.1,43,15.1,194
WH0000152,FIELD0125,2025-12-19,32.1,6.3,8.1,43,5.2,101
WH0000153,FIELD0177,2025-11-07,30.6,8.6,2.8,85,38.9,500
WH0000154,FIELD0160,2025-07-14,40,21.1,47.7,94,24.1,780
WH0000155,FIELD0070,2026-01-27,33.9,21.2,20.9,31,11.1,528
WH0000156,FIELD0128,2025-08-03,39.9,-1,4.2,49,36.3,755
WH0000157,FIELD0084,2025-01-26,39.4,5.9,18.8,80,28.9,520
WH0000158,FIELD0043,2025-09-15,39.3,19.7,20,76,36.6,315
WH0000159,FIELD0028,2025-03-22,17.5,-3.6,1.6,92,31.2,201
WH0000160,FIELD0192,2025-07-17,18.9,13.3,45.9,35,32.8,116
WH0000161,FIELD0050,2026-01-27,18.5,8,28.4,89,20.2,247
WH0000162,FIELD0142,2025-04-11,16.6,-4.8,7.4,88,13.2,625
WH0000163,FIELD0161,2025-04-18,31.5,20.9,26.1,59,31.3,557
WH0000164,FIELD0061,2025-05-03,29.3,0.1,7.3,87,17.8,287
WH0000165,FIELD0178,2025-07-30,28.3,3.9,37,68,31.6,209
WH0000166,FIELD0068,2025-08-21,27.2,2.1,17.3,55,17.2,749
WH0000167,FIELD0116,2025-08-17,14,-0.7,45.2,81,31.5,717
WH0000168,FIELD0009,2025-10-22,29.5,20.1,38.8,93,21.4,794
WH0000169,FIELD0138,2025-05-22,29.7,20.8,16.8,92,17.3,740
WH0000170,FIELD0027,2025-02-06,25,-0.8,6.2,62,21.4,663
WH0000171,FIELD0179,2025-02-04,25.8,6,31.7,65,21.5,697
WH0000172,FIELD0175,2025-07-24,11.9,-3.5,42.5,35,5.1,756
WH0000173,FIELD0166,2025-12-19,15,0.6,33.5,39,9.9,512
WH0000174,FIELD0163,2025-12-01,36.4,31.4,33.4,31,31.8,101
WH0000175,FIELD0105,2025-02-09,22,4.6,4.1,77,21.1,137
WH0000176,FIELD0123,2025-08-15,32.2,15.4,37,78,12.5,680
WH0000177,FIELD0148,2025-12-05,31.1,-2.5,3.3,92,20.1,686
WH0000178,FIELD0164,2025-05-19,31,24.6,9.9,41,37.3,761
WH0000179,FIELD0095,2025-01-03,14.1,3.7,5.3,36,4.1,568
WH0000180,FIELD0075,2025-10-04,36.6,0,6.7,77,25.9,556
WH0000181,FIELD0037,2025-09-06,23.4,-0.5,10.5,42,39.4,692
WH0000182,FIELD0074,2025-02-15,30.1,19.5,31.7,81,36.7,511
WH0000183,FIELD0177,2025-04-08,31.4,19.7,39.9,75,11.8,93
WH0000184,FIELD0152,2025-06-04,38.9,27.7,49.2,78,8,297
WH0000185,FIELD0019,2026-01-16,37,30,49.4,71,16.3,614
WH0000186,FIELD0078,2025-06-26,39.5,6.2,31.4,42,32,692
WH0000187,FIELD0116,2025-12-29,33.8,-1.2,32,56,7,719
WH0000188,FIELD0081,2025-02-06,18.7,-0.4,28.3,32,1.3,770
WH0000189,FIELD0194,2025-12-08,15,3.2,49.8,94,13.9,421
WH0000190,FIELD0169,2025-07-31,16.7,9.6,32.8,38,16.3,464
WH0000191,FIELD0162,2025-02-26,10.5,0.5,27.4,60,31.6,724
WH0000192,FIELD0026,2025-12-06,29.1,23.8,16.7,78,39,738
WH0000193,FIELD0151,2025-01-03,29.3,21.2,25.2,45,23.4,251
WH0000194,FIELD0170,2025-03-28,36.3,7.8,1.6,70,4.9,648
WH0000195,FIELD0133,2025-12-08,29.9,2.6,15.4,74,27.4,327
WH0000196,FIELD0164,2025-12-30,29.1,14.6,20.7,82,9,672
WH0000197,FIELD0126,2025-01-30,20.3,-2.7,31,91,11.1,172
WH0000198,FIELD0175,2025-08-01,24.3,16,44.6,46,23.2,686
WH0000199,FIELD0134,2025-09-20,20.8,7.5,12.9,94,8.5,680
WH0000200,FIELD0122,2025-02-06,28.7,13.9,45.4,87,17.7,759
WH0000201,FIELD0108,2026-02-02,12.8,5.6,16.3,69,13.4,789
WH0000202,FIELD0105,2025-06-15,39.1,20.3,44.9,58,18.5,341
WH0000203,FIELD0082,2025-05-15,30,15.9,3,33,23,109
WH0000204,FIELD0079,2025-01-11,20,11.8,15.7,92,10.4,712
WH0000205,FIELD0137,2025-02-16,33.6,1.7,38.2,74,4.7,320
WH0000206,FIELD0186,2025-11-18,24.9,19.5,1.2,62,34.9,551
WH0000207,FIELD0078,2025-04-16,17.9,-1.8,45.4,59,4.5,85
WH0000208,FIELD0126,2025-09-04,25.6,4.1,33.6,35,25.3,683
WH0000209,FIELD0101,2025-12-02,20.9,2.3,47.5,52,13.4,383
WH0000210,FIELD0082,2025-07-04,37.9,21.7,19.1,81,37.8,799
WH0000211,FIELD0164,2025-05-26,26,2.9,38.8,72,20.2,226
WH0000212,FIELD0189,2025-04-20,39.9,21.2,30.1,44,27.1,735
WH0000213,FIELD0182,2025-09-04,17.2,-3.5,45.4,73,26.4,125
WH0000214,FIELD0200,2025-02-02,23.4,-1.6,5.5,61,26.1,732
WH0000215,FIELD0140,2025-12-06,38.3,28.3,39.6,58,3.1,792
WH0000216,FIELD0008,2025-03-09,18.1,-3,13.7,87,9.6,216
WH0000217,FIELD0153,2025-03-12,13.9,-1,37.9,83,21,67
WH0000218,FIELD0099,2025-08-29,11.7,-1,26.5,48,29.9,753
WH0000219,FIELD0095,2025-03-21,26.5,19.7,9.7,35,17.1,129
WH0000220,FIELD0164,2025-11-09,30.8,8.5,17.6,68,38.2,767
WH0000221,FIELD0128,2025-12-29,14.1,5.9,8.4,42,2.3,185
WH0000222,FIELD0099,2025-11-09,37.4,-4,36.1,40,3.7,585
WH0000223,FIELD0086,2025-08-20,11.9,-1.1,17,33,26.7,670
WH0000224,FIELD0104,2025-07-02,18.1,5,24.3,94,10.5,522
WH0000225,FIELD0066,2025-01-20,29,5.7,22.2,81,3.3,588
WH0000226,FIELD0115,2025-06-05,32.2,-4.3,26.5,31,19.9,451
WH0000227,FIELD0043,2025-10-12,11.3,3.3,15.3,36,35.7,688
WH0000228,FIELD0156,2025-11-22,22.9,-0.3,19,47,33.9,183
WH0000229,FIELD0055,2025-08-18,29.9,16,9.7,33,33.9,335
WH0000230,FIELD0185,2025-06-12,17.9,1.6,24.9,63,3.2,689
WH0000231,FIELD0040,2025-08-28,31.2,21.6,24.5,33,33.1,149
WH0000232,FIELD0188,2025-02-04,15.6,4.3,40.8,77,32.2,387
WH0000233,FIELD0180,2025-04-01,34.5,-3.4,28.7,65,21.6,336
WH0000234,FIELD0154,2026-01-10,37.2,3,26.5,51,9.6,214
WH0000235,FIELD0031,2025-05-22,13.6,4.1,38.4,44,36.8,186
WH0000236,FIELD0141,2025-11-17,10.9,1.1,7.6,35,29.9,658
WH0000237,FIELD0200,2025-05-14,18.9,6.6,43.7,67,9.6,589
WH0000238,FIELD0039,2025-03-04,24.8,16.5,45.1,32,26.2,403
WH0000239,FIELD0143,2025-02-25,37.4,9,14.8,31,27.8,326
WH0000240,FIELD0031,2025-09-28,22.8,6.5,35.7,31,25.5,770
WH0000241,FIELD0097,2025-04-27,15.3,9.1,6,51,28.9,747
WH0000242,FIELD0196,2026-01-15,15.1,7.4,43.6,46,15.8,389
WH0000243,FIELD0048,2025-09-13,19.3,1.5,13.6,84,23.1,749
WH0000244,FIELD0146,2025-02-24,32.5,-1.4,6.4,54,33.1,592
WH0000245,FIELD0128,2025-10-01,22.8,5.4,50,58,9.7,581
WH0000246,FIELD0020,2025-06-06,19.9,2.4,38,89,23.3,532
WH0000247,FIELD0029,2025-11-17,39.2,26.7,27.5,58,4.8,159
WH0000248,FIELD0172,2025-11-30,35.9,17.3,44.6,61,20.9,172
WH0000249,FIELD0087,2025-12-14,37.4,27.8,27.5,47,3.1,359
WH0000250,FIELD0084,2025-01-16,30.7,23.9,47.2,31,5.6,167
WH0000251,FIELD0012,2025-05-07,17.8,-2.7,27.5,43,21.8,311
WH0000252,FIELD0056,2026-01-01,30.4,16.9,23.6,81,33.9,647
WH0000253,FIELD0094,2025-12-29,35,22.8,6.2,86,35.3,72
WH0000254,FIELD0116,2025-11-20,34.4,20.9,12.3,48,24.4,138
WH0000255,FIELD0061,2025-05-07,38.1,8.9,41.5,71,21.7,378
WH0000256,FIELD0011,2025-07-03,26.8,20.8,49.1,71,20.9,161
WH0000257,FIELD0138,2025-09-05,13,-4.1,19.2,40,38.7,369
WH0000258,FIELD0068,2026-01-28,27.5,-3.5,37,51,34.4,147
WH0000259,FIELD0143,2025-08-28,29.3,-4.6,39.9,90,6.3,139
WH0000260,FIELD0087,2025-03-24,23.1,-0.2,15.8,65,35.6,340
WH0000261,FIELD0083,2025-07-15,14.4,6.2,12.1,74,12.2,538
WH0000262,FIELD0150,2025-03-07,11.5,1.8,16.1,50,21.7,455
WH0000263,FIELD0047,2025-02-08,24.6,10.2,20.5,40,0.4,747
WH0000264,FIELD0183,2025-08-04,14,-1.3,32.5,88,4.5,156
WH0000265,FIELD0112,2025-02-07,17.8,6.1,3.5,54,28.5,512
WH0000266,FIELD0093,2025-12-25,17.1,8.1,1.2,74,18,378
WH0000267,FIELD0146,2025-10-20,17.7,-2.3,39.5,56,14.5,536
WH0000268,FIELD0077,2025-02-27,26.2,13.7,41.1,95,35.3,72
WH0000269,FIELD0111,2025-08-13,27.5,-4.2,4.1,31,11.1,372
WH0000270,FIELD0023,2025-12-06,23,11.1,32.5,74,7.4,637
WH0000271,FIELD0145,2025-07-10,31.7,4.2,2,73,30.6,743
WH0000272,FIELD0062,2025-08-18,11.3,-3.2,43.3,67,16,644
WH0000273,FIELD0058,2025-07-22,11.5,3.2,47.7,63,11.5,625
WH0000274,FIELD0009,2026-02-05,19.5,4.4,16.1,94,13,735
WH0000275,FIELD0157,2025-03-24,19.1,5.5,41.3,38,33.7,190
WH0000276,FIELD0005,2025-10-13,16.1,-0.9,45.6,30,9.4,790
WH0000277,FIELD0105,2025-12-18,19.6,10.7,41.2,84,19.7,157
WH0000278,FIELD0196,2025-12-19,29.6,12.3,32.8,70,11.7,234
WH0000279,FIELD0095,2025-09-11,19.3,8.4,22.3,47,34.8,624
WH0000280,FIELD0002,2025-10-05,33.4,18.2,44.4,61,17.7,696
WH0000281,FIELD0156,2025-12-25,17.1,3.7,0.3,85,0.3,146
WH0000282,FIELD0137,2025-05-19,35.8,15.1,42.7,48,9.6,358
WH0000283,FIELD0189,2025-05-09,31.5,9.2,3.4,37,35.5,481
WH0000284,FIELD0155,2025-02-12,28.6,16.1,3.5,49,12.5,464
WH0000285,FIELD0002,2025-04-27,14,5.3,0.5,46,30.4,346
WH0000286,FIELD0148,2025-07-27,13.6,0.3,31.8,86,25.6,301
WH0000287,FIELD0079,2025-12-14,15.5,-2.7,10.7,41,27.8,273
WH0000288,FIELD0200,2025-09-08,20.1,2.3,39.3,66,6.6,459
WH0000289,FIELD0197,2026-01-19,30.4,5.2,11.6,57,19.1,766
WH0000290,FIELD0180,2025-02-11,20.7,9.3,22.9,71,12.7,694
WH0000291,FIELD0052,2025-03-12,14.6,0.1,49.6,52,12,295
WH0000292,FIELD0047,2025-08-08,26.2,9.1,48.5,64,4.2,492
WH0000293,FIELD0157,2025-07-25,20,9.6,6.6,73,8.4,731
WH0000294,FIELD0199,2025-05-31,22.8,13.9,23.3,95,32,246
WH0000295,FIELD0137,2025-05-08,37.8,24.8,34,87,23.8,134
WH0000296,FIELD0032,2025-01-29,11.2,-1.6,6,52,8.9,711
WH0000297,FIELD0190,2025-04-13,18.1,6.7,2.4,62,38.9,668
WH0000298,FIELD0135,2025-11-05,30.3,3.4,30.8,77,34.1,580
WH0000299,FIELD0101,2025-08-14,12.9,-2.2,48.8,33,24.5,86
WH0000300,FIELD0116,2026-01-18,32.9,12.5,16.7,31,7.7,772
WH0000301,FIELD0128,2025-03-02,11.5,0.8,11.8,92,7.6,314
WH0000302,FIELD0142,2025-12-07,33.7,24.2,39.3,53,23.9,374
WH0000303,FIELD0019,2025-10-24,34.7,17.5,35.7,90,7.7,320
WH0000304,FIELD0010,2025-06-17,12.2,-1.2,38.1,44,10.6,319
WH0000305,FIELD0002,2025-08-31,33,20,44.1,71,35.8,533
WH0000306,FIELD0027,2025-07-20,19.2,-3.5,15.1,90,40,93
WH0000307,FIELD0012,2026-01-10,23.4,-4,19.3,82,34.1,785
WH0000308,FIELD0113,2026-01-23,37.2,7.9,3.5,87,1.5,784
WH0000309,FIELD0118,2025-06-26,35.9,14.1,16.6,75,6.6,732
WH0000310,FIELD0148,2025-10-31,20.7,8.5,21.7,69,25.5,644
WH0000311,FIELD0006,2025-07-28,25.6,4.8,31.1,30,13,549
WH0000312,FIELD0016,2025-02-13,23.1,2.1,5.7,43,24.9,224
WH0000313,FIELD0196,2025-10-01,18.1,4.1,6.7,84,38.6,304
WH0000314,FIELD0035,2025-09-21,15,-0.9,32.1,77,31.7,164
WH0000315,FIELD0122,2025-06-17,27.7,3.2,31.4,78,0.2,211
WH0000316,FIELD0118,2025-09-04,17,-4,39.9,32,35.6,667
WH0000317,FIELD0109,2025-04-25,14.1,-4,10.8,47,11.4,526
WH0000318,FIELD0162,2025-01-02,34,9.6,17.8,55,13,69
WH0000319,FIELD0132,2026-02-09,29.2,16.9,25.1,42,14.7,748
WH0000320,FIELD0148,2025-04-14,19,11.2,40,86,3.6,80
WH0000321,FIELD0029,2025-05-18,28.3,21.6,6.6,40,2.9,204
WH0000322,FIELD0199,2025-09-28,34.5,19,35.2,90,12.2,619
WH0000323,FIELD0064,2025-01-29,31.7,2.5,43.4,88,21.1,550
WH0000324,FIELD0054,2025-09-13,24.7,2.1,27.8,81,6.2,712
WH0000325,FIELD0131,2026-02-13,39.1,23.4,47.9,42,12.8,592
WH0000326,FIELD0178,2025-08-05,10.3,1.9,22,47,23,219
WH0000327,FIELD0122,2025-03-28,16.5,2.9,38.4,95,10.2,287
WH0000328,FIELD0054,2026-01-26,30.8,-4.5,11.1,57,5.8,482
WH0000329,FIELD0192,2025-08-16,33.2,17.2,17.2,34,23.5,116
WH0000330,FIELD0018,2025-07-07,27.7,-4.6,38.4,34,9.7,458
WH0000331,FIELD0033,2026-01-15,14.6,4.6,29.5,88,10,71
WH0000332,FIELD0071,2025-06-08,16.1,9.6,32.2,61,5.2,186
WH0000333,FIELD0003,2025-10-22,13.8,0.8,42.1,30,9.1,687
WH0000334,FIELD0179,2025-05-06,32.1,-1.2,27,45,30.4,629
WH0000335,FIELD0182,2025-06-26,10.3,3.7,42.1,81,1.6,194
WH0000336,FIELD0145,2025-04-19,21.5,8.9,3.9,83,27.3,117
WH0000337,FIELD0195,2025-06-03,25.5,1.6,44.4,68,26,756
WH0000338,FIELD0044,2026-01-07,24.9,7,0.9,82,36.3,424
WH0000339,FIELD0083,2025-01-27,14,-3.5,4.8,58,14.2,148
WH0000340,FIELD0159,2026-02-07,27.1,-4.4,48.2,81,12.5,136
WH0000341,FIELD0043,2025-10-02,27.3,16.8,27,95,6.9,250
WH0000342,FIELD0100,2025-10-24,31.1,3.3,35.7,69,13.9,561
WH0000343,FIELD0182,2025-12-06,33.1,24.9,17.2,69,2.6,614
WH0000344,FIELD0039,2025-03-27,14.3,1.2,29.1,48,1.9,522
WH0000345,FIELD0007,2025-10-06,18.5,6.7,38.2,40,38.4,237
WH0000346,FIELD0068,2025-01-20,21.5,15,7.6,32,35.5,254
WH0000347,FIELD0048,2025-01-01,10.7,1.9,35,55,15.2,585
WH0000348,FIELD0015,2025-06-11,25.9,10.8,39,39,14.7,492
WH0000349,FIELD0007,2025-06-01,36.7,11.4,38.1,70,33.4,520
WH0000350,FIELD0053,2025-04-16,26.8,13.9,2.2,31,33.6,219
WH0000351,FIELD0139,2025-06-29,18.4,-3.3,45.5,34,6.2,581
WH0000352,FIELD0130,2025-06-05,32.6,23.3,11.6,84,28.2,661
