inspection_id,batch_id,inspector_id,inspection_time,sample_size,defects_found,defect_type,passed
INS0000065,BATCH001637,QC20,2025-06-04T11:53:36.575Z,26,1,dimensional_error,Y
INS0000066,BATCH000565,QC18,2025-10-08T21:33:14.851Z,33,0,none,Y
INS0000067,BATCH001211,QC9,2025-10-28T23:52:02.255Z,48,0,none,Y
INS0000068,BATCH000910,QC1,2025-06-14T01:50:08.421Z,31,4,surface_scratch,N
INS0000069,BATCH000788,QC10,2025-06-09T03:22:38.953Z,23,2,surface_scratch,Y
INS0000070,BATCH001066,QC10,2025-09-29T07:13:25.806Z,38,5,dimensional_error,N
INS0000071,BATCH001438,QC16,2025-07-26T11:15:38.850Z,12,3,dimensional_error,N
INS0000072,BATCH000500,QC14,2025-06-02T01:38:54.934Z,25,5,material_crack,N
INS0000073,BATCH001283,QC4,2025-11-03T19:25:40.292Z,23,0,none,Y
INS0000074,BATCH001780,QC18,2026-01-22T21:23:26.643Z,32,1,material_crack,Y
INS0000075,BATCH001068,QC7,2025-08-09T05:42:56.169Z,22,2,weld_defect,Y
INS0000076,BATCH001355,QC1,2025-08-14T17:35:20.577Z,47,0,none,Y
INS0000077,BATCH001829,QC17,2026-01-16T16:59:56.136Z,31,5,surface_scratch,N
INS0000078,BATCH000363,QC1,2025-12-15T23:14:30.313Z,12,1,surface_scratch,Y
INS0000079,BATCH000036,QC9,2025-12-22T04:07:05.406Z,34,0,none,Y
INS0000080,BATCH001356,QC17,2026-01-29T08:57:59.541Z,29,5,material_crack,N
INS0000081,BATCH000432,QC11,2025-12-07T10:29:41.380Z,26,0,none,Y
INS0000082,BATCH001710,QC8,2025-10-23T17:51:33.228Z,18,4,material_crack,N
INS0000083,BATCH000572,QC14,2025-10-19T20:52:45.649Z,10,0,none,Y
INS0000084,BATCH000801,QC11,2025-10-18T16:05:52.871Z,36,1,coating_defect,Y
INS0000085,BATCH001739,QC17,2026-02-10T15:01:39.871Z,10,5,dimensional_error,N
INS0000086,BATCH001712,QC14,2026-01-19T21:25:57.336Z,13,2,coating_defect,Y
INS0000087,BATCH001116,QC17,2025-10-15T22:40:17.616Z,26,3,surface_scratch,N
INS0000088,BATCH001397,QC11,2025-10-15T00:56:09.178Z,38,1,coating_defect,Y
INS0000089,BATCH001897,QC16,2026-01-21T08:41:20.746Z,45,5,weld_defect,N
INS0000090,BATCH000226,QC12,2026-01-11T10:06:19.397Z,25,1,dimensional_error,Y
INS0000091,BATCH001750,QC20,2026-02-06T11:41:31.901Z,41,3,dimensional_error,N
INS0000092,BATCH000047,QC7,2026-02-05T16:36:24.890Z,40,4,coating_defect,N
INS0000093,BATCH000454,QC16,2025-12-21T05:15:26.396Z,30,3,coating_defect,N
INS0000094,BATCH001872,QC19,2025-11-15T20:16:28.194Z,47,5,coating_defect,N
INS0000095,BATCH001954,QC12,2025-06-27T13:52:33.336Z,19,2,dimensional_error,Y
INS0000096,BATCH000900,QC20,2025-07-24T08:56:34.964Z,38,4,dimensional_error,N
INS0000097,BATCH001104,QC17,2025-09-28T14:38:26.924Z,18,1,surface_scratch,Y
INS0000098,BATCH000449,QC9,2025-10-12T19:23:40.117Z,49,2,weld_defect,Y
INS0000099,BATCH001477,QC14,2025-12-26T17:54:28.524Z,15,4,surface_scratch,N
INS0000100,BATCH000488,QC12,2025-10-30T22:18:37.252Z,46,1,material_crack,Y
INS0000101,BATCH000217,QC1,2025-06-25T18:54:06.941Z,48,5,material_crack,N
INS0000102,BATCH001451,QC11,2025-06-03T21:24:10.546Z,22,1,material_crack,Y
INS0000103,BATCH000648,QC18,2025-08-15T20:55:11.450Z,30,5,weld_defect,N
INS0000104,BATCH001148,QC16,2025-12-01T00:57:58.643Z,34,5,weld_defect,N
INS0000105,BATCH001001,QC18,2025-12-01T00:56:34.094Z,40,4,surface_scratch,N
INS0000106,BATCH001421,QC19,2025-06-28T21:15:28.659Z,19,2,surface_scratch,Y
INS0000107,BATCH001148,QC18,2026-01-06T13:29:08.984Z,33,3,dimensional_error,N
INS0000108,BATCH001756,QC15,2025-06-07T09:05:47.894Z,24,4,coating_defect,N
INS0000109,BATCH001250,QC16,2025-12-06T08:34:24.858Z,17,3,dimensional_error,N
INS0000110,BATCH001569,QC2,2025-08-29T17:14:19.547Z,13,5,dimensional_error,N
INS0000111,BATCH000386,QC1,2025-08-05T01:31:12.681Z,27,4,surface_scratch,N
INS0000112,BATCH000753,QC11,2025-10-28T08:36:45.215Z,31,2,surface_scratch,Y
INS0000113,BATCH000172,QC19,2026-01-02T09:03:57.594Z,18,0,none,Y
INS0000114,BATCH001005,QC9,2025-08-07T12:43:44.380Z,32,3,weld_defect,N
INS0000115,BATCH001924,QC15,2025-10-03T01:47:39.340Z,35,4,weld_defect,N
INS0000116,BATCH000991,QC17,2025-07-12T20:45:40.529Z,28,3,surface_scratch,N
INS0000117,BATCH000478,QC15,2026-01-04T17:05:00.141Z,40,0,none,Y
INS0000118,BATCH001853,QC9,2025-07-15T07:06:54.807Z,16,1,coating_defect,Y
INS0000119,BATCH000649,QC10,2026-01-29T07:37:36.962Z,39,3,material_crack,N
INS0000120,BATCH000752,QC13,2026-02-14T02:09:48.589Z,28,5,weld_defect,N
INS0000121,BATCH001156,QC16,2025-11-24T03:43:05.887Z,18,0,none,Y
INS0000122,BATCH000397,QC8,2025-10-13T09:18:32.801Z,39,4,weld_defect,N
INS0000123,BATCH000287,QC7,2026-02-07T23:28:55.234Z,17,4,weld_defect,N
INS0000124,BATCH000280,QC2,2025-08-05T09:11:02.796Z,29,2,material_crack,Y
INS0000125,BATCH001674,QC1,2025-08-06T16:26:38.200Z,36,1,coating_defect,Y
INS0000126,BATCH001137,QC4,2026-02-12T07:57:17.752Z,31,5,dimensional_error,N
INS0000127,BATCH000734,QC11,2025-06-15T16:16:51.366Z,42,1,surface_scratch,Y
INS0000128,BATCH000475,QC4,2025-10-23T20:01:43.025Z,50,3,surface_scratch,N
INS0000129,BATCH000851,QC9,2025-12-02T05:51:43.013Z,45,4,weld_defect,N
INS0000130,BATCH000438,QC6,2025-09-15T16:27:48.701Z,50,0,none,Y
INS0000131,BATCH000256,QC19,2025-12-12T20:33:57.696Z,36,2,weld_defect,Y
INS0000132,BATCH001584,QC20,2025-06-10T21:26:45.113Z,49,3,surface_scratch,N
INS0000133,BATCH000659,QC19,2026-01-20T14:02:33.574Z,41,0,none,Y
INS0000134,BATCH001524,QC11,2025-07-15T11:09:23.819Z,23,4,surface_scratch,N
INS0000135,BATCH000750,QC2,2026-01-18T08:41:38.368Z,46,1,dimensional_error,Y
INS0000136,BATCH001637,QC9,2025-08-22T18:17:45.867Z,21,3,material_crack,N
INS0000137,BATCH000498,QC17,2026-01-22T00:03:31.042Z,46,1,weld_defect,Y
INS0000138,BATCH000451,QC1,2025-10-11T20:35:06.716Z,42,2,material_crack,Y
INS0000139,BATCH000917,QC16,2025-10-11T18:20:01.632Z,11,0,none,Y
INS0000140,BATCH000005,QC20,2025-07-29T18:33:01.815Z,14,1,material_crack,Y
INS0000141,BATCH001965,QC5,2025-12-11T02:25:16.683Z,39,0,none,Y
INS0000142,BATCH001730,QC7,2025-06-30T07:06:29.407Z,32,2,dimensional_error,Y
INS0000143,BATCH001540,QC4,2025-06-20T20:54:05.985Z,16,1,material_crack,Y
INS0000144,BATCH001119,QC3,2025-09-05T04:08:30.163Z,29,0,none,Y
INS0000145,BATCH000869,QC3,2025-11-26T19:20:09.519Z,44,1,material_crack,Y
INS0000146,BATCH000119,QC19,2025-07-25T12:42:12.752Z,18,5,surface_scratch,N
INS0000147,BATCH000607,QC3,2025-07-19T10:16:43.435Z,23,0,none,Y
INS0000148,BATCH001563,QC12,2025-08-26T06:01:12.570Z,47,5,dimensional_error,N
INS0000149,BATCH000907,QC2,2025-10-25T20:13:50.049Z,44,4,surface_scratch,N
INS0000150,BATCH001552,QC12,2025-07-11T04:15:33.400Z,42,4,material_crack,N
INS0000151,BATCH000027,QC10,2025-07-22T12:01:29.236Z,23,4,coating_defect,N
INS0000152,BATCH001852,QC15,2025-09-14T07:09:41.091Z,10,4,coating_defect,N
INS0000153,BATCH001775,QC1,2025-07-17T12:50:50.791Z,42,2,material_crack,Y
INS0000154,BATCH001369,QC12,2025-12-16T07:22:51.681Z,27,3,weld_defect,N
INS0000155,BATCH001730,QC16,2025-12-18T13:34:53.729Z,11,1,surface_scratch,Y
INS0000156,BATCH001185,QC18,2025-08-10T20:18:49.847Z,28,1,surface_scratch,Y
INS0000157,BATCH000439,QC8,2025-12-19T13:56:29.239Z,29,1,dimensional_error,Y
INS0000158,BATCH000500,QC5,2025-10-07T15:24:18.878Z,14,2,coating_defect,Y
INS0000159,BATCH000641,QC5,2025-09-20T17:00:59.504Z,33,5,coating_defect,N
INS0000160,BATCH001987,QC13,2025-07-20T21:59:51.380Z,14,2,coating_defect,Y
INS0000161,BATCH001657,QC6,2025-10-16T18:58:22.969Z,49,1,weld_defect,Y
INS0000162,BATCH000628,QC8,2026-02-04T10:18:56.513Z,21,2,coating_defect,Y
INS0000163,BATCH001232,QC11,2025-06-27T06:46:40.024Z,45,4,surface_scratch,N
INS0000164,BATCH001050,QC17,2026-02-10T21:13:00.117Z,17,3,coating_defect,N
INS0000165,BATCH001481,QC20,2025-10-13T05:15:11.772Z,44,2,material_crack,Y
INS0000166,BATCH000159,QC15,2026-01-24T05:48:45.957Z,43,3,surface_scratch,N
INS0000167,BATCH000357,QC20,2025-07-23T23:34:17.093Z,41,2,coating_defect,Y
INS0000168,BATCH000022,QC19,2026-01-03T09:20:47.475Z,30,0,none,Y
INS0000169,BATCH001206,QC6,2025-09-22T16:39:57.284Z,14,2,material_crack,Y
INS0000170,BATCH000261,QC11,2025-12-03T20:40:32.442Z,28,0,none,Y
INS0000171,BATCH000427,QC2,2025-08-16T11:55:50.005Z,20,1,surface_scratch,Y
INS0000172,BATCH001067,QC14,2026-01-28T11:55:51.672Z,44,5,coating_defect,N
INS0000173,BATCH001860,QC20,2025-11-06T06:21:21.382Z,21,1,coating_defect,Y
INS0000174,BATCH001847,QC6,2025-08-13T01:55:05.222Z,17,0,none,Y
INS0000175,BATCH001263,QC14,2025-08-23T01:32:18.910Z,11,4,coating_defect,N
INS0000176,BATCH001688,QC5,2025-07-03T03:50:46.779Z,44,1,material_crack,Y
INS0000177,BATCH001664,QC5,2025-10-30T15:50:52.915Z,14,0,none,Y
INS0000178,BATCH000577,QC9,2025-11-27T17:19:05.062Z,25,1,coating_defect,Y
INS0000179,BATCH000516,QC4,2025-09-05T20:17:07.339Z,17,2,material_crack,Y
INS0000180,BATCH001248,QC10,2025-12-17T18:14:39.530Z,24,3,material_crack,N
INS0000181,BATCH001627,QC19,2026-01-15T00:03:13.047Z,25,4,surface_scratch,N
INS0000182,BATCH000367,QC18,2025-06-29T20:24:01.334Z,50,4,surface_scratch,N
INS0000183,BATCH000217,QC9,2025-10-01T17:14:05.794Z,15,5,dimensional_error,N
INS0000184,BATCH000318,QC6,2025-09-06T18:44:54.937Z,50,2,material_crack,Y
INS0000185,BATCH000763,QC10,2025-11-06T08:29:08.909Z,39,4,surface_scratch,N
INS0000186,BATCH000020,QC5,2025-08-18T16:49:27.623Z,43,0,none,Y
INS0000187,BATCH001070,QC3,2025-07-25T23:04:31.532Z,29,4,surface_scratch,N
INS0000188,BATCH001285,QC7,2025-09-20T00:09:31.862Z,13,4,material_crack,N
INS0000189,BATCH001961,QC13,2025-09-18T20:07:28.226Z,46,0,none,Y
INS0000190,BATCH000613,QC17,2025-07-08T23:30:29.032Z,39,2,surface_scratch,Y
INS0000191,BATCH000979,QC16,2025-07-29T20:41:50.495Z,15,3,weld_defect,N
INS0000192,BATCH001529,QC7,2025-06-30T11:27:42.769Z,49,3,weld_defect,N
INS0000193,BATCH000373,QC9,2026-01-19T02:13:11.788Z,29,4,dimensional_error,N
INS0000194,BATCH001129,QC11,2025-12-20T17:00:21.073Z,26,4,weld_defect,N
INS0000195,BATCH000812,QC5,2025-09-19T21:03:57.669Z,30,4,coating_defect,N
INS0000196,BATCH001334,QC15,2025-10-13T16:18:07.892Z,28,0,none,Y
INS0000197,BATCH001226,QC9,2025-08-24T15:47:00.550Z,46,0,none,Y
INS0000198,BATCH001716,QC1,2025-08-04T18:49:06.620Z,33,3,dimensional_error,N
INS0000199,BATCH001124,QC7,2025-12-03T23:32:21.641Z,36,4,dimensional_error,N
INS0000200,BATCH000778,QC6,2026-01-24T22:24:04.664Z,32,4,surface_scratch,N
INS0000201,BATCH000551,QC8,2025-08-28T06:29:14.014Z,19,5,material_crack,N
INS0000202,BATCH001767,QC2,2026-01-25T10:49:25.220Z,17,2,material_crack,Y
INS0000203,BATCH000727,QC4,2025-11-03T22:23:37.357Z,40,4,surface_scratch,N
INS0000204,BATCH000160,QC16,2025-07-13T03:34:59.356Z,36,2,material_crack,Y
INS0000205,BATCH001545,QC12,2025-10-10T16:39:05.432Z,36,5,coating_defect,N
INS0000206,BATCH000445,QC19,2025-08-22T23:47:59.212Z,39,0,none,Y
INS0000207,BATCH000522,QC13,2026-01-09T16:35:13.608Z,23,2,dimensional_error,Y
INS0000208,BATCH001812,QC5,2026-02-13T23:41:05.965Z,43,0,none,Y
INS0000209,BATCH001323,QC19,2025-11-04T03:11:53.045Z,26,3,weld_defect,N
INS0000210,BATCH001515,QC12,2026-01-01T12:12:12.582Z,21,3,weld_defect,N
INS0000211,BATCH000769,QC6,2025-11-25T02:24:05.112Z,26,2,dimensional_error,Y
INS0000212,BATCH000230,QC15,2026-01-16T13:19:35.756Z,11,5,coating_defect,N
INS0000213,BATCH000225,QC20,2026-01-13T05:57:09.911Z,25,4,material_crack,N
INS0000214,BATCH001372,QC1,2025-11-12T11:39:51.432Z,14,2,surface_scratch,Y
INS0000215,BATCH001615,QC12,2025-09-24T12:57:27.439Z,46,5,coating_defect,N
INS0000216,BATCH001579,QC16,2025-09-11T20:40:15.929Z,37,2,surface_scratch,Y
INS0000217,BATCH000633,QC8,2025-10-17T21:09:25.326Z,19,0,none,Y
INS0000218,BATCH001822,QC16,2025-12-13T15:28:43.446Z,47,1,coating_defect,Y
INS0000219,BATCH001793,QC20,2025-06-03T13:11:00.643Z,46,0,none,Y
INS0000220,BATCH000249,QC3,2025-06-25T01:07:02.979Z,44,3,coating_defect,N
INS0000221,BATCH001399,QC20,2025-11-17T08:24:02.795Z,41,2,dimensional_error,Y
INS0000222,BATCH001979,QC17,2025-06-10T09:57:39.973Z,23,2,dimensional_error,Y
INS0000223,BATCH000032,QC6,2025-10-20T14:42:16.200Z,15,4,dimensional_error,N
INS0000224,BATCH001606,QC10,2025-08-03T18:57:21.731Z,36,0,none,Y
INS0000225,BATCH000406,QC7,2025-07-03T21:56:10.151Z,34,2,coating_defect,Y
INS0000226,BATCH000879,QC10,2025-09-16T04:07:02.724Z,25,1,dimensional_error,Y
INS0000227,BATCH000023,QC19,2025-12-30T05:04:34.906Z,34,3,weld_defect,N
INS0000228,BATCH001850,QC20,2025-07-23T16:19:54.985Z,13,2,weld_defect,Y
INS0000229,BATCH000962,QC17,2025-12-11T16:51:57.419Z,24,1,material_crack,Y
INS0000230,BATCH001878,QC16,2025-11-19T06:57:22.386Z,48,4,weld_defect,N
INS0000231,BATCH001946,QC17,2025-11-11T23:35:25.479Z,45,0,none,Y
INS0000232,BATCH000838,QC7,2025-06-08T06:25:28.015Z,31,4,weld_defect,N
INS0000233,BATCH000081,QC17,2025-09-20T14:09:27.720Z,16,5,coating_defect,N
INS0000234,BATCH001757,QC8,2026-02-07T04:05:28.317Z,50,0,none,Y
INS0000235,BATCH001703,QC8,2025-09-09T20:04:44.898Z,27,2,dimensional_error,Y
INS0000236,BATCH000738,QC12,2025-07-03T12:26:17.035Z,36,5,dimensional_error,N
INS0000237,BATCH001813,QC8,2025-09-21T10:25:12.074Z,37,5,dimensional_error,N
INS0000238,BATCH001578,QC10,2025-08-06T03:51:31.609Z,21,1,surface_scratch,Y
INS0000239,BATCH001070,QC17,2025-06-15T21:41:42.136Z,38,2,weld_defect,Y
INS0000240,BATCH000452,QC4,2026-01-31T19:20:12.716Z,14,4,material_crack,N
INS0000241,BATCH000604,QC8,2025-12-25T13:08:58.175Z,29,2,material_crack,Y
INS0000242,BATCH001367,QC18,2025-09-18T19:58:45.632Z,50,2,surface_scratch,Y
INS0000243,BATCH000043,QC14,2025-10-18T14:37:03.836Z,48,2,surface_scratch,Y
INS0000244,BATCH000521,QC17,2025-08-14T22:37:55.829Z,37,0,none,Y
INS0000245,BATCH000306,QC14,2025-10-11T02:18:48.665Z,13,1,material_crack,Y
INS0000246,BATCH001280,QC6,2025-12-04T08:43:55.568Z,14,0,none,Y
INS0000247,BATCH001577,QC12,2025-11-30T08:33:20.431Z,14,3,dimensional_error,N
INS0000248,BATCH000719,QC19,2025-11-28T10:02:55.900Z,49,2,material_crack,Y
INS0000249,BATCH000407,QC9,2025-12-28T18:56:26.398Z,45,0,none,Y
INS0000250,BATCH000013,QC5,2025-07-05T05:02:51.911Z,19,4,surface_scratch,N
INS0000251,BATCH001675,QC17,2025-08-14T08:57:30.368Z,38,5,surface_scratch,N
INS0000252,BATCH001384,QC8,2025-11-22T17:50:57.147Z,21,1,material_crack,Y
INS0000253,BATCH001656,QC7,2026-02-09T00:54:13.983Z,32,0,none,Y
INS0000254,BATCH000608,QC10,2025-06-22T15:54:20.040Z,11,3,material_crack,N
INS0000255,BATCH001747,QC12,2025-06-08T17:04:53.324Z,39,2,weld_defect,Y
INS0000256,BATCH000741,QC7,2025-10-18T19:07:02.784Z,18,4,surface_scratch,N
INS0000257,BATCH000309,QC12,2025-07-15T12:47:09.545Z,20,4,dimensional_error,N
INS0000258,BATCH000040,QC13,2025-12-23T17:29:20.082Z,40,1,weld_defect,Y
INS0000259,BATCH000337,QC9,2025-07-01T23:32:20.985Z,32,1,coating_defect,Y
INS0000260,BATCH000678,QC2,2025-12-21T19:24:52.101Z,20,5,coating_defect,N
INS0000261,BATCH000856,QC16,2026-02-09T03:34:41.569Z,27,5,weld_defect,N
INS0000262,BATCH001665,QC3,2025-10-09T12:40:36.197Z,26,2,material_crack,Y
INS0000263,BATCH000444,QC1,2025-08-02T21:37:11.755Z,45,2,weld_defect,Y
INS0000264,BATCH000632,QC4,2026-01-20T02:58:22.465Z,43,1,surface_scratch,Y
INS0000265,BATCH000615,QC18,2025-10-12T06:59:28.418Z,42,5,surface_scratch,N
INS0000266,BATCH000058,QC2,2026-01-15T22:50:35.758Z,22,5,surface_scratch,N
INS0000267,BATCH001222,QC5,2025-09-29T10:52:52.219Z,22,0,none,Y
INS0000268,BATCH001281,QC10,2025-10-29T21:29:12.433Z,32,2,weld_defect,Y
INS0000269,BATCH000750,QC15,2025-11-29T09:26:07.450Z,26,2,coating_defect,Y
INS0000270,BATCH000266,QC4,2025-10-19T08:50:40.612Z,27,3,weld_defect,N
INS0000271,BATCH001933,QC20,2025-11-17T18:29:30.207Z,14,5,dimensional_error,N
INS0000272,BATCH001496,QC19,2025-12-14T12:43:44.740Z,43,4,weld_defect,N
INS0000273,BATCH001914,QC20,2025-08-27T13:59:33.252Z,18,5,weld_defect,N
INS0000274,BATCH001417,QC16,2025-11-26T00:08:33.540Z,35,1,dimensional_error,Y
INS0000275,BATCH001606,QC1,2025-07-14T01:22:35.558Z,27,0,none,Y
INS0000276,BATCH000370,QC18,2025-11-04T18:42:31.138Z,40,3,dimensional_error,N
INS0000277,BATCH001251,QC15,2025-10-30T18:57:45.728Z,15,0,none,Y
INS0000278,BATCH001702,QC5,2025-08-15T18:29:18.886Z,36,4,coating_defect,N
INS0000279,BATCH000632,QC10,2025-06-16T07:43:06.198Z,43,2,weld_defect,Y
INS0000280,BATCH000778,QC1,2025-11-30T10:45:40.293Z,22,4,weld_defect,N
INS0000281,BATCH000559,QC6,2025-11-05T08:57:04.322Z,18,1,coating_defect,Y
INS0000282,BATCH001366,QC16,2025-10-29T04:34:15.338Z,44,0,none,Y
INS0000283,BATCH000773,QC2,2025-12-16T09:59:11.796Z,38,3,surface_scratch,N
INS0000284,BATCH001461,QC14,2025-08-17T19:20:45.165Z,36,1,coating_defect,Y
INS0000285,BATCH001509,QC8,2026-01-05T23:55:28.515Z,42,4,dimensional_error,N
INS0000286,BATCH000681,QC3,2026-01-01T08:40:30.958Z,15,4,dimensional_error,N
INS0000287,BATCH001170,QC19,2025-08-01T11:27:02.419Z,21,1,dimensional_error,Y
INS0000288,BATCH000214,QC9,2026-01-20T00:14:20.791Z,27,0,none,Y
INS0000289,BATCH001666,QC18,2025-11-23T12:55:44.826Z,28,3,weld_defect,N
INS0000290,BATCH000649,QC19,2025-12-16T10:19:00.929Z,19,4,weld_defect,N
INS0000291,BATCH000683,QC10,2025-09-13T18:05:57.834Z,50,4,material_crack,N
INS0000292,BATCH000188,QC9,2025-11-10T21:34:02.228Z,23,4,surface_scratch,N
INS0000293,BATCH000626,QC16,2025-09-13T01:18:39.141Z,40,5,coating_defect,N
INS0000294,BATCH001314,QC16,2025-08-01T11:36:11.321Z,33,2,coating_defect,Y
INS0000295,BATCH000602,QC15,2026-01-31T04:38:38.993Z,15,0,none,Y
INS0000296,BATCH001418,QC7,2025-07-28T06:13:42.469Z,15,1,surface_scratch,Y
INS0000297,BATCH000450,QC13,2025-06-30T09:27:18.383Z,48,2,coating_defect,Y
INS0000298,BATCH000015,QC7,2025-10-28T06:33:31.025Z,35,2,weld_defect,Y
INS0000299,BATCH000578,QC1,2025-07-10T13:52:50.337Z,10,5,material_crack,N
INS0000300,BATCH000392,QC10,2025-11-30T22:20:51.318Z,18,5,weld_defect,N
INS0000301,BATCH001449,QC9,2025-08-29T07:20:49.255Z,47,0,none,Y
INS0000302,BATCH000351,QC17,2026-02-07T04:09:16.437Z,49,0,none,Y
