account_id,customer_id,account_type,balance,credit_limit,opened_at,status,risk_score
ACC00000207,CUST0000425,credit,30422.16,43799,2023-09-30,closed,64
ACC00000208,CUST0000062,credit,91147.18,9325,2024-11-07,active,40
ACC00000209,CUST0000937,savings,57978.01,0,2022-05-10,closed,10
ACC00000210,CUST0000843,savings,46987.42,0,2022-12-03,active,18
ACC00000211,CUST0001469,savings,60464.09,0,2020-06-03,suspended,15
ACC00000212,CUST0001343,credit,23441.33,37776,2020-04-01,active,87
ACC00000213,CUST0000919,credit,4355.91,3682,2020-08-20,active,47
ACC00000214,CUST0001156,checking,72327.28,0,2024-01-16,closed,77
ACC00000215,CUST0001183,credit,93164.61,5942,2020-05-31,closed,84
ACC00000216,CUST0001405,credit,8740.12,35019,2020-09-20,active,5
ACC00000217,CUST0001426,savings,76788.41,0,2020-09-16,closed,13
ACC00000218,CUST0000063,checking,90247.63,0,2025-03-15,active,41
ACC00000219,CUST0001070,savings,62370.83,0,2024-11-03,closed,89
ACC00000220,CUST0001153,checking,74581.34,0,2020-12-28,active,70
ACC00000221,CUST0000168,savings,27629.11,0,2020-05-04,closed,23
ACC00000222,CUST0000022,savings,28635.45,0,2020-12-29,closed,58
ACC00000223,CUST0001234,savings,97659.13,0,2025-05-04,active,32
ACC00000224,CUST0001438,credit,87554.69,16103,2022-09-24,suspended,41
ACC00000225,CUST0000608,checking,33896.37,0,2024-03-10,active,66
ACC00000226,CUST0000773,savings,-1834.2,0,2022-06-01,active,77
ACC00000227,CUST0000529,checking,17717.37,0,2022-07-24,active,84
ACC00000228,CUST0000168,savings,89716.49,0,2020-05-15,active,30
ACC00000229,CUST0000300,credit,24214.68,26871,2022-06-05,active,48
ACC00000230,CUST0001475,savings,4756.27,0,2022-11-14,active,32
ACC00000231,CUST0000435,savings,82725.31,0,2025-07-08,active,10
ACC00000232,CUST0000806,savings,64515.16,0,2021-03-29,closed,16
ACC00000233,CUST0001414,savings,37378.56,0,2022-06-18,active,61
ACC00000234,CUST0001307,savings,38608.75,0,2021-08-31,active,1
ACC00000235,CUST0001228,checking,63639.81,0,2020-06-28,closed,11
ACC00000236,CUST0000978,savings,16892.69,0,2024-01-18,active,3
ACC00000237,CUST0001197,checking,12958.05,0,2023-09-13,closed,59
ACC00000238,CUST0000319,checking,29854.28,0,2025-01-09,active,62
ACC00000239,CUST0001011,checking,57407.07,0,2023-06-10,active,8
ACC00000240,CUST0001222,credit,62815.39,49399,2020-11-10,active,12
ACC00000241,CUST0000678,savings,1453.04,0,2020-08-14,active,89
ACC00000242,CUST0001324,savings,90691.38,0,2025-03-30,closed,12
ACC00000243,CUST0000209,savings,18021.25,0,2025-03-09,active,23
ACC00000244,CUST0000993,credit,66057.99,11769,2022-12-11,closed,71
ACC00000245,CUST0001442,credit,53025.77,10155,2021-07-09,suspended,71
ACC00000246,CUST0000129,credit,96746.03,37012,2022-09-30,active,51
ACC00000247,CUST0000866,checking,47865.46,0,2020-03-12,closed,71
ACC00000248,CUST0000917,checking,73373.95,0,2025-04-18,active,31
ACC00000249,CUST0001117,credit,8688.55,6690,2024-07-24,active,81
ACC00000250,CUST0000318,credit,51089.73,43379,2022-06-28,active,90
ACC00000251,CUST0001457,savings,52388.98,0,2022-07-16,suspended,25
ACC00000252,CUST0001442,checking,68990.63,0,2020-02-08,active,91
ACC00000253,CUST0001305,savings,56822.47,0,2021-12-15,closed,37
ACC00000254,CUST0001393,credit,16206.25,35099,2021-01-17,active,63
ACC00000255,CUST0000298,savings,61311.15,0,2025-03-04,active,57
ACC00000256,CUST0000274,savings,24888.9,0,2025-10-23,active,14
ACC00000257,CUST0000502,savings,79988.89,0,2025-03-29,closed,51
ACC00000258,CUST0000609,credit,8728.88,19436,2022-06-22,active,97
ACC00000259,CUST0000696,savings,83058.1,0,2021-11-19,active,12
ACC00000260,CUST0000197,checking,84489.27,0,2023-11-20,active,71
ACC00000261,CUST0000232,credit,5537.25,33300,2023-08-04,closed,87
ACC00000262,CUST0000773,savings,1743.75,0,2025-02-22,suspended,79
ACC00000263,CUST0000525,checking,45443.67,0,2024-10-16,closed,12
ACC00000264,CUST0000299,checking,67618.28,0,2020-01-22,active,32
ACC00000265,CUST0000818,credit,2175.63,4617,2023-07-01,active,70
ACC00000266,CUST0001141,checking,56771.56,0,2020-12-12,suspended,91
ACC00000267,CUST0001500,credit,7491.23,46653,2021-08-12,active,47
ACC00000268,CUST0001298,credit,41521.3,37291,2020-02-15,active,100
ACC00000269,CUST0001123,checking,14964.52,0,2024-04-01,suspended,38
ACC00000270,CUST0000101,credit,21305.42,35713,2025-07-30,active,36
ACC00000271,CUST0001461,savings,87333.49,0,2020-03-07,active,88
ACC00000272,CUST0001084,checking,15135.09,0,2022-09-28,active,98
ACC00000273,CUST0001183,savings,95987.01,0,2022-04-03,active,48
ACC00000274,CUST0000781,credit,69218.87,12999,2021-09-18,suspended,28
ACC00000275,CUST0000162,savings,1238.85,0,2024-03-14,closed,11
ACC00000276,CUST0001382,savings,88445.2,0,2021-10-06,active,100
ACC00000277,CUST0000714,savings,13963.08,0,2025-05-25,active,58
ACC00000278,CUST0000889,checking,-549.48,0,2025-08-25,closed,34
ACC00000279,CUST0000233,checking,96982.46,0,2021-03-05,active,72
ACC00000280,CUST0001214,credit,59136.01,38993,2025-09-25,active,96
ACC00000281,CUST0000389,savings,94403.5,0,2024-01-26,active,75
ACC00000282,CUST0001143,checking,30808.17,0,2021-04-01,active,81
ACC00000283,CUST0001069,checking,24913.14,0,2021-09-06,closed,33
ACC00000284,CUST0001181,savings,66525.75,0,2020-05-19,active,79
ACC00000285,CUST0000455,checking,55628.05,0,2021-11-04,active,99
ACC00000286,CUST0000921,checking,31542.39,0,2023-09-24,suspended,59
ACC00000287,CUST0001222,checking,46953.67,0,2024-09-28,closed,13
ACC00000288,CUST0000005,checking,86753.79,0,2024-06-18,active,64
ACC00000289,CUST0001100,checking,4558.54,0,2025-01-05,closed,23
ACC00000290,CUST0000620,checking,11686.01,0,2023-10-04,active,83
ACC00000291,CUST0000753,credit,38037.35,13350,2022-07-20,active,48
ACC00000292,CUST0000664,credit,19771.18,23912,2022-06-18,suspended,63
ACC00000293,CUST0000285,checking,88321.1,0,2023-10-28,active,65
ACC00000294,CUST0001458,savings,81194.8,0,2021-09-29,active,33
ACC00000295,CUST0001159,savings,63932.73,0,2021-03-27,active,18
ACC00000296,CUST0001201,savings,59920.04,0,2024-10-31,active,24
ACC00000297,CUST0001118,credit,66779.18,31421,2022-09-08,active,51
ACC00000298,CUST0001000,credit,15433.19,41002,2020-01-17,active,63
ACC00000299,CUST0001071,savings,5635.45,0,2024-12-28,active,76
ACC00000300,CUST0000339,credit,4439.65,14633,2021-08-08,active,61
ACC00000301,CUST0000073,checking,99117.06,0,2023-08-27,active,38
ACC00000302,CUST0000997,checking,25139.1,0,2021-10-03,active,16
ACC00000303,CUST0001137,credit,39863.6,37582,2021-05-15,active,25
ACC00000304,CUST0000520,checking,13897.88,0,2025-04-04,active,73
ACC00000305,CUST0001397,checking,88104.7,0,2023-07-15,closed,66
ACC00000306,CUST0000859,credit,28552.2,22726,2022-08-18,active,36
ACC00000307,CUST0000533,savings,14442.38,0,2021-08-21,active,45
ACC00000308,CUST0000047,checking,4788.24,0,2023-04-08,suspended,55
ACC00000309,CUST0001477,savings,46104.76,0,2023-09-19,active,19
ACC00000310,CUST0000471,savings,-602.19,0,2022-10-27,active,97
ACC00000311,CUST0000739,savings,82071.36,0,2023-06-18,active,66
ACC00000312,CUST0000329,checking,3431.36,0,2025-06-10,active,41
ACC00000313,CUST0000274,checking,56817.48,0,2021-10-05,active,58
ACC00000314,CUST0000613,credit,94737.34,32165,2025-03-12,active,38
ACC00000315,CUST0001307,credit,53712.64,34672,2022-08-10,closed,5
ACC00000316,CUST0001049,credit,4797.54,4787,2025-09-02,active,41
ACC00000317,CUST0000827,credit,46225.21,32092,2020-01-08,active,13
ACC00000318,CUST0001387,savings,50409.09,0,2022-01-06,suspended,84
ACC00000319,CUST0000870,savings,44808.63,0,2021-06-13,active,54
ACC00000320,CUST0000720,savings,31877.4,0,2025-09-06,active,11
ACC00000321,CUST0001030,credit,44674.11,46247,2025-01-08,active,64
ACC00000322,CUST0000045,checking,68536.02,0,2021-05-16,suspended,22
ACC00000323,CUST0001019,savings,33984.32,0,2022-09-27,active,9
ACC00000324,CUST0000292,savings,60636.49,0,2020-06-22,suspended,93
ACC00000325,CUST0000877,savings,55152.53,0,2021-06-24,active,25
ACC00000326,CUST0000433,checking,10284.34,0,2024-06-19,closed,68
ACC00000327,CUST0000212,savings,54408.62,0,2021-07-20,active,61
ACC00000328,CUST0001124,credit,-607.93,28459,2024-12-24,active,74
ACC00000329,CUST0001010,savings,69888.52,0,2023-03-21,closed,34
ACC00000330,CUST0000163,savings,32490.7,0,2025-06-26,suspended,87
ACC00000331,CUST0001427,savings,58028.45,0,2025-03-31,closed,11
ACC00000332,CUST0000359,checking,-1752.19,0,2020-03-29,closed,60
ACC00000333,CUST0000436,credit,53194.44,15122,2021-03-20,active,13
ACC00000334,CUST0000639,credit,-3387.57,48894,2025-04-22,active,83
ACC00000335,CUST0001078,credit,52625.16,25567,2021-08-28,active,19
ACC00000336,CUST0000782,credit,26046.61,17265,2020-11-20,closed,90
ACC00000337,CUST0000642,checking,11951.81,0,2023-08-23,active,67
ACC00000338,CUST0000191,credit,37854.63,12595,2025-07-17,active,6
ACC00000339,CUST0001489,savings,79786.99,0,2024-09-18,closed,72
ACC00000340,CUST0000688,savings,4310.48,0,2021-10-06,closed,85
ACC00000341,CUST0000925,credit,39266.2,18500,2022-05-15,active,56
ACC00000342,CUST0000632,credit,9956.44,47711,2024-01-04,suspended,15
ACC00000343,CUST0000874,checking,87946.4,0,2023-12-25,active,64
ACC00000344,CUST0000949,credit,86981.23,40110,2023-05-03,active,2
ACC00000345,CUST0001390,savings,96225.06,0,2020-03-10,closed,48
ACC00000346,CUST0000600,savings,36778.69,0,2025-01-13,suspended,58
ACC00000347,CUST0000946,checking,62215.2,0,2025-07-20,suspended,22
ACC00000348,CUST0000740,savings,50744.54,0,2021-06-19,closed,41
ACC00000349,CUST0001183,checking,26791.72,0,2021-12-03,active,49
ACC00000350,CUST0000503,credit,80132.76,15851,2022-03-10,active,65
ACC00000351,CUST0000828,credit,37186.76,47615,2020-03-07,active,13
ACC00000352,CUST0000747,credit,16429.96,9328,2020-02-26,suspended,9
ACC00000353,CUST0000813,checking,6369.64,0,2024-07-26,closed,88
ACC00000354,CUST0000996,savings,25261.86,0,2021-01-07,closed,53
ACC00000355,CUST0000176,savings,54990.62,0,2020-10-11,closed,68
ACC00000356,CUST0000815,checking,87916.66,0,2022-06-17,active,82
ACC00000357,CUST0000444,credit,10070.77,2836,2023-04-19,active,9
ACC00000358,CUST0000243,savings,74395.25,0,2020-12-22,closed,100
ACC00000359,CUST0001409,savings,94339.1,0,2025-06-04,active,7
ACC00000360,CUST0000273,credit,25557.69,42380,2024-03-23,active,72
ACC00000361,CUST0000386,checking,73901.62,0,2020-10-23,closed,43
ACC00000362,CUST0000864,credit,40129,19471,2024-06-18,active,25
ACC00000363,CUST0000312,savings,43319.93,0,2024-05-16,active,72
ACC00000364,CUST0000582,credit,62646.77,38531,2020-11-08,active,100
ACC00000365,CUST0000690,credit,76731.66,47125,2021-09-30,active,28
ACC00000366,CUST0000538,checking,65808.98,0,2020-05-15,active,66
ACC00000367,CUST0000195,checking,47934,0,2022-11-30,suspended,42
ACC00000368,CUST0000587,savings,78806.02,0,2023-08-04,active,97
ACC00000369,CUST0000377,credit,96531.87,29852,2025-06-17,active,76
ACC00000370,CUST0000525,checking,96006.88,0,2024-06-26,active,39
ACC00000371,CUST0000703,credit,5190.95,28922,2023-10-18,active,10
ACC00000372,CUST0000218,checking,35300.37,0,2022-07-19,active,27
ACC00000373,CUST0001003,savings,27583.9,0,2024-08-09,suspended,79
ACC00000374,CUST0000111,savings,-1591.86,0,2024-08-31,closed,22
ACC00000375,CUST0000665,credit,31541.07,20990,2022-01-02,closed,58
ACC00000376,CUST0000153,checking,74309.42,0,2020-07-24,active,30
ACC00000377,CUST0000476,credit,61956.19,48747,2024-03-17,active,23
ACC00000378,CUST0000900,checking,52040.63,0,2025-07-20,active,39
ACC00000379,CUST0000709,checking,26793.75,0,2022-02-21,active,69
ACC00000380,CUST0001027,checking,49026.44,0,2020-07-11,active,79
ACC00000381,CUST0000402,checking,5446.27,0,2023-08-26,active,12
ACC00000382,CUST0000617,savings,53742.09,0,2020-12-03,active,66
ACC00000383,CUST0000991,credit,12430.38,20859,2025-04-02,closed,37
ACC00000384,CUST0000996,checking,-1302.42,0,2025-09-13,active,87
ACC00000385,CUST0000687,savings,-4986.07,0,2023-01-15,active,95
ACC00000386,CUST0001294,checking,51749.68,0,2021-10-05,active,84
ACC00000387,CUST0001034,savings,86991.18,0,2023-09-11,active,28
ACC00000388,CUST0000791,checking,33266.38,0,2023-12-15,suspended,81
